ionMz,Metabolite,KEGG,All metabolite names
171.0092,sn-Glycerol 3-phosphate,C00093;C00623;C02979;C03189,Glycerol 2-phosphate / Glycerol 3-phosphate / Sn-Glycerol-1-phosphate / glycerol-3-phosphate
171.0284,3-Dehydroshikimate,C02637,3-Dehydro-shikimate
171.1388,Decanoic acid (FA10:0),C01571,Decanoate (N-C10:0)
172.0616,Acetyl-Glu-semialdehyde,C01250,N-Acetyl-glutamate 5-semialdehyde
172.962,"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide",C04706,"Cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide"
172.9909,Phenol sulfate,C00850,Aryl sulfate
173.0089,Aconitate,C00417;C02341,cis-Aconitic acid / trans-Aconitic acid
173.0453,Shikimate,C00493;C04236,2-Isopropyl-3-oxosuccinate / Shikimic acid
173.0579,Menadiol,C07126,Menadiol
174.0407,Acetyl-Asp,C01042;C15996,7-Cyano-7-carbaguanine / N-Acetyl-aspartic acid
175.022,Hexuronic acid,C00072;C04053;C04349,"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate / 5-Dehydro-4-deoxy-glucuronate / Ascorbic acid"
175.0361,Ureidosuccinic acid,C00438,Ureidosuccinic acid
175.0611,3-Propylmalate,C02504;C04411,2-Isopropylmalic acid / 3-Carboxy-3-hydroxy-isocaproate / 3-Isopropylmalate
177.0402,Glucono-lactone,C00198;C00204;C01216;C03383;C03926,2-Dehydro-3-deoxy-galactonate / 2-Keto-3-deoxy-gluconic acid / 3-Dehydro-2-deoxy-gluconate / Galactonolactone / Gluconolactone
178.0175,S-Carboxymethyl-Cys,C03727,S-Carboxymethyl-cysteine
178.0509,N-Acetylanthranilate,C06332,N-Acetylanthranilate
179.0348,3-(4-Hydroxyphenyl)pyruvate,C01179;C12623,"4-Hydroxyphenylpyruvic acid / Trans-2,3-Dihydroxycinnamate"
180.0663,Tyrosine,C00082;C06420,Tyrosine
181.0505,3-(4-Hydroxyphenyl)lactate,C04044;C12622,"3-(2,3-Dihydroxyphenyl)propanoate / 3-(2,3-Dihydroxyphenyl)propionic acid / cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol"
182.9725,3-Phosphonooxypyruvate,C03232,Phosphohydroxypyruvic acid
183.0661,"Cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol",C11588,"Cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol / cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol"
184.9856,Phosphoglycerate,C00197;C00597;C00631,2-Phospho-glyceric acid / 3-Phospho-glycerate / 3-Phosphoglycerate
185.0057,2-Carboxymuconate,C03666,2-Carboxymuconate
186.1136,8-Amino-7-oxononanoate,C01092,8-Amino-7-oxononanoate
187.0234,(E)-3-(Methoxycarbonyl)pent-2-enedioate,C04225;C11514,(E)-3-(Methoxycarbonyl)pent-2-enedioate / Cis-2-Methylaconitate / E-3-Carboxy-2-pentenedioate 6-methyl ester
187.0976,Azelaic acid,C08261,Azelaic acid
188.035,"1-Nitronaphthalene-5,6-oxide",C14800;C14802,"1-Nitronaphthalene-5,6-oxide / 1-Nitronaphthalene-7,8-oxide"
188.0565,Acetyl-Glu,C00624,N-Acetylglutamic acid
189.0405,3-Dehydroquinate,C00944,3-Dehydroquinate
190.0558,Acetyl-Met,C02712,N-Acetyl-methionine
191.0197,(Iso)Citrate,C00158;C00311;C00679;C02780;C03921;C04575,"2,3-Diketo-gulonate / 2,5-Diketo-gluconate / 2-Dehydro-3-deoxy-glucarate / 5-Dehydro-4-deoxy-glucarate / Citric acid / Isocitric acid"
192.0663,3-Carbamoyl-2-phenylpropionaldehyde,C16587;C16595,"3-Carbamoyl-2-phenylpropionaldehyde / 4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one"
193.0349,Hexuronate,C00191;C00333;C00558;C00618;C00905;C01062;C06473;C20248,2-Dehydro-gluconate / 3-Dehydro-gulonate / 5-Keto-gluconate / 7-Deaza-7-carboxyguanine / Fructuronate / Galacturonate / Glucuronic acid / Tagaturonate
194.0682,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",C01300,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine / 6-Hydroxymethyl dihydropterin"
194.0822,"2-Phenyl-1,3-propanediol monocarbamate",C16586,"2-Phenyl-1,3-propanediol monocarbamate"
195.0509,Hexonic acid,C00257;C00514;C00770;C00800;C00817;C00880;C15930,Altronate / Galactonate / Galactonic acid / Gluconic acid / Gulonate / Idonate / Mannonate
196.0603,Dihydroxy-Phe,C00355,"3,4-Dihydroxy-phenylalanine"
198.0182,P-homoserine,C01102;C12147,O-Phosphohomoserine / Threonine O-3-phosphate
199.0019,D-Erythrose 4-phosphate,C00279,Erythrose 4-phosphate
199.1701,Dodecanoic acid (FA12:0),C02679,Dodecanoate (N-C12:0)
200.9937,Benzoyl phosphate,C06206,Benzoyl phosphate
203.0826,Tryptophan,C00078,Tryptophan
204.0498,Lipoamide,C00248,Lipoamide
205.0351,"(R)-2-Hydroxybutane-1,2,4-tricarboxylate",C00725;C02225;C04593;C16241,"(2R,3S)-2-Hydroxybutane-1,2,3-tricarboxylate / Lipoic acid / Methylcitric acid / Methylisocitric acid / lipoate"
209.0292,D-Glucarate,C00818;C00879,Galactaric acid / Glucaric acid
211.0235,2-Hydroxy-6-ketononatrienedioate,C12624,2-Hydroxy-6-ketononatrienedioate
211.9968,2-Amino-3-oxo-4-phosphonooxybutyrate,C03082;C07335,2-Amino-3-oxo-4-phosphonooxybutyrate / Aspartyl-4-phosphate
212.9807,2-Oxo-3-hydroxy-4-phosphobutanoate,C06054,2-Oxo-3-hydroxy-4-phosphobutanoic acid
213.014,2-Deoxy-D-ribose 1-phosphate,C00672;C00673;C11437,1-Deoxy-xylulose 5-phosphate / Deoxyribose 1-phosphate / Deoxyribose 5-phosphate
213.0384,2-Hydroxy-6-ketononadienedicarboxylate,C04479,2-Hydroxy-6-ketononadienedicarboxylate
213.1252,Dethiobiotin,C01909,Dethiobiotin
214.0488,sn-Glycero-3-phosphoethanolamine,C01233,Glycerylphosphorylethanolamine
215.0331,2-C-Methyl-D-erythritol 4-phosphate,C11434,2-C-Methyl-erythritol-4-phosphate
216.1351,gamma-Glutamyl-putrescine,C15699,gamma-Glutamyl-putrescine
218.0335,4-Amino-2-methyl-5-phosphomethylpyrimidine,C04556,4-Amino-2-methyl-5-phosphomethylpyrimidine / 4-amino-5-phosphonooxymethyl-2-methylpyrimidine
218.1034,Pantothenate,C00864,Pantothenic acid
220.0828,N-Acetyl-D-glucosamine,C00140;C00645;C05021,N-Acetyl-b-galactosamine / N-Acetyl-glucosamine / N-Acetylglucosamine / N-Acetylmannosamine
221.0443,2-Succinylbenzoate,C02730,2-Succinylbenzoate
221.0664,6-Acetyl-D-glucose,C02655,6-Acetyl-glucose
225.0399,Chorismate,C00251;C00254;C00885,Chorismate / Isochorismate / Prephenate
225.0861,Porphobilinogen,C00931,Porphobilinogen
225.0901,Porphobilinogen,C00931,Porphobilinogen
226.0135,L-Glutamyl 5-phosphate,C03287,Glutamic acid 5-phosphate
228.0501,"4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde",C04796,"4-(Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde"
229.0122,Arabinose 5-phosphate,C00117;C00199;C00231;C00620;C01101;C01112;C03291,Arabinose 5-phosphate / Ribose-1-phosphate / Ribose-5-phosphate / Ribulose 5-phosphate / Xylulose 5-phosphate
237.0614,3-Deoxy-D-manno-octulosonate,C01187,3-Deoxy-manno-octulosonate
240.0515,"N-(2,3-Dihydroxybenzoyl)-L-serine",C04204,"2,3-Dihydroxybenzoylserine"
241.0844,Thymidine,C00214,Thymidine
242.0804,Cytidine,C00475;C05711,Cytidine / gamma-Glutamyl-beta-cyanoalanine
243.029,L-Fuculose 1-phosphate,C01099;C01131;C06369,2-Deoxy-glucose 6-phosphate / Fuculose 1-phosphate / Rhamnulose 1-phosphate
243.0625,Uridine,C00299;C02067,Pseudouridine / Uridine
245.0444,Glycerophosphoglycerol,C03274,Glycerophosphoglycerol
246.0198,Pyridoxal phosphate,C00018,Pyridoxal 5'-phosphate
246.064,N-Succinyl-L-glutamate,C05931,N-Succinyl-glutamate
248.08,S-Acetyldihydrolipoamide,C01136,S-Acetyldihydrolipoamide
251.0816,Deoxyinosine,C05512;C15586,Deoxyinosine / Purine nucleoside
253.0499,5-L-Glutamyl-taurine,C05844,5-Glutamyl-taurine
253.2173,(9Z)-Hexadecenoic acid,C08362,Palmitoleic acid
257.0072,"D-Glucono-1,5-lactone 6-phosphate",C01236;C01286;C04442,2-Dehydro-3-deoxy-galactonate 6-phosphate / 2-Dehydro-3-deoxy-galactonate-6-phosphate / 2-Keto-3-deoxy-6-phosphogluconic acid / 6-Phosphonoglucono-lactone
257.1028,sn-Glycero-3-phosphocholine,C00670,Glycerophosphocholine
259.0227,Allose 6-phosphate,C00085;C00092;C00103;C00275;C00446;C00636;C00663;C00668;C01094;C01097;C01172;C01177;C02962;C03267;C03546;C04006;C05345;C06312,Allose 6-phosphate / Alpha-glucose 6-phosphate / Fructose 1-phosphate / Fructose 6-phosphate / Galactose 1-phosphate / Glucose 1-phosphate / Glucose 6-phosphate / Mannose 1-phosphate / Mannose 6-phosphate / Myo-inositol (1)-monophosphate / Myo-inositol 1-phosphate / Myo-inositol 4-phosphate / Tagatose 6-phosphate / Tagatose-6-phosphate / beta-Fructose 2-phosphate / beta-Fructose 6-phosphate / beta-Glucose 1-phosphate / beta-Glucose 6-phosphate
261.0385,D-Mannitol 1-phosphate,C00644;C01096;C02810;C06311,Galactitol 1-phosphate / Mannitol 1-phosphate / Sorbitol 6-phosphate / Sorbitol-6-phosphate
266.0703,S-Ribosyl-L-homocysteine,C03539,S-Ribosyl-homocysteine
267.0724,2(alpha-D-Mannosyl)-D-glycerate,C00294;C11544,2(alpha-Mannosyl)-glycerate / Inosine
267.2328,omega-Cyclohexylundecanoic acid,C16536,Heptadecenoic acid
268.02,N-Acetyl-L-glutamate 5-phosphate,C04133,N-Acetyl-5-glutamyl phosphate / N-Acetyl-glutamyl 5-phosphate
273.0021,3-Dehydro-gulonate 6-phosphate,C05385;C14899,3-Dehydro-gulonate 6-phosphate / Glucuronate 1-phosphate
274.0933,"1,6-Anhydro-N-acetyl-beta-muramate",C19769,"1,6-Anhydro-N-acetyl-beta-muramate"
275.0184,6-Phosphogluconate,C00345,6-Phosphogluconic acid
275.0991,5-Amino-6-(1-D-ribitylamino)uracil,C04732,5-Amino-6-ribitylamino uracil / 5-amino-6-(ribitylamino)uracil
277.1207,alpha-Ribazole,C00831;C05775,"N1-(alpha-ribosyl)-5,6-dimethyl-benzimidazole / Pantetheine"
277.2169,"(6Z,9Z,12Z)-Octadecatrienoic acid",C06427,alpha-Linolenic acid
282.0839,Guanosine,C00387,Guanosine
283.2063,Retinal,C00376,Retinal
285.0972,Salicin,C01451,Salicin
287.0157,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C04691,2-Dehydro-3-deoxy-arabino-heptonate 7-phosphate
288.0725,N-Succinyl-2-L-amino-6-oxoheptanedioate,C04462,N-Succinyl-2-amino-6-ketopimelate
289.0333,Sedoheptulose P,C05382;C07836;C07838;C19882,Glycero-manno-heptose 1-phosphate / Glycero-manno-heptose 7-phosphate / Sedoheptulose 7-phosphate / glycero-beta-manno-heptose 7-phosphate
289.1044,"N-Succinyl-LL-2,6-diaminoheptanedioate",C04421,"N-Succinyl-L,2,6-diaminopimelate"
290.9677,"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate",C20440,"alpha-Ribose 1,2-cyclic phosphate 5-phosphate"
294.0479,Aminoimidazole ribotide,C03373,5-Aminoimidazole ribonucleotide
300.0509,Acetylglucosamine P,C00357;C04256;C04257;C04501;C06376;C18060,Glucosamine-1P / N-Acetyl-Glucosamine 6-Phosphate / N-Acetyl-galactosamine 1-phosphate / N-Acetyl-galactosamine 6-phosphate / N-Acetyl-glucosamine 1-phosphate / N-Acetyl-mannosamine 6-phosphate
301.0333,Quercetin,C00389,Quercetin
305.0207,"2',3'-Cyclic UMP",C02355,"2',3'-Cyclic UMP"
306.0481,dCMP,C00239,dCMP
306.0765,Glutathione,C00051,Glutathione
313.0441,5'-Phosphoribosyl-N-formylglycineamide,C04376,5'-Phosphoribosyl-N-formylglycineamide
313.1037,Dihydropteroate,C00921,"7,8-Dihydropteroic acid"
317.026,3-Deoxy-D-manno-octulosonate 8-phosphate,C04478,3-Deoxy-manno-octulosonate 8-phosphate
323.0256,UMP,C00105;C01168;C01368,3'-UMP / Pseudouridine 5'-phosphate / Uridine 5'-monophosphate
325.1163,"6,7-Dimethyl-8-(D-ribityl)luma...",C04332,"6,7-Dimethyl-8-(1-ribityl)lumazine"
328.0457,"3',5'-Cyclic AMP",C00575;C02353,"Adenosine 2',3'-cyclic phosphate / Cyclic AMP"
333.0589,sn-Glycero-3-phospho-1-inositol,C01225,Sn-Glycero-3-phospho-1-inositol
335.2224,5(S)-Hydroperoxyeicosatetraenoic acid,C05356,5(S)-Hydroperoxyeicosatetraenoic acid
338.9884,"Fructose 1,6-bisphosphate",C00354;C01231;C03785;C05378,"Fructose 1,6-bisphosphate / Tagatose 1,6-bisphosphate / alpha-Glucose 1,6-bisphosphate / beta-Fructose 1,6-bisphosphate"
344.0393,cGMP,C00942;C06194,"Cyclic GMP / Guanosine 2',3'-cyclic phosphate"
348.087,S-(Formylmethyl)glutathione,C14871,S-(Formylmethyl)glutathione
353.0489,5-Amino-6-(5'-phosphoribosylamino)uracil,C01268,5-Amino-6-(5'-phosphoribosylamino)uracil
375.131,Riboflavin,C00255,Riboflavin
377.1496,Reduced riboflavin,C01007,Reduced riboflavin
383.1188,Acetyl-maltose,C02130,Acetyl-maltose
388.9416,Phosphoribosyl pyrophosphate,C00119,Phosphoribosyl pyrophosphate
388.9442,Phosphoribosyl pyrophosphate,C00119,Phosphoribosyl pyrophosphate
391.2848,Chenodeoxycholate,C04483,Deoxycholic acid
401.0756,(R)-4'-Phosphopantothenoyl-L-cysteine,C04352,4-Phosphopantothenoylcysteine
407.2795,Cholate,C00695,"3-Alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholanate / Cholic acid"
409.2338,1-Palmitoylglycerol 3-phosphate,C04036,1-hexadecanoyl-sn-glycerol 3-phosphate
421.0743,"alpha,alpha'-Trehalose 6-phosphate",C00689;C02995;C04534;C16688,"6-Phospho-beta-glucosyl-(1,4)-glucose / Cellobiose-6-phosphate / Maltose 6'-phosphate / Sucrose-6-phosphate / Trehalose 6-phosphate / alpha,alpha-Trehalose 6-phosphate"
426.0222,ADP,C00008;C00054;C00361,"ADP / Adenosine 3',5'-diphosphate / dGDP"
442.9997,XDP,C01337,XDP
466.9657,dUTP,C00460,Deoxyuridine triphosphate
490.9787,dITP,C01345,2'-Deoxyinosine triphosphate
503.1614,Gal alpha 1->6Gal alpha 1->6Glucose,C01835;C05404,Gal alpha 1->6Gal alpha 1->6Glucose / Maltotriose
547.0731,dTDP-6-deoxy-beta-L-talose,C03319,Deoxythymidine diphosphate-rhamnose
565.0471,UDP-hexose,C00029;C00052;C03733,"UDP-Galacto-1,4-furanose / UDP-Glucose / Uridine diphosphategalactose"
578.8872,"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate",C04563;C04579,"1-Myo-inositol 1,2,3,4,5-pentakisphosphate / Inositol 1,2,3,5,6-pentakisphosphate / Myo-inositol 1,2,4,5,6-pentakisphosphate"
579.0269,UDP-glucuronate,C00167,UDP-Glucuronic acid / Uridine diphosphate glucuronic acid
612.2549,Ferroxamine,C07597,Ferroxamine
659.307,Coproporphyrinogen III,C03263;C05768,Coproporphyrin III / Coproporphyrinogen I / Coproporphyrinogen III
664.0939,Nicotinamide hypoxanthine dinucleotide,C00857;C04423,Nicotinamide hypoxanthine dinucleotide / Nicotinic acid adenine dinucleotide
665.2144,Glycogen,C00182;C02052,Glycogen / Maltotetraose
668.1374,Enterochelin,C05821,Enterochelin
790.2568,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,C06022,UDP-3-O-(3-Hydroxytetradecanoyl)-glucosamine
835.0407,"P1,P4-Bis(5'-adenosyl)tetraphosphate",C01260,Diadenosine tetraphosphate
849.2765,Precorrin 1,C15527,Precorrin-1
861.6729,Ubiquinone-10,C11378,Ubiquinone-10
863.2971,Precorrin 2,C02463,Precorrin 2
864.1473,2-Methylacetoacetyl-CoA,C03344,2-Methylacetoacetyl-CoA
974.2935,trans-Tetradec-2-enoyl-CoA,C05273,(2E)-Tetradecenoyl-CoA
976.7162,undecaprenyl phosphate-4-amino-4-deoxy-arabinose,C16157,undecaprenyl phosphate-4-amino-4-deoxy-arabinose
