,Carbon source,Metabolite,Slope,Intercept,r,p-value,Std. Err,N,T3_pval,Fitted on,Comment,Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],Rate [1/gDW/h],Std. Err [1/gDW/h],Metabolite value [gDW/mmol],N carbons,Mol weight [g/mol],Turnover [mmol/gDW/h],Model ID,MV min,MV max,Species,Dataset
15,Galactose,3-(4-hydroxyphenyl)pyruvate,0.5268288949495028,-1.4646375613053155,0.9314332913454264,0.0002597893980388,0.0777974421077246,9,0.9703120537926864,Z-score,,,,0.5268288949495028,0.0777974421077246,0.13745283241461959,9.0,179.14948,0.05600255630589475,34hpp,0.09470995750403555,0.1613546621406614,E. coli,SINTEF-23
16,L-malate,3-(4-hydroxyphenyl)pyruvate,1.7059039576075603,-0.98570080378051,0.9444442282025092,0.0001260072038715,0.2243838410171222,9,0.8585653520298271,Z-score,,,,1.7059039576075603,0.2243838410171222,0.08768577073615669,9.0,179.14948,0.07596985640722331,34hpp,0.08768577073615669,0.11120129519371913,E. coli,SINTEF-23
17,L-alanine,3-(4-hydroxyphenyl)pyruvate,0.4537479689285096,-1.1081542231721262,0.8196964160886656,0.0068369586375639,0.1198434457265386,9,0.8536073047191256,Z-score,,,,0.4537479689285096,0.1198434457265386,0.14277341796316012,9.0,179.14948,0.04146511652148223,34hpp,0.14277341796296028,0.14277341796316012,E. coli,SINTEF-23
18,Galactose,3-hydroxyanthranilate,0.3518160013685148,-1.4316797314106666,0.9795128783827284,3.972264404480186e-06,0.0273385865088304,9,0.9928551525318668,Z-score,,,,0.3518160013685148,0.0273385865088304,,,,,,,,E. coli,SINTEF-23
19,L-malate,3-hydroxyanthranilate,1.4722705759136283,-1.5122659764126165,0.9815813826929964,2.742419835507015e-06,0.1083045665910998,9,0.9560713667316292,Z-score,,,,1.4722705759136283,0.1083045665910998,,,,,,,,E. coli,SINTEF-23
20,L-alanine,3-hydroxyanthranilate,1.2837927262508997,-1.3478242467551698,0.7916154711389187,0.0110189310203008,0.3745301250358933,9,0.8603448906129336,Z-score,,,,1.2837927262508997,0.3745301250358933,,,,,,,,E. coli,SINTEF-23
21,Galactose,3-hydroxybutyrate,0.3510549177501327,-1.1348135510608486,0.9792040909528608,4.1845250386136685e-06,0.0274907802740517,9,0.9956566731445564,Z-score,,,,0.3510549177501327,0.0274907802740517,0.06361216005548731,4.0,103.09657999999999,0.0,ghb,0.0462925844530393,0.0734152701750368,E. coli,SINTEF-23
22,L-malate,3-hydroxybutyrate,0.4201440514174999,-1.1929343003826447,0.9939939434156694,5.496184944436757e-08,0.0174832467876764,9,0.9857401480021158,Z-score,,,,0.4201440514174999,0.0174832467876764,0.027576900397363602,4.0,103.09657999999999,0.0,ghb,0.027576900397363602,0.04055383042573801,E. coli,SINTEF-23
23,L-alanine,3-hydroxybutyrate,1.467893866803094,-1.0825019782883076,0.9834659385113806,1.8830571786962584e-06,0.1021617821722496,9,0.9973292283868684,Z-score,,,,1.467893866803094,0.1021617821722496,0.05640351929918075,4.0,103.09657999999999,0.0,ghb,0.05640351929918075,0.05648436180696881,E. coli,SINTEF-23
24,Galactose,3-hydroxyglutaric acid,0.1906006065801554,-1.002045042242314,0.7482584903486705,0.0203946459514285,0.0638710188857468,9,0.893870472143651,Z-score,,,,0.1906006065801554,0.0638710188857468,,,,,,,,E. coli,SINTEF-23
25,L-malate,3-hydroxyglutaric acid,0.3617026576105554,-0.9435338840244843,0.9422250777800052,4.5446767637824066e-05,0.045464404884044,10,0.8394999314411433,Z-score,,,,0.3617026576105554,0.045464404884044,,,,,,,,E. coli,SINTEF-23
26,L-alanine,3-hydroxyglutaric acid,1.494496569568529,-0.918491449078055,0.9764200531953064,6.477962588498783e-06,0.1248878671406799,9,0.9964174754094248,Z-score,,,,1.494496569568529,0.1248878671406799,,,,,,,,E. coli,SINTEF-23
27,Galactose,3-hydroxyphenylacetate,0.5006047273719464,-1.2068088297739965,0.9639015301779702,2.840576702104577e-05,0.0522657885977255,9,0.985261432049878,Z-score,,,,0.5006047273719464,0.0522657885977255,,,,,,,,E. coli,SINTEF-23
28,L-malate,3-hydroxyphenylacetate,0.6496868077137883,-1.355497358200355,0.9895574223170917,7.007175682856208e-09,0.0315445175320484,11,0.9990574568740124,Z-score,,,,0.6496868077137883,0.0315445175320484,,,,,,,,E. coli,SINTEF-23
29,L-alanine,3-hydroxyphenylacetate,1.5168191271389893,-0.9369327584686266,0.9873018706003214,7.503301280974395e-07,0.0922436780859691,9,0.9962933600431751,Z-score,,,,1.5168191271389893,0.0922436780859691,,,,,,,,E. coli,SINTEF-23
30,Galactose,4-acetamidobutanoate,0.0712574294290826,-0.8098836772506874,0.9727737414815238,1.067683941901924e-05,0.0064165548884386,9,0.9966413989699956,Z-score,,,,0.0712574294290826,0.0064165548884386,,,,,,,,E. coli,SINTEF-23
31,L-malate,4-acetamidobutanoate,0.4606845639008705,-0.8416269962736138,0.9202581877259652,0.000435791969742,0.07404023935416,9,0.939416381638222,Z-score,,,,0.4606845639008705,0.07404023935416,,,,,,,,E. coli,SINTEF-23
32,L-alanine,4-acetamidobutanoate,1.389784842516684,-1.030037290356825,0.9872800254114696,7.548416454078609e-07,0.0845923043999197,9,0.9992388747685512,Z-score,,,,1.389784842516684,0.0845923043999197,,,,,,,,E. coli,SINTEF-23
33,Galactose,4-imidazoleacetate,0.0888074200554808,-0.465131530696973,0.3727545869529742,0.2327355072856505,0.0699103467122163,12,0.8443592891318026,Z-score,,,,0.0888074200554808,0.0699103467122163,,,,,,,,E. coli,SINTEF-23
34,L-malate,4-imidazoleacetate,0.3604338415606514,-0.3566566238680887,0.3709367750178276,0.26140223651507,0.30078784060637,11,0.1799241669742776,Z-score,,,,0.3604338415606514,0.30078784060637,,,,,,,,E. coli,SINTEF-23
35,L-alanine,4-imidazoleacetate,0.7844938953025621,-1.0896506944335147,0.6783605780167462,0.0445775368888824,0.3211494764533882,9,0.7962427777994459,Z-score,,,,0.7844938953025621,0.3211494764533882,,,,,,,,E. coli,SINTEF-23
36,Galactose,Acetate,203.7245636129564,-8.770120503363614,0.5849330138126251,0.0980378519789695,106.77087309882825,9,0.8618575857251746,Concentration [uM],,0.2037245636129564,0.1067708730988282,,,0.02153715030813186,2.0,59.04402,0.23621475135544662,ac,0.00975380212565602,0.02787163997880482,E. coli,SINTEF-23
37,L-malate,Acetate,614.0630198971179,122.13725132194976,0.6314151279036081,0.0502287729045484,266.62690016493616,10,0.6070648972690065,Concentration [uM],,0.6140630198971179,0.2666269001649362,,,0.0015635645316480762,2.0,59.04402,0.3204353859084887,ac,0.0015635645316480762,0.008613950011293614,E. coli,SINTEF-23
38,L-alanine,Acetate,2114.485185426341,1046.365767288146,0.8943142427821249,0.0065834351833132,473.11175770392856,7,0.001461732707388,Concentration [uM],,2.114485185426341,0.4731117577039285,,,0.013466133470207975,2.0,59.04402,0.17489567591825123,ac,0.01346613347018577,0.013466133470207975,E. coli,SINTEF-23
39,Galactose,Adenosine,0.3985750505036451,-1.1712883120850797,0.9611167520745224,6.557047851699758e-07,0.0362132043032383,12,0.949244863299046,Z-score,,,,0.3985750505036451,0.0362132043032383,,,,,,,,E. coli,SINTEF-23
40,L-malate,Adenosine,0.5110748639321123,0.2220939862270857,0.2656223915122971,0.4040385209174849,0.5865859106461403,12,0.291875301507112,Z-score,,,,0.5110748639321123,0.5865859106461403,,,,,,,,E. coli,SINTEF-23
41,L-alanine,Adenosine,0.641724085394899,-1.1762325281268846,0.9645610572942928,4.147899890998171e-07,0.0555126244093328,12,0.9875146411756744,Z-score,,,,0.641724085394899,0.0555126244093328,,,,,,,,E. coli,SINTEF-23
42,Galactose,"Adenosine 3',5'-cyclic phosphate",0.6713483726617608,-0.6535298800293031,0.8491587608989225,0.0037747457341666,0.1578182310818416,9,0.4878655971643012,Z-score,,,,0.6713483726617608,0.1578182310818416,,,,,,,,E. coli,SINTEF-23
43,L-malate,"Adenosine 3',5'-cyclic phosphate",0.916728528148074,-1.5096263372310963,0.982754358812284,3.7903498281634234e-07,0.0609852634113521,10,0.9881413972669948,Z-score,,,,0.916728528148074,0.0609852634113521,,,,,,,,E. coli,SINTEF-23
44,L-alanine,"Adenosine 3',5'-cyclic phosphate",1.2264724110939524,-1.7129817636842315,0.9818285056564706,2.616415051121018e-06,0.0895986535869137,9,0.994005336689977,Z-score,,,,1.2264724110939524,0.0895986535869137,,,,,,,,E. coli,SINTEF-23
45,Galactose,Adipate,-0.4064320858165582,0.561039032157723,-0.5706683161945012,0.0526561300918143,0.1849451455944269,12,0.0826418393358939,Z-score,,,,-0.4064320858165582,0.1849451455944269,,,,,,,,E. coli,SINTEF-23
46,L-malate,Adipate,-0.3250051311718427,0.0769486141966478,-0.2965328439197062,0.3759091275833321,0.34890712195989,11,0.7212726864137493,Z-score,,,,-0.3250051311718427,0.34890712195989,,,,,,,,E. coli,SINTEF-23
47,L-alanine,Adipate,-0.4218243189753752,0.0967142120009189,-0.4155225760758673,0.1791596938826102,0.2919975851405282,12,0.0558592747022458,Z-score,,,,-0.4218243189753752,0.2919975851405282,,,,,,,,E. coli,SINTEF-23
48,Galactose,Aicar,0.3202859655745922,-0.7060885524030307,0.4534060063667894,0.2202940915186829,0.2379729108109506,9,0.1777160914043593,Z-score,,,,0.3202859655745922,0.2379729108109506,0.16559490267764043,9.0,336.195281,0.22006787945680154,aicar,0.15224033912763502,0.16559490267764043,E. coli,SINTEF-23
49,L-malate,Aicar,1.16239352230615,-1.0123333487135022,0.4606786952714496,0.2120466511845091,0.8464614199927133,9,0.1617525582933529,Z-score,,,,1.16239352230615,0.8464614199927133,0.15628393699232968,9.0,336.195281,0.29853146543624576,aicar,0.15628393699232968,0.16212870956179293,E. coli,SINTEF-23
50,L-alanine,Aicar,0.8752827304168805,-0.830025298823625,0.7121850835458209,0.0313493465888436,0.3260907428905915,9,0.0770556429981978,Z-score,,,,0.8752827304168805,0.3260907428905915,0.161772372136465,9.0,336.195281,0.16294089485987545,aicar,0.16177237213632623,0.161772372136465,E. coli,SINTEF-23
51,Galactose,Alanine,-0.5832213060638046,3.49157182142567,-0.9693889815101284,0.1579239982006264,0.1477202193286703,3,,Concentration [uM],,-0.0005832213060638,0.0001477202193286,,,0.03908117003689204,3.0,89.09318,0.4080297458670923,ala__L,0.023645606324673718,0.04753462898595684,E. coli,SINTEF-23
52,L-malate,Alanine,-2.4235603365261538,4.662757846142727,-0.985022298743848,0.014977701256152,0.2999839734221268,4,,Concentration [uM],,-0.0024235603365261,0.0002999839734221,,,0.010561305400957899,3.0,89.09318,0.5563726707541018,ala__L,0.010561305400957899,0.021657256500973165,E. coli,SINTEF-23
53,L-alanine,Alanine,-17252.09652088157,39806.57256909442,-0.9938832269415504,6.674669529356694e-11,606.2022748175045,12,0.0064632445030033,Concentration [uM],,-17.25209652088157,0.6062022748175045,,,0.006562652141672842,3.0,89.09318,7.167828903146415,ala__L,0.006562652141595127,0.006562652141672842,E. coli,SINTEF-23
54,Galactose,Allantoin,0.8954528216031489,-1.203553015883815,0.9346614924776596,0.000220147412554,0.1287438338093623,9,0.9299177440533974,Z-score,,,,0.8954528216031489,0.1287438338093623,0.0901342674173855,4.0,158.11544,0.0,alltn,0.06177687400146792,0.12027733347251823,E. coli,SINTEF-23
55,L-malate,Allantoin,1.442660043853062,-1.4197375996988235,0.9557008685008656,5.768539210694653e-05,0.1679352337857503,9,0.9736764651989172,Z-score,,,,1.442660043853062,0.1679352337857503,0.13232551515246493,4.0,158.11544,0.0,alltn,0.11340865828420865,0.1323255151527758,E. coli,SINTEF-23
56,L-alanine,Allantoin,0.7922012101960356,-1.677356535259849,0.9979120557008162,1.3666940445309264e-09,0.0193794679778287,9,0.9959037510948258,Z-score,,,,0.7922012101960356,0.0193794679778287,0.09397600258929106,4.0,158.11544,0.0,alltn,0.09397600258909122,0.09397600258929106,E. coli,SINTEF-23
57,Galactose,Alpha-aminoadipate,0.0284872769577756,-0.048125167618671,0.7736816679965327,0.2263183320034671,0.0164957223824134,4,0.8500269468529273,Concentration [uM],,2.8487276957775643e-05,1.6495722382413477e-05,,,,,,,,,,E. coli,SINTEF-23
58,L-malate,Alpha-aminoadipate,0.0422004157152923,-0.0236075094703266,0.5143307293833561,0.3752767813046316,0.0406250875266929,5,0.87667542456099,Concentration [uM],,4.220041571529238e-05,4.062508752669296e-05,,,,,,,,,,E. coli,SINTEF-23
59,L-alanine,Alpha-aminoadipate,0.7399225090820299,-0.9303913200761438,0.7172623460578893,0.0296182573716518,0.2716872985125823,9,0.579478825581518,Z-score,Rate scaled for slope estimated on Z-scores,6.407048415693965e-05,2.3525621320248735e-05,0.7399225090820299,0.2716872985125823,,,,,,,,E. coli,SINTEF-23
60,Galactose,Alpha-aminobutyrate,,,,,,0,,,Not sufficient data,,,,,,,,,,,,E. coli,SINTEF-23
61,L-malate,Alpha-aminobutyrate,,,,,,0,,,Not sufficient data,,,,,,,,,,,,E. coli,SINTEF-23
62,L-alanine,Alpha-aminobutyrate,187.59813953988308,52.17193980500548,0.9454068697932424,3.483443806392223e-06,20.449561220936488,12,0.9863404122615214,Concentration [uM],,0.187598139539883,0.0204495612209364,,,,,,,,,,E. coli,SINTEF-23
63,Galactose,Alpha-glucose (cl adduct),-0.6408134444169526,0.9613432374617538,-0.9521405056099232,1.824442061185274e-06,0.0650534244730726,12,0.0009213900373702,Z-score,,,,-0.6408134444169526,0.0650534244730726,0.08471104008213604,6.0,180.15588,0.0,glc__D,0.050475463584059854,0.1034455707593529,E. coli,SINTEF-23
64,L-malate,Alpha-glucose (cl adduct),,,,,,0,,,Not sufficient data,,,,,0.055289065537078574,6.0,180.15588,0.0,glc__D,0.055289065537078574,0.07181981099444457,E. coli,SINTEF-23
65,L-alanine,Alpha-glucose (cl adduct),,,,,,0,,,Not sufficient data,,,,,0.09166955990055903,6.0,180.15588,0.0,glc__D,0.09166955990046466,0.09166955990055903,E. coli,SINTEF-23
66,Galactose,Anthranilate,0.364198910979601,-1.4214215921204167,0.6641854775010281,0.0510387108869592,0.1549354679046012,9,0.935619107738716,Z-score,,,,0.364198910979601,0.1549354679046012,0.1215513030404014,7.0,136.12804,0.02304790295394533,anth,0.09782393392662736,0.1355234518666648,E. coli,SINTEF-23
67,L-malate,Anthranilate,1.8561516792200832,-1.7239889359049545,0.8843682743146069,0.0015432825124229,0.370299123118374,9,0.8811871557351271,Z-score,,,,1.8561516792200832,0.370299123118374,0.10800339723912034,7.0,136.12804,0.031265463460898174,anth,0.10800339723912034,0.11600790841395092,E. coli,SINTEF-23
68,L-alanine,Anthranilate,0.3731260826855749,-0.5955034449926374,0.5829506985663035,0.0994616103048664,0.1965631734364158,9,0.5335680971294853,Z-score,,,,0.3731260826855749,0.1965631734364158,0.14163532636821685,7.0,136.12804,0.01706500639615559,anth,0.14163532636813914,0.14163532636821685,E. coli,SINTEF-23
69,Galactose,Arginine,0.0397169294154863,-0.3698393095960207,0.4855836475311195,0.109515584235922,0.0226108844183684,12,0.8782509728328867,Z-score,,,,0.0397169294154863,0.0226108844183684,0.1111323955620247,6.0,175.2089,0.11993359447167456,arg__L,0.11074656754220813,0.11510481681066831,E. coli,SINTEF-23
70,L-malate,Arginine,0.1916553224942451,-0.5254954428368308,0.7968776365559946,0.0101311707692693,0.0549184596892367,9,0.9850722929610036,Z-score,,,,0.1916553224942451,0.0549184596892367,0.11103764609315947,6.0,175.2089,0.1626950366452508,arg__L,0.10642061246237677,0.11103764609347033,E. coli,SINTEF-23
71,L-alanine,Arginine,0.2258088608075377,-0.4804325753003051,0.9646595252684564,4.0912745540510874e-07,0.0195050362342814,12,0.9955063960093334,Z-score,,,,0.2258088608075377,0.0195050362342814,0.07787588309671745,6.0,175.2089,0.08880059764494583,arg__L,0.07779509830085352,0.07787588309671745,E. coli,SINTEF-23
72,Galactose,Asparagine,-0.1275852261206179,0.7905782955708764,-0.6837605510492542,0.0422619637854623,0.0514630491261178,9,0.1705819208994441,Concentration [uM],,-0.0001275852261206,5.146304912611781e-05,,,0.05524763798501753,4.0,132.11792,0.09773960288097552,asn__L,0.05364475984107053,0.05689367763840325,E. coli,SINTEF-23
73,L-malate,Asparagine,0.2789290738312994,0.0815520694787924,0.9122899414728916,0.0015778739435809,0.0511195290092919,8,0.0255594816725134,Concentration [uM],,0.0002789290738312,5.111952900929199e-05,,,0.04636937679959319,4.0,132.11792,0.13258794037202135,asn__L,0.04636937679959319,0.04649601472617171,E. coli,SINTEF-23
74,L-alanine,Asparagine,5.821160413559797,3.61496816636385,0.7918605259235192,0.0338153159969901,2.007729492692544,7,0.0278067662612619,Concentration [uM],,0.0058211604135597,0.0020077294926925,,,0.04425104721414441,4.0,132.11792,0.07236783978370752,asn__L,0.04425104721403339,0.04425104721414441,E. coli,SINTEF-23
75,Galactose,Aspartate,0.1207495262639227,0.1178197977935749,0.925454682633344,4.428886655107668e-05,0.0164772927724474,11,0.8765668540083669,Concentration [uM],,0.0001207495262639,1.6477292772447458e-05,,,0.04460158916928525,4.0,132.09474,1.3235443670610756,asp__L,0.03000005741759515,0.052714275579363035,E. coli,SINTEF-23
76,L-malate,Aspartate,-0.511558711599941,7.330012086206138,-0.2383215193198093,0.6492857121521898,1.0423289095384345,6,0.0129939587745306,Concentration [uM],,-0.0005115587115999,0.0010423289095384,,,0.009372566318543996,4.0,132.09474,2.5253323244455315,asp__L,0.009372566318543996,0.021439752164287285,E. coli,SINTEF-23
77,L-alanine,Aspartate,0.0297138136594949,0.2931436614637614,0.2047690654904392,0.5232069635755989,0.0449151220312038,12,0.6681206869768463,Concentration [uM],,2.971381365949496e-05,4.491512203120389e-05,,,0.021211509964952358,4.0,132.09474,5.994698951733442,asp__L,0.021211509964952358,0.021211509964980113,E. coli,SINTEF-23
78,Galactose,Beta-alanine,0.028280178505571,0.0582704224653944,0.8477608311006591,0.0330009411345252,0.0088463656082331,6,0.8603143795453123,Concentration [uM],,2.8280178505571022e-05,8.84636560823318e-06,,,0.04429500154209398,3.0,89.09318,0.00023354840704170599,ala_B,0.03099138379297206,0.05173389504045112,E. coli,SINTEF-23
79,L-malate,Beta-alanine,0.1175216557500789,0.073923613706532,0.5252800511116928,0.146439369073392,0.0719567450894142,9,0.572102683657468,Concentration [uM],,0.00011752165575,7.195674508941424e-05,,,0.011974288601601657,3.0,89.09318,0.0003168183761146359,ala_B,0.011974288601601657,0.022534666028029005,E. coli,SINTEF-23
80,L-alanine,Beta-alanine,0.4901797682445759,-0.1256158942924601,0.9957235215607836,2.739329707006632e-05,0.0227394497517481,6,0.9972026522519276,Concentration [uM],,0.0004901797682445,2.2739449751748166e-05,,,0.022049452587180607,3.0,89.09318,0.00017292267621663027,ala_B,0.022049452587036278,0.02204945258719171,E. coli,SINTEF-23
81,Galactose,Cdp-ethanolamine,-0.3812831724011906,0.2000633283902548,-0.5217274666910848,0.081901930436769,0.1971560449846938,12,0.2600384762098663,Z-score,,,,-0.3812831724011906,0.1971560449846938,,,,,,,,E. coli,SINTEF-23
82,L-malate,Cdp-ethanolamine,-0.9221439686913846,0.4774498419126604,-0.6237572004051848,0.0302002871209201,0.3654077900250909,12,0.0443128466660857,Z-score,,,,-0.9221439686913846,0.3654077900250909,,,,,,,,E. coli,SINTEF-23
83,L-alanine,Cdp-ethanolamine,-1.2301659312145186,1.2403954631066596,-0.7937743286272305,0.0020537746669707,0.2980725007631038,12,0.1211873844153127,Z-score,,,,-1.2301659312145186,0.2980725007631038,,,,,,,,E. coli,SINTEF-23
84,Galactose,Cis-aconitate,0.1023582400319634,-0.0031438337760058,0.9889003279423996,4.692741059867316e-07,0.005812766164175,9,0.99752500804815,Concentration [uM],,0.0001023582400319,5.8127661641750005e-06,,,0.06396029028369332,6.0,171.08442,2.5092471618821026,acon_C,0.04124885471937234,0.07650607917591423,E. coli,SINTEF-23
85,L-malate,Cis-aconitate,0.4389141665854869,-0.057490670506424,0.9774687953923096,5.530068380527398e-06,0.0358240516065986,9,0.9961604958889492,Concentration [uM],,0.0004389141665854,3.5824051606598675e-05,,,0.014039620209982395,6.0,171.08442,8.433854926192879,acon_C,0.014039620209982395,0.033189003613109946,E. coli,SINTEF-23
86,L-alanine,Cis-aconitate,0.9137946959113524,-0.2540178939293225,0.9707207055957816,1.3742673947162553e-05,0.0854669414948,9,0.9983118227533162,Concentration [uM],,0.0009137946959113,8.546694149480005e-05,,,0.05187276822984366,6.0,171.08442,3.471457593234707,acon_C,0.05187276822976594,0.05187276822984366,E. coli,SINTEF-23
87,Galactose,Citrate,,,,,,2,,,Not sufficient data,,,,,0.06386434771656346,6.0,189.09969999999998,2.5092471618821026,cit,0.04084919910453122,0.07655647115466513,E. coli,SINTEF-23
88,L-malate,Citrate,,,,,,3,,,Not sufficient data,,,,,0.013153630712048336,6.0,189.09969999999998,8.433854926192879,cit,0.013153630712048336,0.0326388373933062,E. coli,SINTEF-23
89,L-alanine,Citrate,-1.8524358357555968,9.692703716830426,-0.3741908336887882,0.6258091663112118,3.2462317052894454,4,0.2032101062481709,Concentration [uM],,-0.0018524358357555,0.0032462317052894,,,0.051376623036458735,6.0,189.09969999999998,3.471457593234707,cit,0.05137662303638102,0.051376623036458735,E. coli,SINTEF-23
90,Galactose,Citrulline,0.0283658609937855,-0.7750951277603114,0.2823726461362637,0.3738719310284243,0.0304740349770765,12,0.8620079660221865,Z-score,,,,0.0283658609937855,0.0304740349770765,0.10468493656973776,6.0,175.18572,0.11993359447167456,citr__L,0.10467898058978409,0.10601323262326989,E. coli,SINTEF-23
91,L-malate,Citrulline,0.0931459735973831,0.8433058396456095,0.1805562881606907,0.6420205129714057,0.1917809039440415,9,0.3045956167947211,Z-score,,,,0.0931459735973831,0.1917809039440415,0.10157831889067159,6.0,175.18572,0.1626950366452508,citr__L,0.0984640933131331,0.10157831889098246,E. coli,SINTEF-23
92,L-alanine,Citrulline,0.2159612037185291,-0.8911983454740389,0.8282620497663059,0.0008750817835421,0.0462019532598601,12,0.807968844144767,Z-score,,,,0.2159612037185291,0.0462019532598601,0.08483805127082467,6.0,175.18572,0.08880059764494583,citr__L,0.08483805127082467,0.08483805127103561,E. coli,SINTEF-23
93,Galactose,Creatine,0.0010291182650784,0.0011647915013981,0.6881045991423536,0.0133706036808527,0.0003431744826211,12,0.8128944344648731,Concentration [uM],Some abs. conc. values calculated from standard curve,1.0291182650784851e-06,3.431744826211689e-07,,,,,,,,,,E. coli,SINTEF-23
94,L-malate,Creatine,-0.0002248773450503,0.0024951384159218,-0.1648443841278338,0.6281293942139717,0.0004485056849624,11,0.0051423624390829,Concentration [uM],Some abs. conc. values calculated from standard curve,-2.2487734505036237e-07,4.485056849624404e-07,,,,,,,,,,E. coli,SINTEF-23
95,L-alanine,Creatine,-0.0033807305505425,0.016647427423211,-0.603978764719405,0.0375445217370347,0.0014107414695685,12,0.2941030917585245,Concentration [uM],Some abs. conc. values calculated from standard curve,-3.380730550542571e-06,1.4107414695685445e-06,,,,,,,,,,E. coli,SINTEF-23
96,Galactose,Creatinine,0.0598112995184948,-0.2512767435147566,0.5687305360686604,0.1412649437139641,0.0353142181948199,8,0.8421397257605617,Z-score,,,,0.0598112995184948,0.0353142181948199,,,,,,,,E. coli,SINTEF-23
97,L-malate,Creatinine,-0.0297245297765067,-0.2049923197053248,-0.2127422125427733,0.582619951812009,0.0516006332477279,9,0.4042502018281089,Z-score,,,,-0.0297245297765067,0.0516006332477279,,,,,,,,E. coli,SINTEF-23
