,Metabolite,#,growth_media,growth_system,concentration,concentration_units,error,temperature,strain,growth_status,molecules,molecules_error,reference_text,pubmed_id,internal,Minimal/complex,Carbon source,CS concentration [g/L],LB,UB
18,Alanine,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,1770.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,7080000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,1490.0,2090.0
17,Alanine,4,Luria-Bertani (LB) media,Shake flask,832.0,uM,67.0,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),3328000,268000,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,765.0,899.0
16,Alanine,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,879.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,3516000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,710.0,1090.0
15,Alanine,3,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",358.0,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",1432000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,358.0,358.0
10,Alanine,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,2550.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,10200000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,2320.0,2800.0
13,Alanine,1,Mineral medium,Shake flask,349.1666666666667,uM,54.58853155909012,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,294.57813510757654,403.7551982257568
12,Alanine,5,Luria-Bertani (LB) media,Shake flask,915.0,uM,43.58,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),3660000,174310,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,871.42,958.58
11,Alanine,2,Rich medium,Shake flask,24749.999999999996,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
14,Alanine,0,Mineral medium,Bioreactor,441.33333333333337,uM,200.80941589255994,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,240.52391744077343,642.1427492258933
23,Alpha-ketoglutarate,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,616.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,2464000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,357.0,1060.0
24,Alpha-ketoglutarate,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,446.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,1784000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,265.0,751.0
22,Alpha-ketoglutarate,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,443.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,1772000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,312.0,631.0
21,Alpha-ketoglutarate,0,Mineral medium,Bioreactor,126.4,uM,20.59492791927176,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,105.80507208072825,146.99492791927176
20,Alpha-ketoglutarate,1,Mineral medium,Shake flask,133.33333333333331,uM,14.23906988223287,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,119.09426345110045,147.5724032155662
19,Alpha-ketoglutarate,2,Rich medium,Shake flask,65.25,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
25,Arginine,2,Rich medium,Shake flask,12775.0,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
26,Arginine,1,Mineral medium,Shake flask,150.83333333333334,uM,8.166666666666675,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,142.66666666666666,159.00000000000003
27,Arginine,0,Mineral medium,Bioreactor,198.33333333333334,uM,104.68634634521882,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,93.64698698811452,303.01967967855217
28,Arginine,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,569.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,2276000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,479.0,675.0
29,Arginine,1,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",57.5,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",230000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,57.5,57.5
30,Arginine,2,Luria-Bertani (LB) media,Shake flask,389.67,uM,23.8,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),1558667,95191,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,365.87,413.47
38,Asparagine,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,540.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,2160000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,332.0,880.0
37,Asparagine,0,Mineral medium,Bioreactor,111.41666666666667,uM,29.93994006525582,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,81.47672660141086,141.35660673192248
36,Asparagine,4,Luria-Bertani (LB) media,Shake flask,0.73,uM,0.05,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),2935,191,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,0.6799999999999999,0.78
35,Asparagine,3,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",103.0,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",412000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,103.0,103.0
33,Asparagine,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,970.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,3880000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,609.0,1550.0
32,Asparagine,2,Rich medium,Shake flask,4600.0,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
31,Asparagine,1,Mineral medium,Shake flask,105.25,uM,14.560504798941553,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,90.68949520105845,119.81050479894155
34,Asparagine,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,510.99999999999994,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,2044000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,442.0,592.0
45,Aspartate,3,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",337.0,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",1348000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,337.0,337.0
287,Aspartate,5,M9,Shake flask,432.80451,uM,279.1422158016348,37,K12 MG1655,Log-phase,,,This work,,Minimal,,L-alanine,3.5636000000000005,153.6622941983652,711.9467258016348
292,Aspartate,10,M9,Shake flask,353.36499749999996,uM,50.13708470903704,37,K12 MG1655,Log-phase,,,This work,,Minimal,,L-malate,4.0227,303.22791279096293,403.502082209037
46,Aspartate,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,7350.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,29400000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,3270.0,16500.0
44,Aspartate,4,Luria-Bertani (LB) media,Shake flask,662.0,uM,45.0,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),2648000,180000,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,617.0,707.0
282,Aspartate,0,M9,Shake flask,153.6165675,uM,33.6323573605283,37,K12 MG1655,Log-phase,,,This work,,Minimal,,Galactose,3.60312,119.9842101394717,187.2489248605283
42,Aspartate,1,Mineral medium,Shake flask,208.33333333333334,uM,31.033333333333335,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,177.3,239.36666666666667
40,Aspartate,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,4230.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,16920000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,3560.0,5040.0
39,Aspartate,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,9300.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,37200000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,6450.0,13400.0
43,Aspartate,0,Mineral medium,Bioreactor,164.86666666666667,uM,14.886254121765399,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,149.98041254490127,179.75292078843208
41,Aspartate,2,Rich medium,Shake flask,2500.0,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
47,Beta-alanine,0,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",11.5,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",46000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,11.5,11.5
49,Cis-aconitate,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,8.049999999999999,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,64400,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,13.8,18.8
288,Cis-aconitate,6,M9,Shake flask,10.74069,uM,7.465974303235401,37,K12 MG1655,Log-phase,,,This work,,Minimal,,L-alanine,3.5636000000000005,3.2747156967645994,18.206664303235403
48,Cis-aconitate,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,47.95,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,383600,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,52.7,174.0
293,Cis-aconitate,11,M9,Shake flask,18.31231125,uM,10.27907648106993,37,K12 MG1655,Log-phase,,,This work,,Minimal,,L-malate,4.0227,8.03323476893007,28.59138773106993
283,Cis-aconitate,1,M9,Shake flask,10.57671,uM,3.341001848503557,37,K12 MG1655,Log-phase,,,This work,,Minimal,,Galactose,3.60312,7.235708151496443,13.917711848503558
