,Strain,Carbon source,Well,model,RSS,RMSD,bic,aic,weighted_bic,weighted_aic,y0,K,r,nu,q0,v,has_lag,has_nu,max_growth_rate,min_doubling_time,lag
14,Enterobacter,D-Ribose,B05,Model(Richards),0.003081582241457926,0.005725625712770954,-952.4338677238214,-962.6070468529015,0.8978432063643188,0.6652416648170086,0.00040748853975158816,0.26081275577327734,0.4658487196129753,3.158299148707793,0.0,0.0,False,True,0.4796679487700864,1.4889889889889876,10.03064991832798
15,Enterobacter,L-Arabinose,B06,Model(BaranyiRoberts),0.0012478133964093383,0.0031722249701693025,-1397.9021799893653,-1414.8238693829956,0.4099791526515426,0.8151316656321206,0.0014923436276224056,0.20924820997132043,1.84796303072332,0.2455266606068326,0.019026857459503388,0.3827533502779863,True,True,0.506659325241341,1.396396396396396,11.78760649110041
16,Enterobacter,Glycerol,B07,Model(BaranyiRoberts),0.0026821425363109126,0.004559802913181812,-1361.5839018871343,-1378.7427763133044,0.8525483521066971,0.9602659874941243,0.0015950836680722613,0.40186587763380266,2.605349848300935,0.10000000011610838,0.017118852509580007,0.5105730738245904,True,True,0.49436243818094716,1.3313313311411399,11.327455537227184
17,Enterobacter,Pyruvate,B08,Model(Richards),0.04247622425618109,0.012383205153671245,-2410.3473677025404,-2424.8434377272897,0.935982545471867,0.640521708519395,0.00010000000270071752,0.4761323389372176,0.6210468827403707,0.10000000515271786,0.0,0.0,False,True,0.1435300640208341,2.018018018018018,23.97994093431403
18,Enterobacter,Succinate,B09,Model(Richards),9.792934781973975e-06,0.00018802541096772302,-4730.233055483913,-4744.729125508662,0.9428620291191493,0.6741148058471272,0.0009108352488869098,0.006729463179748318,0.3791998489590217,0.10000000048622687,0.0,0.0,False,True,0.06429354903363083,12.156156156156156,2.129530003171195
19,Enterobacter,Fumarate,B10,Model(Richards),6.052682235244945e-06,0.0001478202908750557,-4863.514283130961,-4878.010353155711,0.9407621305765429,0.667408768456966,0.0003116531092706154,0.005547470275280686,0.5095554486217653,0.10000000039977003,0.0,0.0,False,True,0.10385412004537198,6.102102102102102,5.197474756783682
20,Enterobacter,L-Malate,B11,Model(Richards),0.04874791794825441,0.015128234019402111,-1764.0028271597394,-1777.447995822577,0.9317808625309117,0.6652409354261601,0.0002956279931838335,0.3571614316995517,1.1215535194099362,0.10000000282893085,0.0,0.0,False,True,0.2592761442049744,1.2706039371571571,11.01708923207972
21,Enterobacter,Acetate,B12,Model(Logistic),4.07934862544256e-06,0.00012135439977420669,-4978.432582214322,-4989.304634732884,0.004013871936908075,1.7868516942270805e-05,0.000477001028611701,0.0069724721665778144,0.05007582673348623,1.0,0.0,0.0,True,True,0.042627596145845055,15.375375375375375,17.323531240113255
22,Pputida,D-Glucose,C02,Model(BaranyiRoberts),0.008882788213116697,0.007881459261566044,-1355.3902033572742,-1373.1672711388337,1.0,1.0,0.001704644581319359,0.3572665241624655,7.997343411197883,9.999999999833483,0.012310981523252496,0.06178096919624565,True,True,0.3871261101861108,1.849849850090088,20.456779032207066
23,Pputida,D-Fructose,C03,Model(BaranyiRoberts),0.001056318220720842,0.0021619376558930483,-2741.28796921924,-2761.811179214874,1.0,1.0,0.00041984065261257975,0.24999091825457076,0.49061573340160747,6.350209965209387,0.6086981352306022,0.00010000803469356612,True,True,0.18699687264795328,3.7167167167167143,26.422411067566546
24,Pputida,D-Galactose,C04,Model(Richards),0.0001840129096295008,0.0008150500186850416,-3917.6965649640215,-3932.192634988771,0.9401200734330815,0.6652419641951594,0.0010153072766783122,0.05743525051188492,0.3537104539542192,0.10000000000010167,0.0,0.0,False,True,0.07860261507355361,6.39039039039039,15.65953839296539
25,Pputida,D-Ribose,C05,Model(LogisticLag2),0.0010160727032796643,0.0019152369312475867,-3438.764235292007,-3456.884322822944,0.9343517390317347,0.699208805003485,0.00124957154383587,0.17042162928322635,7.995487441894221,1.0,0.006978665303354559,0.034196287498415856,True,False,0.13962600216117504,4.9969969969969945,32.19424113878587
26,Pputida,L-Arabinose,C06,Model(Richards),0.00010810193039770468,0.0006247076728566808,-4065.0415445301946,-4079.537614554944,0.9401000640093442,0.6648664726303256,0.0008178590398750796,0.027267526246783635,0.08995857911541787,3.713941502707386,0.0,0.0,False,True,0.08980655155314594,7.687687687687687,21.531370219133244
27,Pputida,Glycerol,C07,Model(BaranyiRoberts),0.0006922414082415223,0.001828704840172717,-2577.9206695661965,-2597.9169823257885,0.999987766307188,0.9999995633018894,0.0002838835552354535,0.24622630142570423,0.23580920765945113,7.014425875064803,1.1831805485657465,0.15875113930842133,True,True,0.2354027862096273,2.982315648708706,26.142449287253477
28,Pputida,Pyruvate,C08,Model(BaranyiRoberts),0.0019891008109882103,0.0032614264873759265,-2109.9842351283337,-2129.370886829461,0.9996939202398971,0.9999397279231346,0.0025162650615668802,0.2173959600440567,3.184256410109806,0.1000000014235895,0.002091013246704909,0.3516798921975657,True,True,0.381907143977349,1.8498498498498464,18.571265213780528
29,Pputida,Succinate,C09,Model(BaranyiRoberts),0.009139880863797701,0.008321149061003362,-1234.9872887678164,-1252.2841003033345,0.9999999556323651,0.9999999895982664,0.00040489575568547487,0.4095296750654318,0.9306560347886746,8.33366072466078,0.5007433329345272,0.00010000285406097653,True,True,0.3159203987451457,2.2187187184084074,17.504970058804446
30,Pputida,Fumarate,C10,Model(LogisticLag1),0.021170083388857112,0.013810194494346765,-931.8431858268153,-942.6813066320647,0.7469582465446312,0.3676060284713847,0.00010000000494758687,0.5798461959106989,0.47677689956064845,1.0,4.705607374471921,0.0,True,False,0.42773702870121666,1.4654654652252237,14.305080395029227
31,Pputida,L-Malate,C11,Model(LogisticLag2),0.006993296139165268,0.007665976418354478,-1135.3936689171892,-1149.289286382747,0.6092625307939168,0.5922924410508166,0.0017365563910618498,0.41165497644947213,7.999736362927996,1.0,0.012612660681939003,0.09811904161426366,True,False,0.39527960113776545,1.8001334670770746,15.88046123814839
32,Pputida,Acetate,C12,Model(LogisticLag2),0.009799048137824574,0.005947741171764126,-2810.987959111079,-2829.108046642016,0.5044758531703565,0.14257019237739826,0.003157054139003135,0.41009141038987984,7.9999998777459185,1.0,0.0001000000002320256,0.16689923986166288,True,False,0.4625242242967211,1.5375375375375313,39.133765771084725
33,Pseudomonas,D-Glucose,D02,Model(Richards),0.18827220672122744,0.027118965826609148,-1824.870528557651,-1839.0512383355692,0.9377290018015151,0.6652411385268365,0.010553652959653492,0.4446928048151224,0.7235194034163732,0.10000000003878633,0.0,0.0,False,True,0.15872734318092013,3.340840840840841,6.620545452830824
34,Pseudomonas,D-Fructose,D03,Model(BaranyiRoberts),0.005998003180098611,0.004653325808858487,-2941.3317853408244,-2963.0758903779483,0.9998082994153725,0.9999687157435719,0.0012167965809595227,0.15711174374531178,7.9995983534584765,0.21122650288980727,0.004304121935834626,0.11778866830802404,True,True,0.23930471634409625,2.9309309309309306,26.48741020137238
35,Pseudomonas,D-Galactose,D04,Model(Richards),6.794129544244077e-06,0.0001566127181330608,-4831.504878194874,-4846.000948219624,0.857549586161265,0.2839976528456127,0.0003707056260344732,0.012392797481716178,0.08127815521572947,3.259547259359133,0.0,0.0,False,True,0.08093411291161659,8.504504504504503,23.34797705146226
36,Pseudomonas,D-Ribose,D05,Model(Logistic),1.594172083142927e-05,0.00023989860095803374,-4600.88094530995,-4611.752997828512,0.8403332264453404,0.3752627506909787,0.00010860193076656088,0.02108623827899958,0.1075466388042266,1.0,0.0,0.0,False,False,0.0946352062331404,6.486486486486486,30.47437233557039
37,Pseudomonas,L-Arabinose,D06,Model(RichardsLag1),1.7004790566086735e-05,0.00024776831035796653,-4571.751042884311,-4589.8711304152475,0.5172861943788051,0.14895302363697868,0.00010000000069410042,0.012773512069645498,0.6023946429038415,0.1000000001507142,0.001832018753883835,0.0,True,True,0.1368198683957199,3.8918918918918894,22.961094737973276
38,Pseudomonas,Glycerol,D07,Model(BaranyiRoberts),0.0027746731862119496,0.0031649440292596627,-3154.869323895441,-3176.613428932565,0.9988290565255408,0.9998085672605943,0.0022288382773121285,0.1923370864847671,1.6663054668994628,0.10000000006092152,0.0008407912551178232,0.40967996436439935,True,True,0.2989305022337377,2.306306306306304,21.06880384664645
39,Pseudomonas,Pyruvate,D08,Model(Richards),0.0017133023875295353,0.003630323557872298,-1441.3225722703355,-1452.792710072158,0.9129097587811941,0.6652409003887975,0.00010000000009546817,0.11805643541507416,0.9169117758723684,0.2641085482478933,0.0,0.0,False,True,0.44701536294058536,0.9174174174174173,7.270482930916378
40,Pseudomonas,Succinate,D09,Model(Logistic),0.0012143320752265963,0.003263745662211092,-1291.0639915383545,-1299.272586883538,0.7430732862820499,0.35632062423766014,0.0008232550754372348,0.14835748435306195,0.401712517294459,1.0,0.0,0.0,False,False,0.3575352458947714,1.7308975639539537,7.924178062407286
41,Pseudomonas,Fumarate,D10,Model(Richards),0.001320075803158441,0.003747447078754885,-1032.1227454396674,-1042.2959245687473,0.8978400340773124,0.6652403366537316,0.0008935852553606516,0.1404721915887137,0.40584314032025287,2.1951455593744513,0.0,0.0,False,True,0.40748250087459215,1.716716716716716,7.890060034200979
42,Pseudomonas,L-Malate,D11,Model(Richards),0.001626348360717232,0.004227524099030267,-976.793819327581,-986.8372573536484,0.8962039090757382,0.6652409567804216,0.0027989257531555456,0.18777653055054833,0.3140000995027908,6.989260487254269,0.0,0.0,False,True,0.31916265852397574,2.2122122122122114,8.610842486425934
43,Pseudomonas,Acetate,D12,Model(BaranyiRoberts),0.00598227659658672,0.004834073639842165,-2696.746606034521,-2718.0176707013984,0.9999999999999996,1.0,0.0025678245800058175,0.40588971718404165,2.6543499345916004,0.11570165274447182,0.00010000000059773306,0.29143561383474426,True,True,0.37431534716707576,1.870870870870867,33.02316111464658
44,Ecoli,D-Glucose,E02,Model(Richards),0.0010325807566329047,0.0024430871645997037,-2060.4013451950095,-2073.0145115730006,0.9243777801824566,0.6652414066272869,0.0007649276376588965,0.29071907939587804,0.24019013704227987,2.181003454540027,0.0,0.0,False,True,0.23756734902957327,2.885552219199198,17.108751588948092
45,Ecoli,D-Fructose,E03,Model(Richards),0.0010079405811089374,0.0022119935448089343,-2497.5992741223904,-2510.9107787975486,0.9306416819153532,0.6652424033225448,0.0004721705713792712,0.2058185063291782,0.21582459004468263,2.483875468591073,0.0,0.0,False,True,0.21462780575831583,3.2220553890190153,19.89993893567657
46,Ecoli,D-Galactose,E04,Model(Richards),0.001499211397363155,0.0023264383752737592,-3336.6368234359647,-3351.132893460714,0.9401197355206863,0.6652409133210937,0.001611468622413792,0.16874052867063494,0.13519823714189277,3.908815657324504,0.0,0.0,False,True,0.1353281659446765,5.141141141141139,22.560201825672657
47,Ecoli,D-Ribose,E05,Model(RichardsLag1),0.0006378812401775308,0.0015175046496310105,-3567.721048418608,-3585.841135949545,0.6223453418925681,0.21838950235621574,0.0008886924313691313,0.17661887615062355,0.2309913348951234,0.6435481044736309,0.05422343686053033,0.0,True,True,0.17124731973277432,3.8438438438438425,27.494622219383455
48,Ecoli,L-Arabinose,E06,Model(Richards),0.0011199967613434144,0.0022360647445258982,-2712.5143361235923,-2726.1609203310127,0.9334633928239457,0.6652427891154874,0.00019605742442885266,0.20014365569316062,0.2199159182674327,3.0231624471191174,0.0,0.0,False,True,0.22029729630525616,3.1364698034034006,23.658985820595664
49,Ecoli,Glycerol,E07,Model(RichardsLag1),9.809166816455859e-05,0.0005950811253269827,-4086.3342128795484,-4104.454300410485,1.0,1.0,0.00010000000413024068,0.13577741542371524,0.7481337037501032,0.10000000008055622,0.14073441609799442,0.0,True,True,0.17280004667419635,2.2102102102102092,19.625137051776413
50,Ecoli,Pyruvate,E08,Model(BaranyiRoberts),1.0977211083256334e-05,0.0001990701405991911,-4687.3626397931375,-4709.106744830262,0.8726260895714542,0.9767150784806844,0.00042324350037281633,0.08894761555321407,1.1743497727253667,0.3294168759911027,0.0114150224312759,0.0973497854405676,True,True,0.1971582395196515,3.55555555555555,39.2007601067956
51,Ecoli,Succinate,E09,Model(Richards),0.005504063104693141,0.004457607420563156,-2976.3852127385094,-2990.8812827632587,0.0,0.0,0.0016268837524262558,0.004958604092008212,4.160674741066775,8.696486454172188,0.0,0.0,True,True,1.5161591444402154,0.14414414414414414,-3738405865535.7754
52,Ecoli,Fumarate,E10,Model(RichardsLag1),0.008235267003610108,0.005452541223063441,-2859.147031203304,-2877.2671187342407,0.0,0.0,0.07001872132860609,0.0049538507828850165,7.117362775223371,6.245542557316041,3.8810956464815227,0.0,True,False,,0.0,inf
53,Ecoli,L-Malate,E11,Model(BaranyiRoberts),2.823979206505938e-05,0.0003192940773269978,-4425.622391031721,-4447.366496068846,1.0,1.0,0.0010455559135300607,0.0574854996742018,7.999994377934961,2.611741909486021,0.004624840519085183,0.03414016975597667,True,True,0.12948605963780752,5.429429429429426,34.980262807721104
54,Ecoli,Acetate,E12,Model(BaranyiRoberts),3.124626386763906e-06,0.00010620847265358636,-5035.414991346777,-5057.159096383902,0.06416799220850505,0.2956975947891039,0.0005733021526326265,0.017072229683535944,7.916235507228278,2.6004717000168256,0.0036723670362128757,0.024389667241869306,True,False,0.0816088139747603,8.792792792792788,36.64694668666844
55,Enterobacter,D-Glucose,F02,Model(Richards),0.0025008859084309255,0.005591160331754632,-812.3228439558137,-821.8509504945092,0.8894398751012375,0.6652420308459708,0.0008340158529636099,0.3434576617932441,0.47673832067702593,4.699256143635194,0.0,0.0,False,True,0.4944538523923309,1.4574574577777764,9.098652847673211
56,Enterobacter,D-Fructose,F03,Model(Richards),0.0107722387684626,0.010762459030912544,-824.764168182387,-834.894566155,0.6877543950626882,0.3396834572932907,0.00010000000038967727,0.29259230599116104,0.5738056430307134,2.6748593255345954,0.0,0.0,False,True,0.5976470938917716,1.2145478809809802,10.624899244608866
57,Enterobacter,D-Galactose,F04,Model(BaranyiRoberts),0.0011029560651243538,0.0025933264084018336,-1922.5797605496052,-1941.1789591165505,1.0,1.0,0.0011602096464295997,0.20202342751408642,7.088212487916584,1.9159101587860028,0.018949811828484098,0.042149688692402654,True,True,0.26976800049702004,2.598431765395393,17.657256679712532
58,Enterobacter,D-Ribose,F05,Model(BaranyiRoberts),0.0022698058571290346,0.005107809951019716,-891.3998625787149,-906.1953112906424,0.9997743322318542,0.999976176278934,0.0002809620497623566,0.2666541089799692,0.871923174243886,3.860109403834561,1.2761984308978838,0.0001000005639026913,True,True,0.5073151178051863,1.422422422132131,10.46270006855717
59,Enterobacter,L-Arabinose,F06,Model(RichardsLag1),0.0006954448820371652,0.0023973899065324175,-1436.0977179861977,-1450.0766707141813,0.9166674591885522,0.7310606185877759,0.00024572291417745973,0.20249932100160617,0.36778996413884724,3.1757370287845785,1424252.9101790416,0.0,True,True,0.3738755313744109,1.8938938938938925,13.515915160364617
60,Enterobacter,Glycerol,F07,Model(RichardsLag1),0.00277081314538345,0.004708131812414304,-1315.4744544227092,-1329.6160231092208,0.6294298111961649,0.2922703389276552,0.0018060404868325275,0.32280914446102504,1.3008440177626424,0.22468179875138516,0.00010000000188603586,0.0,True,True,0.5613436774505255,1.043710377197197,10.710789484417536
61,Enterobacter,Pyruvate,F08,Model(RichardsLag1),0.001506086813548402,0.002581491999775408,-2666.5405892284853,-2683.643264224847,0.8550147872038428,0.5163306144761515,0.0005581322344236916,0.16824940965847124,0.48561577049542287,0.5735861870934431,0.0006623646976799957,0.0,True,True,0.35093178495477223,1.8188188188188157,23.020647230438048
62,Enterobacter,Succinate,F09,Model(Richards),6.716908515336914e-06,0.00015572015670227912,-4834.671245993907,-4849.1673160186565,0.9401198498607113,0.6652412777061202,0.00045628416665666194,0.006421122338540863,0.4688451043222993,0.10000000000345344,0.0,0.0,False,True,0.09235885116413545,7.255255255255255,4.477953088999041
63,Enterobacter,Fumarate,F10,Model(Richards),1.061938102669636e-05,0.00019579866092453863,-4707.790641430914,-4722.286711455663,0.9642084777048087,0.41813818366902605,0.00028666920182218725,0.007058924793923227,0.4851922033090385,0.10000000020253774,0.0,0.0,False,True,0.10243749568039522,5.7657657657657655,7.0958739548281375
64,Enterobacter,L-Malate,F11,Model(Richards),0.0014009582536894428,0.002813364246311919,-2058.4698930310287,-2071.174491961324,0.9252250556102798,0.6652331362967074,0.00010000000408427745,0.16001769073577954,0.38519248582046056,0.7532657088834792,0.0,0.0,False,True,0.31587226611040964,1.819152485625625,14.031522114473296
65,Enterobacter,Acetate,F12,Model(Richards),4.259595618592698e-06,0.00012400645753816604,-4960.831941879403,-4975.328011904152,0.7493232126455017,0.6386803765321373,0.0005180120568755164,0.006657393953906077,0.24921959268224578,0.10000001600661264,0.0,0.0,False,True,0.048337653039275924,14.126126126126126,7.612338202076762
66,Pputida,D-Glucose,G02,Model(Richards),0.04897474035685016,0.01857128260848714,-1112.2401215218292,-1124.0634297522342,0.7783370323692465,0.15448809530740376,0.00010000000188803426,0.2490139467547059,0.3353540514770285,9.999999906130906,0.0,0.0,False,True,0.3416744489502219,2.067567567567565,18.941075873396304
67,Pputida,D-Fructose,G03,Model(BaranyiRoberts),0.0021483833950434418,0.003168465676505531,-2430.733491719899,-2450.9293478100303,0.9953054281667845,0.9998371663780641,0.0006166205416642256,0.2700967771828584,7.8662536561239245,5.668993686483589,0.01749549784295068,0.015666847473259526,True,True,0.21494334099909895,3.2657657657657637,27.34676127158921
68,Pputida,D-Galactose,G04,Model(Richards),6.804595505667874e-05,0.0004956342072059099,-4193.26243336352,-4207.75850338827,0.9401195736633351,0.6652405897198087,0.0001000000010549229,0.010378595733698148,0.3336993844706052,0.48033187042489045,0.0,0.0,False,True,0.22485610913897014,2.402402402402402,8.713491857519426
69,Pputida,D-Ribose,G05,Model(LogisticLag1),0.00447145185755957,0.004017763741007477,-3033.938447189225,-3048.4345172139742,7.788360855619495e-161,4.636146847473326e-162,0.005753066165658849,0.0584806802568667,0.29731184257169274,1.0,0.00010000000001841869,0.0,False,False,0.15509967931003435,4.564564564564563,31.99972961909748
70,Pputida,L-Arabinose,G06,Model(Richards),4.2705258268282545e-05,0.00039264565127698027,-4322.305993926002,-4336.802063950751,0.9851606185736298,0.6391098273463411,0.00014169553238674304,0.016956555359309622,0.7691811252100602,0.10000000000028578,0.0,0.0,False,True,0.17463943329159395,2.4984984984984986,9.58244309318813
71,Pputida,Glycerol,G07,Model(BaranyiRoberts),0.0008373925122978254,0.002046206871625918,-2444.9170983156737,-2464.707002514962,1.0,1.0,0.0012466371207311422,0.262017686851042,7.999776298706224,3.658978124730676,0.010012206873342588,0.044690230129901254,True,True,0.265420505022581,2.6401401403903897,25.719750125290496
72,Pputida,Pyruvate,G08,Model(BaranyiRoberts),0.0022060009292572064,0.0035105594337298657,-1992.2844791173611,-2011.4087939524056,0.9975854090410234,0.9995084723787249,0.002234481634568075,0.2572252338969683,1.1327305414789692,0.38613268048306804,0.010120487485012486,0.24562149000182387,True,True,0.3557611919936258,1.996996997207205,19.622068066915972
73,Pputida,Succinate,G09,Model(RichardsLag1),0.009528263882673249,0.008496106007635448,-1234.3768874084424,-1248.7908970213741,0.908979903555384,0.7244650495556392,0.0001621764407060411,0.39852675542002713,0.3674065893091757,2.798612416275862,134196.78703030228,0.0,True,True,0.3721302907746825,1.8847180511211192,16.382660569230048
74,Pputida,Fumarate,G10,Model(Logistic),0.0061660904904767356,0.007487013296050906,-1062.7073292696618,-1070.8087703670392,0.9731309116944452,0.6319633897532082,0.0001000000019872882,0.7112807630193907,0.4693091566837389,1.0,0.0,0.0,False,False,0.42110020645647367,1.4736403072172166,14.552354954354751
75,Pputida,L-Malate,G11,Model(BaranyiRoberts),0.004067714787467634,0.005774246659733166,-1228.8366587575342,-1245.6607850259338,0.5603583020319598,0.8381635314234991,0.0006664125924085162,0.3680063298266145,3.9223182815723185,4.727122342260627,0.05838085708546048,0.03840073045054049,True,True,0.4096694877079335,1.730730730990988,16.0569276451717
76,Pputida,Acetate,G12,Model(BaranyiRoberts),0.005345113383092168,0.004551647364736792,-2749.09152602558,-2770.40928353511,0.999567414622177,0.9999267660316284,0.003403215815696692,0.39300157062230445,0.5673648763626812,3.040891611401491,0.00010000000037169166,0.2744154809903181,True,True,0.4650786198920833,1.5258591924124119,37.932433481758004
77,Pseudomonas,D-Glucose,H02,Model(Richards),0.005637924988487704,0.005108963160596479,-2258.058687687247,-2271.559801317984,0.9322523162109286,0.6652410452019356,0.0023739776751845465,0.5291114224543019,1.0168353953398441,0.10000000006789875,0.0,0.0,False,True,0.23308209966060844,1.704204204054054,8.664563257278255
78,Pseudomonas,D-Fructose,H03,Model(Richards),0.0095624246491431,0.005875490500806324,-2823.3829460229135,-2837.879016047663,0.9403755350498004,0.670071184209179,0.001987640202555818,0.30167339636305535,0.12198608707139831,5.2184760869299645,0.0,0.0,False,True,0.12223739647105177,5.669669669669666,28.79127472761569
79,Pseudomonas,D-Galactose,H04,Model(Richards),5.232208904722973e-06,0.00013743667927912937,-4903.864312713593,-4918.360382738342,0.94157697465721,0.6699859469390012,0.0005999196032437926,0.012200436600675824,0.25795408842653994,0.10000000387162662,0.0,0.0,False,True,0.053415712583517586,11.531531531531531,11.520994058210151
80,Pseudomonas,D-Ribose,H05,Model(BaranyiRoberts),9.023459704813666e-06,0.00018048730372073675,-4741.6528626409445,-4763.396967678069,0.00023762865549088646,0.02931212123462663,0.0019015209162092095,0.04641709541686989,0.7269182007133685,8.161272811004238,0.03742099374999164,0.0009567146127360537,False,False,,25.609609609609606,
81,Pseudomonas,L-Arabinose,H06,Model(Logistic),4.4833039976372575e-06,0.0001272211184821928,-4952.277425331165,-4963.149477849727,0.7147794210035989,0.22792153835429924,0.0009039627716247445,0.00839170570625547,0.034151184995429386,1.0,0.0,0.0,False,False,0.02860998949046566,24.07207207207207,13.847530129701061
82,Pseudomonas,Glycerol,H07,Model(Richards),0.01637685900866377,0.007689098431436345,-2674.3491947233842,-2688.8452647481336,0.9401197337953255,0.6652409525243533,0.002238395401124027,0.4481092827871904,0.14049515856366182,1.8307559319857485,0.0,0.0,False,True,0.13638136678277282,4.948948948948946,24.38913317715968
83,Pseudomonas,Pyruvate,H08,Model(Logistic),0.09147363145323556,0.02160329144579636,-1487.450216929542,-1497.2845609072335,5.931249991369901e-07,8.265911667253697e-08,0.020590523148144246,0.7003416485509175,0.110101507612611,1.0,0.0,0.0,False,True,0.09564057305059609,6.561561561561561,14.645986688207726
84,Pseudomonas,Succinate,H09,Model(Richards),0.043180672571856205,0.013613404239443832,-1980.4582166435046,-1994.2623704577672,0.9347506620829025,0.665241009915757,0.014207113568999397,0.4833566003179872,0.6173167205907671,0.10000000004505737,0.0,0.0,False,True,0.13368694474030293,4.1521521524924925,6.888663287180067
85,Pseudomonas,Fumarate,H10,Model(Richards),0.04552634853644219,0.01490234038526347,-1703.2651323502935,-1716.5571722668471,0.9304739900760617,0.6652409798295833,0.014863405642915994,0.4518854461218351,0.7517794337516132,0.10000000041708447,0.0,0.0,False,True,0.16156705145287745,3.4954954954954953,5.275491847675561
