Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint,OD
2.97,Glycine,D-Glucose,Ecoli,2,16,0.0423
0.727,Citric acid,D-Glucose,Ecoli,2,16,0.0423
0,Alanine,D-Glucose,Ecoli,2,16,0.0423
0.856,Fumaric acid,D-Glucose,Ecoli,2,16,0.0423
0,Hippuric acid,D-Glucose,Ecoli,2,16,0.0423
0,Butyric acid,D-Glucose,Ecoli,2,16,0.0423
0.141,Methionine,D-Glucose,Ecoli,2,16,0.0423
913,Acetic acid,D-Glucose,Ecoli,2,16,0.0423
0.439,beta-Hydroxybutyric acid,D-Glucose,Ecoli,1,28,0.2317
3030,Lactic acid,D-Glucose,Ecoli,1,28,0.2317
0,Methionine,D-Glucose,Ecoli,1,28,0.2317
348,Succinic acid,D-Glucose,Ecoli,1,28,0.2317
0,Butyric acid,D-Glucose,Ecoli,1,28,0.2317
386,Pyruvic acid,D-Glucose,Ecoli,1,28,0.2317
13.4,Valine,D-Glucose,Ecoli,1,28,0.2317
129,Alanine,D-Glucose,Ecoli,1,28,0.2317
25.1,Propionic acid,D-Glucose,Ecoli,1,28,0.2317
0,Asparagine,D-Glucose,Ecoli,1,28,0.2317
35.8,Fumaric acid,D-Glucose,Ecoli,1,28,0.2317
0.109,Serine,D-Glucose,Ecoli,1,28,0.2317
5.98,Glycine,D-Glucose,Ecoli,1,28,0.2317
2.86,Citric acid,D-Glucose,Ecoli,1,28,0.2317
6.63,Acetyl-ornithine,D-Glucose,Ecoli,1,28,0.2317
2.86,Putrescine,D-Glucose,Ecoli,1,28,0.2317
3.9,Valeric acid,D-Glucose,Ecoli,1,28,0.2317
0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,1,28,0.2317
0,Hippuric acid,D-Glucose,Ecoli,1,28,0.2317
5100,Acetic acid,D-Glucose,Ecoli,1,28,0.2317
2.97,Putrescine,D-Glucose,Ecoli,2,28,0.2275
9.05,Valine,D-Glucose,Ecoli,2,28,0.2275
0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,2,28,0.2275
0.129,Methionine,D-Glucose,Ecoli,2,28,0.2275
4.41,Acetyl-ornithine,D-Glucose,Ecoli,2,28,0.2275
0,Butyric acid,D-Glucose,Ecoli,2,28,0.2275
266,Succinic acid,D-Glucose,Ecoli,2,28,0.2275
0.168,beta-Hydroxybutyric acid,D-Glucose,Ecoli,2,28,0.2275
57.3,Alanine,D-Glucose,Ecoli,2,28,0.2275
18.5,Propionic acid,D-Glucose,Ecoli,2,28,0.2275
360,Pyruvic acid,D-Glucose,Ecoli,2,28,0.2275
2.59,Citric acid,D-Glucose,Ecoli,2,28,0.2275
0.428,Serine,D-Glucose,Ecoli,2,28,0.2275
4.34,Glycine,D-Glucose,Ecoli,2,28,0.2275
0,Asparagine,D-Glucose,Ecoli,2,28,0.2275
0,Hippuric acid,D-Glucose,Ecoli,2,28,0.2275
1350,Lactic acid,D-Glucose,Ecoli,2,28,0.2275
34.1,Fumaric acid,D-Glucose,Ecoli,2,28,0.2275
4400,Acetic acid,D-Glucose,Ecoli,2,28,0.2275
3.73,Valeric acid,D-Glucose,Ecoli,2,28,0.2275
2.96,beta-Hydroxybutyric acid,D-Glucose,Ecoli,1,48,0.2522
3.45,Citric acid,D-Glucose,Ecoli,1,48,0.2522
0.0622,Serine,D-Glucose,Ecoli,1,48,0.2522
1.68,Putrescine,D-Glucose,Ecoli,1,48,0.2522
58.5,Alanine,D-Glucose,Ecoli,1,48,0.2522
0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,1,48,0.2522
430,Lactic acid,D-Glucose,Ecoli,1,48,0.2522
24.3,Valine,D-Glucose,Ecoli,1,48,0.2522
334,Succinic acid,D-Glucose,Ecoli,1,48,0.2522
0.732,Butyric acid,D-Glucose,Ecoli,1,48,0.2522
104,Fumaric acid,D-Glucose,Ecoli,1,48,0.2522
46.9,Propionic acid,D-Glucose,Ecoli,1,48,0.2522
0,Pyruvic acid,D-Glucose,Ecoli,1,48,0.2522
0.45,Asparagine,D-Glucose,Ecoli,1,48,0.2522
4.51,Glycine,D-Glucose,Ecoli,1,48,0.2522
26.6,Acetyl-ornithine,D-Glucose,Ecoli,1,48,0.2522
6460,Acetic acid,D-Glucose,Ecoli,1,48,0.2522
0,Methionine,D-Glucose,Ecoli,1,48,0.2522
0,Hippuric acid,D-Glucose,Ecoli,1,48,0.2522
4.07,Valeric acid,D-Glucose,Ecoli,1,48,0.2522
28.3,Valine,D-Glucose,Ecoli,2,48,0.207
90.8,Fumaric acid,D-Glucose,Ecoli,2,48,0.207
5.48,Glycine,D-Glucose,Ecoli,2,48,0.207
1.96,beta-Hydroxybutyric acid,D-Glucose,Ecoli,2,48,0.207
0,Methionine,D-Glucose,Ecoli,2,48,0.207
0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,2,48,0.207
0,Serine,D-Glucose,Ecoli,2,48,0.207
752,Lactic acid,D-Glucose,Ecoli,2,48,0.207
407,Succinic acid,D-Glucose,Ecoli,2,48,0.207
0.833,Butyric acid,D-Glucose,Ecoli,2,48,0.207
167,Alanine,D-Glucose,Ecoli,2,48,0.207
47.8,Propionic acid,D-Glucose,Ecoli,2,48,0.207
0,Pyruvic acid,D-Glucose,Ecoli,2,48,0.207
3.28,Citric acid,D-Glucose,Ecoli,2,48,0.207
28.8,Acetyl-ornithine,D-Glucose,Ecoli,2,48,0.207
7340,Acetic acid,D-Glucose,Ecoli,2,48,0.207
0.177,Asparagine,D-Glucose,Ecoli,2,48,0.207
4.66,Valeric acid,D-Glucose,Ecoli,2,48,0.207
2.35,Putrescine,D-Glucose,Ecoli,2,48,0.207
0,Hippuric acid,D-Glucose,Ecoli,2,48,0.207
382,Pyruvic acid,D-Glucose,Enterobacter,1,16,0.3708
6.39,Citric acid,D-Glucose,Enterobacter,1,16,0.3708
0,Serine,D-Glucose,Enterobacter,1,16,0.3708
17.9,Valine,D-Glucose,Enterobacter,1,16,0.3708
5.28,Glycine,D-Glucose,Enterobacter,1,16,0.3708
62.5,Alanine,D-Glucose,Enterobacter,1,16,0.3708
0,Butyric acid,D-Glucose,Enterobacter,1,16,0.3708
0,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,1,16,0.3708
48.4,Fumaric acid,D-Glucose,Enterobacter,1,16,0.3708
0.386,Valeric acid,D-Glucose,Enterobacter,1,16,0.3708
199,Succinic acid,D-Glucose,Enterobacter,1,16,0.3708
4700,Lactic acid,D-Glucose,Enterobacter,1,16,0.3708
0,Putrescine,D-Glucose,Enterobacter,1,16,0.3708
2.85,Acetyl-ornithine,D-Glucose,Enterobacter,1,16,0.3708
4380,Acetic acid,D-Glucose,Enterobacter,1,16,0.3708
5.55,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,1,16,0.3708
0,Methionine,D-Glucose,Enterobacter,1,16,0.3708
0,Asparagine,D-Glucose,Enterobacter,1,16,0.3708
0.508,Propionic acid,D-Glucose,Enterobacter,1,16,0.3708
0,Hippuric acid,D-Glucose,Enterobacter,1,16,0.3708
209,Succinic acid,D-Glucose,Enterobacter,2,16,0.3395
85.5,Alanine,D-Glucose,Enterobacter,2,16,0.3395
1.29,Propionic acid,D-Glucose,Enterobacter,2,16,0.3395
0.235,Serine,D-Glucose,Enterobacter,2,16,0.3395
22,Valine,D-Glucose,Enterobacter,2,16,0.3395
6.18,Glycine,D-Glucose,Enterobacter,2,16,0.3395
393,Pyruvic acid,D-Glucose,Enterobacter,2,16,0.3395
6.09,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,2,16,0.3395
0,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,2,16,0.3395
53.1,Fumaric acid,D-Glucose,Enterobacter,2,16,0.3395
4575,Acetic acid,D-Glucose,Enterobacter,2,16,0.3395
4910,Lactic acid,D-Glucose,Enterobacter,2,16,0.3395
0,Putrescine,D-Glucose,Enterobacter,2,16,0.3395
3.56,Acetyl-ornithine,D-Glucose,Enterobacter,2,16,0.3395
0,Hippuric acid,D-Glucose,Enterobacter,2,16,0.3395
0,Butyric acid,D-Glucose,Enterobacter,2,16,0.3395
0,Methionine,D-Glucose,Enterobacter,2,16,0.3395
6.96,Citric acid,D-Glucose,Enterobacter,2,16,0.3395
0.394,Valeric acid,D-Glucose,Enterobacter,2,16,0.3395
0,Asparagine,D-Glucose,Enterobacter,2,16,0.3395
1.31,Asparagine,D-Glucose,Enterobacter,1,28,0.4076
0,Serine,D-Glucose,Enterobacter,1,28,0.4076
5.08,Propionic acid,D-Glucose,Enterobacter,1,28,0.4076
2470,Lactic acid,D-Glucose,Enterobacter,1,28,0.4076
14.4,Alanine,D-Glucose,Enterobacter,1,28,0.4076
10.6,Valine,D-Glucose,Enterobacter,1,28,0.4076
250,Succinic acid,D-Glucose,Enterobacter,1,28,0.4076
0.631,Butyric acid,D-Glucose,Enterobacter,1,28,0.4076
0.666,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,1,28,0.4076
4.85,Glycine,D-Glucose,Enterobacter,1,28,0.4076
7.28,Citric acid,D-Glucose,Enterobacter,1,28,0.4076
0,Hippuric acid,D-Glucose,Enterobacter,1,28,0.4076
1.2,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,1,28,0.4076
0,Putrescine,D-Glucose,Enterobacter,1,28,0.4076
4.34,Pyruvic acid,D-Glucose,Enterobacter,1,28,0.4076
0.489,Valeric acid,D-Glucose,Enterobacter,1,28,0.4076
0.0461,Methionine,D-Glucose,Enterobacter,1,28,0.4076
10.3,Acetyl-ornithine,D-Glucose,Enterobacter,1,28,0.4076
5900,Acetic acid,D-Glucose,Enterobacter,1,28,0.4076
33.5,Fumaric acid,D-Glucose,Enterobacter,1,28,0.4076
6.07,Pyruvic acid,D-Glucose,Enterobacter,2,28,0.3364
0,Serine,D-Glucose,Enterobacter,2,28,0.3364
0.129,Asparagine,D-Glucose,Enterobacter,2,28,0.3364
0.513,Butyric acid,D-Glucose,Enterobacter,2,28,0.3364
2.5,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,2,28,0.3364
0.603,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,2,28,0.3364
16.6,Alanine,D-Glucose,Enterobacter,2,28,0.3364
7.99,Citric acid,D-Glucose,Enterobacter,2,28,0.3364
265,Succinic acid,D-Glucose,Enterobacter,2,28,0.3364
0.0219,Methionine,D-Glucose,Enterobacter,2,28,0.3364
14.3,Valine,D-Glucose,Enterobacter,2,28,0.3364
6130,Acetic acid,D-Glucose,Enterobacter,2,28,0.3364
2300,Lactic acid,D-Glucose,Enterobacter,2,28,0.3364
40.6,Fumaric acid,D-Glucose,Enterobacter,2,28,0.3364
5.62,Glycine,D-Glucose,Enterobacter,2,28,0.3364
0,Hippuric acid,D-Glucose,Enterobacter,2,28,0.3364
4.68,Propionic acid,D-Glucose,Enterobacter,2,28,0.3364
0,Putrescine,D-Glucose,Enterobacter,2,28,0.3364
9.33,Acetyl-ornithine,D-Glucose,Enterobacter,2,28,0.3364
0.426,Valeric acid,D-Glucose,Enterobacter,2,28,0.3364
182,Succinic acid,D-Glucose,Enterobacter,1,48,0.3792
0.468,Pyruvic acid,D-Glucose,Enterobacter,1,48,0.3792
0,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,1,48,0.3792
5.58,Glycine,D-Glucose,Enterobacter,1,48,0.3792
0,Alanine,D-Glucose,Enterobacter,1,48,0.3792
12,Propionic acid,D-Glucose,Enterobacter,1,48,0.3792
0,Serine,D-Glucose,Enterobacter,1,48,0.3792
6.16,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,1,48,0.3792
0,Valine,D-Glucose,Enterobacter,1,48,0.3792
0.72,Asparagine,D-Glucose,Enterobacter,1,48,0.3792
309,Lactic acid,D-Glucose,Enterobacter,1,48,0.3792
0,Putrescine,D-Glucose,Enterobacter,1,48,0.3792
30.3,Acetyl-ornithine,D-Glucose,Enterobacter,1,48,0.3792
5900,Acetic acid,D-Glucose,Enterobacter,1,48,0.3792
1.66,Butyric acid,D-Glucose,Enterobacter,1,48,0.3792
17.1,Fumaric acid,D-Glucose,Enterobacter,1,48,0.3792
0,Hippuric acid,D-Glucose,Enterobacter,1,48,0.3792
0.557,Valeric acid,D-Glucose,Enterobacter,1,48,0.3792
0.0382,Methionine,D-Glucose,Enterobacter,1,48,0.3792
13.1,Citric acid,D-Glucose,Enterobacter,1,48,0.3792
6.97,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,2,48,0.3406
319,Lactic acid,D-Glucose,Enterobacter,2,48,0.3406
198,Succinic acid,D-Glucose,Enterobacter,2,48,0.3406
0.491,Pyruvic acid,D-Glucose,Enterobacter,2,48,0.3406
0,Alanine,D-Glucose,Enterobacter,2,48,0.3406
0.505,Asparagine,D-Glucose,Enterobacter,2,48,0.3406
14,Propionic acid,D-Glucose,Enterobacter,2,48,0.3406
3.03,Glycine,D-Glucose,Enterobacter,2,48,0.3406
0,Valine,D-Glucose,Enterobacter,2,48,0.3406
2.07,Butyric acid,D-Glucose,Enterobacter,2,48,0.3406
0.36,Serine,D-Glucose,Enterobacter,2,48,0.3406
25.1,Acetyl-ornithine,D-Glucose,Enterobacter,2,48,0.3406
0.486,Valeric acid,D-Glucose,Enterobacter,2,48,0.3406
19.7,Fumaric acid,D-Glucose,Enterobacter,2,48,0.3406
0,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,2,48,0.3406
0,Putrescine,D-Glucose,Enterobacter,2,48,0.3406
0,Hippuric acid,D-Glucose,Enterobacter,2,48,0.3406
6160,Acetic acid,D-Glucose,Enterobacter,2,48,0.3406
0.189,Methionine,D-Glucose,Enterobacter,2,48,0.3406
14.5,Citric acid,D-Glucose,Enterobacter,2,48,0.3406
0,Valine,D-Glucose,Pputida,1,16,0.1458
0,beta-Hydroxybutyric acid,D-Glucose,Pputida,1,16,0.1458
0.0412,Fumaric acid,D-Glucose,Pputida,1,16,0.1458
0,Serine,D-Glucose,Pputida,1,16,0.1458
0,Alanine,D-Glucose,Pputida,1,16,0.1458
0.833,Succinic acid,D-Glucose,Pputida,1,16,0.1458
0,Lactic acid,D-Glucose,Pputida,1,16,0.1458
105,Acetic acid,D-Glucose,Pputida,1,16,0.1458
22.7,Pyruvic acid,D-Glucose,Pputida,1,16,0.1458
0.154,alpha-Ketoglutaric acid,D-Glucose,Pputida,1,16,0.1458
0,Putrescine,D-Glucose,Pputida,1,16,0.1458
3.26,Glycine,D-Glucose,Pputida,1,16,0.1458
0,Asparagine,D-Glucose,Pputida,1,16,0.1458
0,Butyric acid,D-Glucose,Pputida,1,16,0.1458
0,Methionine,D-Glucose,Pputida,1,16,0.1458
0,Propionic acid,D-Glucose,Pputida,1,16,0.1458
0.873,Citric acid,D-Glucose,Pputida,1,16,0.1458
0,Valeric acid,D-Glucose,Pputida,1,16,0.1458
0,Acetyl-ornithine,D-Glucose,Pputida,1,16,0.1458
0,Hippuric acid,D-Glucose,Pputida,1,16,0.1458
2.93,Glycine,D-Glucose,Pputida,2,16,0.048
0,Alanine,D-Glucose,Pputida,2,16,0.048
0,Serine,D-Glucose,Pputida,2,16,0.048
37.2,Pyruvic acid,D-Glucose,Pputida,2,16,0.048
0,beta-Hydroxybutyric acid,D-Glucose,Pputida,2,16,0.048
0.033,Fumaric acid,D-Glucose,Pputida,2,16,0.048
0,Lactic acid,D-Glucose,Pputida,2,16,0.048
0,Hippuric acid,D-Glucose,Pputida,2,16,0.048
0,Propionic acid,D-Glucose,Pputida,2,16,0.048
1.16,Succinic acid,D-Glucose,Pputida,2,16,0.048
0.274,alpha-Ketoglutaric acid,D-Glucose,Pputida,2,16,0.048
0,Acetyl-ornithine,D-Glucose,Pputida,2,16,0.048
0,Valine,D-Glucose,Pputida,2,16,0.048
0,Asparagine,D-Glucose,Pputida,2,16,0.048
0,Butyric acid,D-Glucose,Pputida,2,16,0.048
85.6,Acetic acid,D-Glucose,Pputida,2,16,0.048
0,Putrescine,D-Glucose,Pputida,2,16,0.048
0.994,Citric acid,D-Glucose,Pputida,2,16,0.048
0,Methionine,D-Glucose,Pputida,2,16,0.048
0,Valeric acid,D-Glucose,Pputida,2,16,0.048
0,Alanine,D-Glucose,Pputida,1,28,0.4046
1.58,beta-Hydroxybutyric acid,D-Glucose,Pputida,1,28,0.4046
0.912,Acetyl-ornithine,D-Glucose,Pputida,1,28,0.4046
0.342,Succinic acid,D-Glucose,Pputida,1,28,0.4046
3.14,Glycine,D-Glucose,Pputida,1,28,0.4046
0,Propionic acid,D-Glucose,Pputida,1,28,0.4046
1.73,Pyruvic acid,D-Glucose,Pputida,1,28,0.4046
0,Serine,D-Glucose,Pputida,1,28,0.4046
0,Valine,D-Glucose,Pputida,1,28,0.4046
6.12,Citric acid,D-Glucose,Pputida,1,28,0.4046
0,alpha-Ketoglutaric acid,D-Glucose,Pputida,1,28,0.4046
1.33,Asparagine,D-Glucose,Pputida,1,28,0.4046
0,Valeric acid,D-Glucose,Pputida,1,28,0.4046
0,Butyric acid,D-Glucose,Pputida,1,28,0.4046
0.55,Methionine,D-Glucose,Pputida,1,28,0.4046
0,Hippuric acid,D-Glucose,Pputida,1,28,0.4046
466,Acetic acid,D-Glucose,Pputida,1,28,0.4046
67.5,Lactic acid,D-Glucose,Pputida,1,28,0.4046
0.0413,Fumaric acid,D-Glucose,Pputida,1,28,0.4046
0,Putrescine,D-Glucose,Pputida,1,28,0.4046
0,Valine,D-Glucose,Pputida,2,28,0.3459
0,Butyric acid,D-Glucose,Pputida,2,28,0.3459
2.11,beta-Hydroxybutyric acid,D-Glucose,Pputida,2,28,0.3459
0.465,Asparagine,D-Glucose,Pputida,2,28,0.3459
555,Acetic acid,D-Glucose,Pputida,2,28,0.3459
0,Alanine,D-Glucose,Pputida,2,28,0.3459
0.294,Succinic acid,D-Glucose,Pputida,2,28,0.3459
0,Serine,D-Glucose,Pputida,2,28,0.3459
0.0584,Fumaric acid,D-Glucose,Pputida,2,28,0.3459
0,Valeric acid,D-Glucose,Pputida,2,28,0.3459
0.693,Pyruvic acid,D-Glucose,Pputida,2,28,0.3459
80.5,Lactic acid,D-Glucose,Pputida,2,28,0.3459
0.954,Acetyl-ornithine,D-Glucose,Pputida,2,28,0.3459
3.32,Glycine,D-Glucose,Pputida,2,28,0.3459
8.53,Citric acid,D-Glucose,Pputida,2,28,0.3459
0,alpha-Ketoglutaric acid,D-Glucose,Pputida,2,28,0.3459
0,Putrescine,D-Glucose,Pputida,2,28,0.3459
0,Propionic acid,D-Glucose,Pputida,2,28,0.3459
0.517,Methionine,D-Glucose,Pputida,2,28,0.3459
0,Hippuric acid,D-Glucose,Pputida,2,28,0.3459
0,Pyruvic acid,D-Glucose,Pputida,1,48,0.3035
0,Valine,D-Glucose,Pputida,1,48,0.3035
0,Alanine,D-Glucose,Pputida,1,48,0.3035
0.771,Propionic acid,D-Glucose,Pputida,1,48,0.3035
1.34,beta-Hydroxybutyric acid,D-Glucose,Pputida,1,48,0.3035
0,Serine,D-Glucose,Pputida,1,48,0.3035
3.26,Glycine,D-Glucose,Pputida,1,48,0.3035
0,alpha-Ketoglutaric acid,D-Glucose,Pputida,1,48,0.3035
0.132,Succinic acid,D-Glucose,Pputida,1,48,0.3035
5.65,Acetyl-ornithine,D-Glucose,Pputida,1,48,0.3035
0.0168,Fumaric acid,D-Glucose,Pputida,1,48,0.3035
0,Asparagine,D-Glucose,Pputida,1,48,0.3035
0,Lactic acid,D-Glucose,Pputida,1,48,0.3035
0.416,Methionine,D-Glucose,Pputida,1,48,0.3035
0,Hippuric acid,D-Glucose,Pputida,1,48,0.3035
0.233,Valeric acid,D-Glucose,Pputida,1,48,0.3035
0.227,Butyric acid,D-Glucose,Pputida,1,48,0.3035
730,Acetic acid,D-Glucose,Pputida,1,48,0.3035
0,Putrescine,D-Glucose,Pputida,1,48,0.3035
1.01,Citric acid,D-Glucose,Pputida,1,48,0.3035
0.155,Succinic acid,D-Glucose,Pputida,2,48,0.2635
0.48,Asparagine,D-Glucose,Pputida,2,48,0.2635
0,Lactic acid,D-Glucose,Pputida,2,48,0.2635
0,Alanine,D-Glucose,Pputida,2,48,0.2635
4.67,Acetyl-ornithine,D-Glucose,Pputida,2,48,0.2635
0.715,Methionine,D-Glucose,Pputida,2,48,0.2635
2.67,Glycine,D-Glucose,Pputida,2,48,0.2635
1.23,Propionic acid,D-Glucose,Pputida,2,48,0.2635
0,Pyruvic acid,D-Glucose,Pputida,2,48,0.2635
0,Valine,D-Glucose,Pputida,2,48,0.2635
0,Serine,D-Glucose,Pputida,2,48,0.2635
0,Hippuric acid,D-Glucose,Pputida,2,48,0.2635
1.03,Citric acid,D-Glucose,Pputida,2,48,0.2635
0,alpha-Ketoglutaric acid,D-Glucose,Pputida,2,48,0.2635
0,Putrescine,D-Glucose,Pputida,2,48,0.2635
1.14,beta-Hydroxybutyric acid,D-Glucose,Pputida,2,48,0.2635
0.298,Valeric acid,D-Glucose,Pputida,2,48,0.2635
0.557,Butyric acid,D-Glucose,Pputida,2,48,0.2635
0.0229,Fumaric acid,D-Glucose,Pputida,2,48,0.2635
732,Acetic acid,D-Glucose,Pputida,2,48,0.2635
0,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,1,16,0.0949
0.0387,Succinic acid,D-Glucose,Pseudomonas,1,16,0.0949
0,Serine,D-Glucose,Pseudomonas,1,16,0.0949
0,Pyruvic acid,D-Glucose,Pseudomonas,1,16,0.0949
0,Lactic acid,D-Glucose,Pseudomonas,1,16,0.0949
0.511,Asparagine,D-Glucose,Pseudomonas,1,16,0.0949
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,1,16,0.0949
0.0154,Fumaric acid,D-Glucose,Pseudomonas,1,16,0.0949
0,Alanine,D-Glucose,Pseudomonas,1,16,0.0949
2.91,Glycine,D-Glucose,Pseudomonas,1,16,0.0949
0,Propionic acid,D-Glucose,Pseudomonas,1,16,0.0949
0,Valine,D-Glucose,Pseudomonas,1,16,0.0949
0,Valeric acid,D-Glucose,Pseudomonas,1,16,0.0949
0,Putrescine,D-Glucose,Pseudomonas,1,16,0.0949
0,Butyric acid,D-Glucose,Pseudomonas,1,16,0.0949
0,Acetyl-ornithine,D-Glucose,Pseudomonas,1,16,0.0949
0.218,Methionine,D-Glucose,Pseudomonas,1,16,0.0949
0,Hippuric acid,D-Glucose,Pseudomonas,1,16,0.0949
1.51,Citric acid,D-Glucose,Pseudomonas,1,16,0.0949
98.6,Acetic acid,D-Glucose,Pseudomonas,1,16,0.0949
0,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,2,16,0.2019
0,Valine,D-Glucose,Pseudomonas,2,16,0.2019
0.0385,Succinic acid,D-Glucose,Pseudomonas,2,16,0.2019
0.565,Acetyl-ornithine,D-Glucose,Pseudomonas,2,16,0.2019
0.0194,Fumaric acid,D-Glucose,Pseudomonas,2,16,0.2019
0,Alanine,D-Glucose,Pseudomonas,2,16,0.2019
0,Pyruvic acid,D-Glucose,Pseudomonas,2,16,0.2019
0,Lactic acid,D-Glucose,Pseudomonas,2,16,0.2019
0.0609,Methionine,D-Glucose,Pseudomonas,2,16,0.2019
0,Serine,D-Glucose,Pseudomonas,2,16,0.2019
0,Asparagine,D-Glucose,Pseudomonas,2,16,0.2019
0,Propionic acid,D-Glucose,Pseudomonas,2,16,0.2019
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,2,16,0.2019
2.95,Glycine,D-Glucose,Pseudomonas,2,16,0.2019
56.1,Acetic acid,D-Glucose,Pseudomonas,2,16,0.2019
0,Butyric acid,D-Glucose,Pseudomonas,2,16,0.2019
1.22,Citric acid,D-Glucose,Pseudomonas,2,16,0.2019
0,Hippuric acid,D-Glucose,Pseudomonas,2,16,0.2019
0,Valeric acid,D-Glucose,Pseudomonas,2,16,0.2019
0,Putrescine,D-Glucose,Pseudomonas,2,16,0.2019
0,Alanine,D-Glucose,Pseudomonas,1,28,0.1358
0.123,Succinic acid,D-Glucose,Pseudomonas,1,28,0.1358
0.0542,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,1,28,0.1358
0,Propionic acid,D-Glucose,Pseudomonas,1,28,0.1358
0,Pyruvic acid,D-Glucose,Pseudomonas,1,28,0.1358
0,Putrescine,D-Glucose,Pseudomonas,1,28,0.1358
0,Valine,D-Glucose,Pseudomonas,1,28,0.1358
0,Asparagine,D-Glucose,Pseudomonas,1,28,0.1358
1.62,Acetyl-ornithine,D-Glucose,Pseudomonas,1,28,0.1358
0.1,Methionine,D-Glucose,Pseudomonas,1,28,0.1358
0,Hippuric acid,D-Glucose,Pseudomonas,1,28,0.1358
2.78,Glycine,D-Glucose,Pseudomonas,1,28,0.1358
0,Lactic acid,D-Glucose,Pseudomonas,1,28,0.1358
0.0192,Fumaric acid,D-Glucose,Pseudomonas,1,28,0.1358
0,Serine,D-Glucose,Pseudomonas,1,28,0.1358
96.1,Acetic acid,D-Glucose,Pseudomonas,1,28,0.1358
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,1,28,0.1358
1.27,Citric acid,D-Glucose,Pseudomonas,1,28,0.1358
0,Butyric acid,D-Glucose,Pseudomonas,1,28,0.1358
0,Valeric acid,D-Glucose,Pseudomonas,1,28,0.1358
0,Valine,D-Glucose,Pseudomonas,2,28,0.2042
0.286,Succinic acid,D-Glucose,Pseudomonas,2,28,0.2042
0,Alanine,D-Glucose,Pseudomonas,2,28,0.2042
1.34,Pyruvic acid,D-Glucose,Pseudomonas,2,28,0.2042
0,Serine,D-Glucose,Pseudomonas,2,28,0.2042
