SID,Metabolite,Peak_Intensity,Strain,SangerID,Carbon_Source,Well,Plate,OD,Replicate,Type
C1_E1,Hypoxanthine,18337.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Imidazoleacetic acid,4291.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Indoleacetaldehyde,224.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Inosine,3986.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Inosinic acid,6562.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Itaconic/Citraconic acid,419018.34,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,L-Dopa,49509.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Lactic acid/Glyceraldehyde,757.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Malic acid,2715.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Malonic acid,0,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Mevalonic acid,15867.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,N-Methyl-L-glutamic acid,1929.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,NAD,0,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Orotic acid,12503.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Oxoglutaric acid,488.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Phenylpyruvic acid,3825.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Pyruvic acid,1205,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Uracil,63928.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Xanthine,85981.66,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Xanthosine,20856.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E2,"2',4'-Dihydroxyacetophenone",5481.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,"2,3-Diaminopropionic acid",7025.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,2-Hydroxybutyric acid,61176,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,2-Hydroxyglutaric acid,849619,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,2-Ketobutyric acid/Succinic acid semialdehyde,35709.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,2/3-Phosphoglyceric acid,1107.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,3-(2-Hydroxyphenyl)propanoic acid,61825,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,3-Amino-4-hydroxybenzoic acid,23832.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,3-Hydroxybenzoic acid,12306.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,3-Hydroxyphenylacetic acid,5481.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,4-Guanidinobutanoic acid,0,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,4-Hydroxyphenylpyruvic acid,3719.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,4-Hydroxyproline,1195.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,4-hydroxy-L-phenylglycine,37839.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Acetylglycine,242.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,"Adenosine 2',3'-cyclic phosphate",65904,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Adenosine monophosphate,4727.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Alanine/Sarcosine,0,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Aminoadipic acid,910.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Citric/Isocitric acid,187238.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Cyclic AMP,65904,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Deoxyguanosine,0,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Dethiobiotin,7652.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,FAD,400,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Fructose 6-phosphate,1502.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Fumaric acid,567.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Gluconic acid,2170.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Glucosamine 6-phosphate,1346,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Glucosamine 6-sulfate,5734.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,"Glucurono-6,3-lactone",1747.81,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Glycocholic acid,1230.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Guanine,17198,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Guanosine monophosphate,1887.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Homocystine,5667.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Hydroxyphenyllactic acid,13519.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Hypoxanthine,23907.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Imidazoleacetic acid,6298.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Indoleacetaldehyde,277.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Inosine,3710,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Inosinic acid,11302.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Itaconic/Citraconic acid,636428,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,L-Dopa,55774.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Lactic acid/Glyceraldehyde,377.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Malic acid,1940.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Malonic acid,0,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Mevalonic acid,25206.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,N-Methyl-L-glutamic acid,910.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,NAD,1216.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Orotic acid,12394,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Oxoglutaric acid,749.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Phenylpyruvic acid,2371.33,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Pyruvic acid,883.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Uracil,18462,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Xanthine,234742.67,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E2,Xanthosine,19916,Enterobacteriaceae,360,D-Glucose,C1,1,0.158,2,S
C1_E3,"2',4'-Dihydroxyacetophenone",18020,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,"2,3-Diaminopropionic acid",5332.67,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,2-Hydroxybutyric acid,55012.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,2-Hydroxyglutaric acid,743576,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,2-Ketobutyric acid/Succinic acid semialdehyde,19867.67,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,2/3-Phosphoglyceric acid,1827.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,3-(2-Hydroxyphenyl)propanoic acid,56309.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,3-Amino-4-hydroxybenzoic acid,28650.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,3-Hydroxybenzoic acid,24089.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,3-Hydroxyphenylacetic acid,18020,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,4-Guanidinobutanoic acid,0,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,4-Hydroxyphenylpyruvic acid,452.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,4-Hydroxyproline,919,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,4-hydroxy-L-phenylglycine,27619.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Acetylglycine,0,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,"Adenosine 2',3'-cyclic phosphate",67786.34,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Adenosine monophosphate,13286,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Alanine/Sarcosine,0,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Aminoadipic acid,631,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Citric/Isocitric acid,220242,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Cyclic AMP,67786.34,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Deoxyguanosine,112.67,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Dethiobiotin,7629,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,FAD,770.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Fructose 6-phosphate,937.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Fumaric acid,239,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Gluconic acid,1040.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Glucosamine 6-phosphate,2188.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Glucosamine 6-sulfate,5753.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,"Glucurono-6,3-lactone",1449.7,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Glycocholic acid,1481.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Guanine,9117.67,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Guanosine monophosphate,4974,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Homocystine,5580.67,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Hydroxyphenyllactic acid,32352.67,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Hypoxanthine,42200,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Imidazoleacetic acid,2811,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Indoleacetaldehyde,310.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Inosine,3817.67,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Inosinic acid,15237.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Itaconic/Citraconic acid,392101.66,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,L-Dopa,30760.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Lactic acid/Glyceraldehyde,387,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Malic acid,2873.67,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Malonic acid,147,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Mevalonic acid,30612,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,N-Methyl-L-glutamic acid,631,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,NAD,4034.67,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Orotic acid,12758.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Oxoglutaric acid,474.67,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Phenylpyruvic acid,1256,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Pyruvic acid,1526,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Uracil,16824.33,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Xanthine,242447.67,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_E3,Xanthosine,19871,Enterobacteriaceae,360,D-Glucose,D1,1,0.148,3,S
C1_P1,"2',4'-Dihydroxyacetophenone",2666.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,"2,3-Diaminopropionic acid",2454.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,2-Hydroxybutyric acid,6111.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,2-Hydroxyglutaric acid,67313,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,2-Ketobutyric acid/Succinic acid semialdehyde,3054.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,2/3-Phosphoglyceric acid,9005,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,3-(2-Hydroxyphenyl)propanoic acid,12504.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,3-Amino-4-hydroxybenzoic acid,3543.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,3-Hydroxybenzoic acid,665.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,3-Hydroxyphenylacetic acid,2666.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,4-Guanidinobutanoic acid,1162.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,4-Hydroxyphenylpyruvic acid,2155.33,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,4-Hydroxyproline,1820,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,4-hydroxy-L-phenylglycine,0,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Acetylglycine,4525,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,"Adenosine 2',3'-cyclic phosphate",30685,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Adenosine monophosphate,19990,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Alanine/Sarcosine,197.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Aminoadipic acid,23533,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Citric/Isocitric acid,264156.34,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Cyclic AMP,30685,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Deoxyguanosine,10132,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Dethiobiotin,24801.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,FAD,3246.33,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Fructose 6-phosphate,225.33,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Fumaric acid,0,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Gluconic acid,855747.31,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Glucosamine 6-phosphate,1676.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Glucosamine 6-sulfate,413.33,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,"Glucurono-6,3-lactone",205.9,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Glycocholic acid,0,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Guanine,0,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Guanosine monophosphate,2508.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Homocystine,0,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Hydroxyphenyllactic acid,2199.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Hypoxanthine,440.67,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Imidazoleacetic acid,0,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Indoleacetaldehyde,3107.33,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Inosine,0,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Inosinic acid,2337.33,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Itaconic/Citraconic acid,47568,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,L-Dopa,133,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Lactic acid/Glyceraldehyde,43568.33,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Malic acid,0,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Malonic acid,115352,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Mevalonic acid,5472,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,N-Methyl-L-glutamic acid,23533,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,NAD,786.33,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Orotic acid,1754,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Oxoglutaric acid,0,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Phenylpyruvic acid,2093.33,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Pyruvic acid,2989,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Uracil,20027,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Xanthine,13346,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P1,Xanthosine,263.33,Pseudomonadacae,449,D-Glucose,A1,2,0.211,1,S
C1_P2,"2',4'-Dihydroxyacetophenone",842,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,"2,3-Diaminopropionic acid",3525,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,2-Hydroxybutyric acid,6237.33,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,2-Hydroxyglutaric acid,78192,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,2-Ketobutyric acid/Succinic acid semialdehyde,4473.33,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,2/3-Phosphoglyceric acid,3043.33,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,3-(2-Hydroxyphenyl)propanoic acid,10781.67,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,3-Amino-4-hydroxybenzoic acid,3934,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,3-Hydroxybenzoic acid,1302.67,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,3-Hydroxyphenylacetic acid,842,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,4-Guanidinobutanoic acid,1678.67,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,4-Hydroxyphenylpyruvic acid,2325,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,4-Hydroxyproline,1718.33,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,4-hydroxy-L-phenylglycine,0,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Acetylglycine,3522.67,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,"Adenosine 2',3'-cyclic phosphate",11758,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Adenosine monophosphate,24198.33,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Alanine/Sarcosine,452,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Aminoadipic acid,22369.33,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Citric/Isocitric acid,340107.66,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Cyclic AMP,11758,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Deoxyguanosine,9967,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Dethiobiotin,23875.67,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,FAD,3038.67,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Fructose 6-phosphate,78.67,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Fumaric acid,0,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Gluconic acid,1086368,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Glucosamine 6-phosphate,1064.67,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Glucosamine 6-sulfate,287.67,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,"Glucurono-6,3-lactone",76.39,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Glycocholic acid,0,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Guanine,0,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Guanosine monophosphate,3096.67,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
C1_P2,Homocystine,0,Pseudomonadacae,449,D-Glucose,B1,2,0.158,2,S
