,Metabolite,Carbon source,Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],Species,Dataset
79,Alpha-ketoglutarate,Glucose,0.0041229772095017,0.0014549530569801,E. coli,Paczia-13
80,Alpha-ketoglutarate,Glucose,0.0103291414015456,0.0015489820232585,B. licheniformis,Paczia-13
81,Alpha-ketoglutarate,Glucose,0.0019668952775509,0.0007547354060725,S. cerevisiae,Paczia-13
82,Anthranilate,Galactose,,,E. coli,SINTEF-23
83,Anthranilate,L-malate,,,E. coli,SINTEF-23
84,Anthranilate,L-alanine,,,E. coli,SINTEF-23
85,Arginine,Galactose,,,E. coli,SINTEF-23
86,Arginine,L-malate,,,E. coli,SINTEF-23
87,Arginine,L-alanine,,,E. coli,SINTEF-23
88,Arginine,Glucose,0.0019029966397408,0.0002019901757975,E. coli,Paczia-13
89,Arginine,Glucose,-9.77452317972232e-05,4.098285595266105e-05,B. licheniformis,Paczia-13
90,Arginine,Glucose,-0.0008810102983082,0.0029192547416477,S. cerevisiae,Paczia-13
91,Asparagine,Galactose,-0.0001275852261206,5.146304912611781e-05,E. coli,SINTEF-23
92,Asparagine,L-malate,0.0002789290738312,5.111952900929199e-05,E. coli,SINTEF-23
93,Asparagine,L-alanine,0.0058211604135597,0.0020077294926925,E. coli,SINTEF-23
94,Asparagine,Glucose,0.0007082290734895,4.984518620934106e-05,C. glutamicum,Paczia-13
95,Asparagine,Glucose,0.000157289822222,7.135800604156927e-06,B. licheniformis,Paczia-13
96,Asparagine,Glucose,6.403278513890365e-05,1.3847262085808291e-05,S. cerevisiae,Paczia-13
97,Aspartate,Galactose,0.0001207495262639,1.6477292772447458e-05,E. coli,SINTEF-23
98,Aspartate,L-malate,-0.0005115587115999,0.0010423289095384,E. coli,SINTEF-23
99,Aspartate,L-alanine,2.971381365949496e-05,4.491512203120389e-05,E. coli,SINTEF-23
100,Aspartate,Glucose,5.305955540511345e-05,2.580828915557572e-06,E. coli,Paczia-13
101,Aspartate,Glucose,3.284380709455606e-05,1.9233770703275567e-06,B. licheniformis,Paczia-13
102,Aspartate,Glucose,1.1412906472226067e-05,3.5963026203382897e-06,S. cerevisiae,Paczia-13
103,Beta-alanine,Galactose,2.8280178505571022e-05,8.84636560823318e-06,E. coli,SINTEF-23
104,Beta-alanine,L-malate,0.00011752165575,7.195674508941424e-05,E. coli,SINTEF-23
105,Beta-alanine,L-alanine,0.0004901797682445,2.2739449751748166e-05,E. coli,SINTEF-23
106,Cdp-ethanolamine,Galactose,,,E. coli,SINTEF-23
107,Cdp-ethanolamine,L-malate,,,E. coli,SINTEF-23
108,Cdp-ethanolamine,L-alanine,,,E. coli,SINTEF-23
109,Cis-aconitate,Galactose,0.0001023582400319,5.8127661641750005e-06,E. coli,SINTEF-23
110,Cis-aconitate,L-malate,0.0004389141665854,3.5824051606598675e-05,E. coli,SINTEF-23
111,Cis-aconitate,L-alanine,0.0009137946959113,8.546694149480005e-05,E. coli,SINTEF-23
112,Cis-aconitate,Glucose,0.0006318435324293,5.215580232814383e-05,E. coli,Paczia-13
113,Cis-aconitate,Glucose,0.0004687284178304,1.1889877652165731e-05,B. licheniformis,Paczia-13
114,Citrate,Galactose,,,E. coli,SINTEF-23
115,Citrate,L-malate,0.0309035994869027,0.0457317353766317,E. coli,SINTEF-23
116,Citrate,L-alanine,-0.0018524358357555,0.0032462317052894,E. coli,SINTEF-23
117,Citrate,Glucose,0.0063218848988221,0.0004632948145419,E. coli,Paczia-13
118,Citrate,Glucose,0.0042384179054784,0.0001008187646786,B. licheniformis,Paczia-13
119,Citrate,Glucose,0.0006104505454393,0.0001490807629093,S. cerevisiae,Paczia-13
120,Citrulline,Galactose,,,E. coli,SINTEF-23
121,Citrulline,L-malate,,,E. coli,SINTEF-23
122,Citrulline,L-alanine,,,E. coli,SINTEF-23
123,Creatine,Galactose,1.0291182650784851e-06,3.431744826211689e-07,E. coli,SINTEF-23
124,Creatine,L-malate,-2.2487734505036237e-07,4.485056849624404e-07,E. coli,SINTEF-23
125,Creatine,L-alanine,-3.380730550542571e-06,1.4107414695685445e-06,E. coli,SINTEF-23
126,Creatinine,Galactose,,,E. coli,SINTEF-23
127,Creatinine,L-malate,,,E. coli,SINTEF-23
128,Creatinine,L-alanine,,,E. coli,SINTEF-23
129,Cyclic gmp,Galactose,,,E. coli,SINTEF-23
130,Cyclic gmp,L-malate,,,E. coli,SINTEF-23
131,Cyclic gmp,L-alanine,,,E. coli,SINTEF-23
132,Deoxycarnitine,Galactose,0.0002969192152782,7.82757466810869e-05,E. coli,SINTEF-23
133,Deoxycarnitine,L-malate,0.000901709297034,0.0002831622376374,E. coli,SINTEF-23
134,Deoxycarnitine,L-alanine,-0.0001135375090242,0.0001045758289572,E. coli,SINTEF-23
135,Dethiobiotin,Galactose,,,E. coli,SINTEF-23
136,Dethiobiotin,L-malate,,,E. coli,SINTEF-23
137,Dethiobiotin,L-alanine,,,E. coli,SINTEF-23
138,Diaminopimelate,Galactose,,,E. coli,SINTEF-23
139,Diaminopimelate,L-malate,,,E. coli,SINTEF-23
140,Diaminopimelate,L-alanine,,,E. coli,SINTEF-23
141,Diethanolamine,Galactose,,,E. coli,SINTEF-23
142,Diethanolamine,L-malate,,,E. coli,SINTEF-23
143,Diethanolamine,L-alanine,,,E. coli,SINTEF-23
144,Dihydroorotate,Galactose,,,E. coli,SINTEF-23
145,Dihydroorotate,L-malate,,,E. coli,SINTEF-23
146,Dihydroorotate,L-alanine,,,E. coli,SINTEF-23
147,Dihydrouracil,Galactose,,,E. coli,SINTEF-23
148,Dihydrouracil,L-malate,,,E. coli,SINTEF-23
149,Dihydrouracil,L-alanine,,,E. coli,SINTEF-23
150,Dihydroxyacetone phosphate,Glucose,0.0017999966338154,6.091112532875142e-05,E. coli,Paczia-13
151,Dihydroxyacetone phosphate,Glucose,0.0004702520547761,3.468545445997185e-05,C. glutamicum,Paczia-13
152,Dihydroxyacetone phosphate,Glucose,0.0007184216633692,2.4841762867505208e-05,B. licheniformis,Paczia-13
153,Dihydroxyacetone phosphate,Glucose,3.096248243093225e-05,2.993362524672916e-06,S. cerevisiae,Paczia-13
154,Erythrose-4-phosphate,Glucose,4.188499356045229e-05,5.6048719531770575e-06,E. coli,Paczia-13
155,Erythrose-4-phosphate,Glucose,0.0001381809357609,1.196099563097648e-05,C. glutamicum,Paczia-13
156,Erythrose-4-phosphate,Glucose,1.898956666035116e-05,7.977251828068957e-07,B. licheniformis,Paczia-13
157,Ethanol,Glucose,8.00292975321067,0.340528102372254,S. cerevisiae,Paczia-13
158,Ethanolamine,Galactose,,,E. coli,SINTEF-23
159,Ethanolamine,L-malate,,,E. coli,SINTEF-23
160,Ethanolamine,L-alanine,,,E. coli,SINTEF-23
161,Formate,Galactose,0.3572547265283111,0.1608922166600057,E. coli,SINTEF-23
162,Formate,L-malate,0.0772184218873558,0.0889565976202292,E. coli,SINTEF-23
163,Formate,L-alanine,0.0739535300445149,0.0256153670060576,E. coli,SINTEF-23
164,"Fructose-1,6-bisphosphate",Glucose,0.0025478428588481,0.00049191187648,E. coli,Paczia-13
165,"Fructose-1,6-bisphosphate",Glucose,0.0001100492672177,2.2836793796909023e-05,C. glutamicum,Paczia-13
166,"Fructose-1,6-bisphosphate",Glucose,-1.6663428412596996e-05,2.892283844538132e-05,B. licheniformis,Paczia-13
167,"Fructose-1,6-bisphosphate",Glucose,0.0004672636542298,0.0001580386137378,S. cerevisiae,Paczia-13
168,Fructose-6-phosphate,Galactose,,,E. coli,SINTEF-23
169,Fructose-6-phosphate,L-malate,,,E. coli,SINTEF-23
170,Fructose-6-phosphate,L-alanine,,,E. coli,SINTEF-23
171,Fructose-6-phosphate,Glucose,0.0016153662214265,0.0001008914510995,E. coli,Paczia-13
172,Fructose-6-phosphate,Glucose,8.691028489264957e-05,8.185166677002655e-06,C. glutamicum,Paczia-13
173,Fructose-6-phosphate,Glucose,0.0006174576957397,2.9820274420759305e-05,B. licheniformis,Paczia-13
174,Fructose-6-phosphate,Glucose,1.1928528680629004e-05,1.2137195564964747e-06,S. cerevisiae,Paczia-13
175,Fumarate,Glucose,0.0004645776802017,6.642699763370193e-05,E. coli,Paczia-13
176,Fumarate,Glucose,0.0043999057879234,0.0004972925595441,B. licheniformis,Paczia-13
177,Fumarate,Glucose,0.0002181711408598,5.5855248730353086e-05,S. cerevisiae,Paczia-13
178,Gamma-aminobutyrate,Galactose,9.163202652281302e-06,7.119288765890873e-05,E. coli,SINTEF-23
179,Gamma-aminobutyrate,L-malate,0.00014222372355,0.0004000436572218,E. coli,SINTEF-23
180,Gamma-aminobutyrate,L-alanine,0.0027288209281544,0.0015715889974817,E. coli,SINTEF-23
181,Gluconate,Galactose,,,E. coli,SINTEF-23
182,Gluconate,L-malate,,,E. coli,SINTEF-23
183,Gluconate,L-alanine,,,E. coli,SINTEF-23
184,Gluconolactone,Galactose,,,E. coli,SINTEF-23
185,Gluconolactone,L-malate,,,E. coli,SINTEF-23
186,Gluconolactone,L-alanine,,,E. coli,SINTEF-23
187,Glucose-6-phosphate,Glucose,0.0008679562459956,6.511208903732151e-05,E. coli,Paczia-13
188,Glucose-6-phosphate,Glucose,0.0001954893236698,1.780848281349671e-05,C. glutamicum,Paczia-13
189,Glucose-6-phosphate,Glucose,0.0014401086268171,5.495664121290373e-05,B. licheniformis,Paczia-13
190,Glucose-6-phosphate,Glucose,1.1423528975244457e-05,4.842674375854312e-06,S. cerevisiae,Paczia-13
191,Glutamate,Galactose,0.0017859625823931,0.0007148314193258,E. coli,SINTEF-23
192,Glutamate,L-malate,0.0012275255593944,0.0010868961162441,E. coli,SINTEF-23
193,Glutamate,L-alanine,0.000625407020368,0.0005533367537687,E. coli,SINTEF-23
194,Glutamate,Glucose,-3.5240390733026476e-06,0.0001015895027584,E. coli,Paczia-13
195,Glutamate,Glucose,0.0120729552013133,0.0012767608168621,C. glutamicum,Paczia-13
196,Glutamate,Glucose,0.0063696477366819,0.0006172392323568,B. licheniformis,Paczia-13
197,Glutamate,Glucose,0.0002209876045762,0.0001456704626523,S. cerevisiae,Paczia-13
198,Glutamine,Galactose,,,E. coli,SINTEF-23
199,Glutamine,L-malate,,,E. coli,SINTEF-23
200,Glutamine,L-alanine,0.0001897721242672,3.411963372761633e-05,E. coli,SINTEF-23
201,Glutamine,Glucose,0.0007986335711291,0.0001435644832046,C. glutamicum,Paczia-13
202,Glutamine,Glucose,0.0009993146558027,7.41820501973652e-05,B. licheniformis,Paczia-13
203,Glutamine,Glucose,0.000198451913656,8.004332143754209e-05,S. cerevisiae,Paczia-13
204,Glutarate,Galactose,,,E. coli,SINTEF-23
205,Glutarate,L-malate,-0.0002462740899398,0.0002699305157881,E. coli,SINTEF-23
206,Glutarate,L-alanine,,,E. coli,SINTEF-23
207,Glutarylcarnitine,Galactose,4.0969533772205486e-05,1.832174015181135e-05,E. coli,SINTEF-23
208,Glutarylcarnitine,L-malate,-8.758019796774997e-05,4.223680305388608e-05,E. coli,SINTEF-23
209,Glutarylcarnitine,L-alanine,3.2580820221340103e-05,2.844819243582459e-05,E. coli,SINTEF-23
210,Glyceraldehyde-3-phosphate,Glucose,0.0004985091116639,1.5918456722824232e-05,E. coli,Paczia-13
211,Glyceraldehyde-3-phosphate,Glucose,2.55806211109012e-05,8.802962792766778e-07,C. glutamicum,Paczia-13
212,Glyceraldehyde-3-phosphate,Glucose,0.0002742061831673,1.7223988822322072e-05,B. licheniformis,Paczia-13
213,Glycerol,Galactose,,,E. coli,SINTEF-23
214,Glycerol,L-malate,,,E. coli,SINTEF-23
215,Glycerol,L-alanine,,,E. coli,SINTEF-23
216,Glycerol 3-phosphate,Galactose,,,E. coli,SINTEF-23
217,Glycerol 3-phosphate,L-malate,,,E. coli,SINTEF-23
218,Glycerol 3-phosphate,L-alanine,,,E. coli,SINTEF-23
219,Glycine,Galactose,,,E. coli,SINTEF-23
220,Glycine,L-malate,,,E. coli,SINTEF-23
221,Glycine,L-alanine,0.0190982449411261,0.0070607136227162,E. coli,SINTEF-23
222,Glycine,Glucose,1.2953816171825433e-05,6.549541399545044e-06,E. coli,Paczia-13
223,Glycine,Glucose,0.019432470602868,0.0020715415125753,C. glutamicum,Paczia-13
224,Glycine,Glucose,0.0020880258574217,7.855043349325111e-05,B. licheniformis,Paczia-13
225,Guanidinosuccinate/n-acetylaspartate,Galactose,,,E. coli,SINTEF-23
226,Guanidinosuccinate/n-acetylaspartate,L-malate,,,E. coli,SINTEF-23
227,Guanidinosuccinate/n-acetylaspartate,L-alanine,,,E. coli,SINTEF-23
228,Guanine,Galactose,,,E. coli,SINTEF-23
229,Guanine,L-malate,,,E. coli,SINTEF-23
230,Guanine,L-alanine,,,E. coli,SINTEF-23
231,Hexanoate,Galactose,,,E. coli,SINTEF-23
232,Hexanoate,L-malate,,,E. coli,SINTEF-23
233,Hexanoate,L-alanine,,,E. coli,SINTEF-23
234,Hexanoylcarnitine (c6),Galactose,,,E. coli,SINTEF-23
235,Hexanoylcarnitine (c6),L-malate,,,E. coli,SINTEF-23
236,Hexanoylcarnitine (c6),L-alanine,,,E. coli,SINTEF-23
237,Hexoses,Galactose,-7.1203888512711115,0.9605961200186004,E. coli,SINTEF-23
238,Hexoses,L-malate,,,E. coli,SINTEF-23
239,Hexoses,L-alanine,,,E. coli,SINTEF-23
240,Histidine,Galactose,,,E. coli,SINTEF-23
241,Histidine,L-malate,,,E. coli,SINTEF-23
242,Histidine,L-alanine,,,E. coli,SINTEF-23
243,Histidine,Glucose,0.0009334716981224,0.0002075931446913,E. coli,Paczia-13
244,Histidine,Glucose,-0.0001097956610896,1.9871063234495683e-05,B. licheniformis,Paczia-13
245,Homoserine,Galactose,,,E. coli,SINTEF-23
246,Homoserine,L-malate,,,E. coli,SINTEF-23
247,Homoserine,L-alanine,,,E. coli,SINTEF-23
248,Homoserine,Glucose,0.000111140228376,5.003405520352499e-06,E. coli,Paczia-13
249,Homoserine,Glucose,0.0004965436009519,1.0369313911874817e-05,C. glutamicum,Paczia-13
250,Homoserine,Glucose,0.000282363775648,1.90964313667917e-05,B. licheniformis,Paczia-13
251,Hydroxyphenyllactate,Galactose,,,E. coli,SINTEF-23
252,Hydroxyphenyllactate,L-malate,,,E. coli,SINTEF-23
253,Hydroxyphenyllactate,L-alanine,,,E. coli,SINTEF-23
254,Hypoxanthine,Galactose,,,E. coli,SINTEF-23
255,Hypoxanthine,L-malate,,,E. coli,SINTEF-23
256,Hypoxanthine,L-alanine,,,E. coli,SINTEF-23
257,Inosine,Galactose,,,E. coli,SINTEF-23
258,Inosine,L-malate,,,E. coli,SINTEF-23
259,Inosine,L-alanine,,,E. coli,SINTEF-23
260,Isocitrate,Galactose,4.324173436473357e-05,1.719485047236147e-05,E. coli,SINTEF-23
261,Isocitrate,L-malate,0.00097224264302,0.0001126050051381,E. coli,SINTEF-23
262,Isocitrate,L-alanine,0.0006959753687172,5.963313509199155e-05,E. coli,SINTEF-23
263,Isocitrate,Glucose,0.0011373945039967,3.930593026472414e-05,E. coli,Paczia-13
264,Isocitrate,Glucose,0.000727634332276,3.83312511699273e-05,B. licheniformis,Paczia-13
265,Isoleucine,Galactose,-1.3247284293248264e-05,4.1429196520266454e-06,E. coli,SINTEF-23
266,Isoleucine,L-malate,-6.360339202932218e-05,1.9975952187943013e-05,E. coli,SINTEF-23
267,Isoleucine,L-alanine,0.0004757879917272,0.0001163842823947,E. coli,SINTEF-23
268,Isoleucine,Glucose,6.574863343863602e-05,2.861466041033785e-06,E. coli,Paczia-13
269,Isoleucine,Glucose,3.8654107896087585e-05,1.2988076271695094e-05,B. licheniformis,Paczia-13
270,Isoleucine,Glucose,-1.7531407930996764e-06,5.426864046243756e-06,S. cerevisiae,Paczia-13
271,Isovalerylcarnitine (c5/ic5),Galactose,,,E. coli,SINTEF-23
272,Isovalerylcarnitine (c5/ic5),L-malate,,,E. coli,SINTEF-23
273,Isovalerylcarnitine (c5/ic5),L-alanine,,,E. coli,SINTEF-23
274,Kynurenate,Galactose,,,E. coli,SINTEF-23
275,Kynurenate,L-malate,,,E. coli,SINTEF-23
276,Kynurenate,L-alanine,,,E. coli,SINTEF-23
277,Lactate,Galactose,-0.0001574116795548,0.0001488453447022,E. coli,SINTEF-23
278,Lactate,L-malate,0.0004045855227541,0.0005916464909173,E. coli,SINTEF-23
279,Lactate,L-alanine,0.0003714299501629,0.0002603006123042,E. coli,SINTEF-23
280,Leucine,Galactose,8.521009805714772e-05,5.517440135045256e-05,E. coli,SINTEF-23
281,Leucine,L-malate,5.3718661800049125e-05,6.415498854425805e-06,E. coli,SINTEF-23
282,Leucine,L-alanine,8.086757910605357e-05,9.478473647857492e-05,E. coli,SINTEF-23
283,Leucine,Glucose,6.353027333903078e-05,3.571997805753534e-06,E. coli,Paczia-13
284,Leucine,Glucose,3.8654107896087585e-05,1.2988076271695094e-05,B. licheniformis,Paczia-13
285,Leucine,Glucose,-1.7531407930996764e-06,5.426864046243756e-06,S. cerevisiae,Paczia-13
286,Lysine,Galactose,0.0001000602778115,0.0001550442043273,E. coli,SINTEF-23
287,Lysine,L-malate,,,E. coli,SINTEF-23
288,Lysine,L-alanine,-0.0031079362678179,0.0008453458224754,E. coli,SINTEF-23
289,Lysine,Glucose,0.2314309072788747,0.0048245239142621,C. glutamicum,Paczia-13
290,Lysine,Glucose,0.0001451680361534,8.232410483206023e-05,S. cerevisiae,Paczia-13
291,Malate,Galactose,0.000202909461231,0.0002898936075936,E. coli,SINTEF-23
292,Malate,L-malate,-16.505573637017203,1.1085374712367562,E. coli,SINTEF-23
293,Malate,L-alanine,0.0011053227098385,0.0005612605437161,E. coli,SINTEF-23
294,Malonylcarnitine (c3:dc),Galactose,,,E. coli,SINTEF-23
295,Malonylcarnitine (c3:dc),L-malate,,,E. coli,SINTEF-23
296,Malonylcarnitine (c3:dc),L-alanine,,,E. coli,SINTEF-23
297,Metanephrine,Galactose,,,E. coli,SINTEF-23
298,Metanephrine,L-malate,,,E. coli,SINTEF-23
299,Metanephrine,L-alanine,,,E. coli,SINTEF-23
300,Methionine,Galactose,3.4297833023755024e-06,4.6963789456042765e-06,E. coli,SINTEF-23
301,Methionine,L-malate,2.6751163367459648e-05,1.4458360610245969e-05,E. coli,SINTEF-23
302,Methionine,L-alanine,1.6246111072901327e-05,6.105613584581524e-06,E. coli,SINTEF-23
303,Methionine,Glucose,1.2369073857577402e-05,8.498375210008457e-07,E. coli,Paczia-13
304,Methionine,Glucose,2.4342369910879253e-05,1.659446739378222e-06,B. licheniformis,Paczia-13
305,Methionine,Glucose,1.957096964547751e-06,1.532498493756267e-06,S. cerevisiae,Paczia-13
306,Methylglutarate,Galactose,,,E. coli,SINTEF-23
307,Methylglutarate,L-malate,,,E. coli,SINTEF-23
308,Methylglutarate,L-alanine,,,E. coli,SINTEF-23
309,Methylguanidine,Galactose,,,E. coli,SINTEF-23
310,Methylguanidine,L-malate,,,E. coli,SINTEF-23
311,Methylguanidine,L-alanine,,,E. coli,SINTEF-23
312,Methylthioadenosine,Galactose,,,E. coli,SINTEF-23
313,Methylthioadenosine,L-malate,,,E. coli,SINTEF-23
314,Methylthioadenosine,L-alanine,,,E. coli,SINTEF-23
315,N-acetylalanine,Galactose,,,E. coli,SINTEF-23
316,N-acetylalanine,L-malate,,,E. coli,SINTEF-23
317,N-acetylalanine,L-alanine,,,E. coli,SINTEF-23
318,N-acetylglutamate,Galactose,,,E. coli,SINTEF-23
319,N-acetylglutamate,L-malate,,,E. coli,SINTEF-23
320,N-acetylglutamate,L-alanine,,,E. coli,SINTEF-23
321,N-acetylleucine,Galactose,,,E. coli,SINTEF-23
322,N-acetylleucine,L-malate,,,E. coli,SINTEF-23
323,N-acetylleucine,L-alanine,,,E. coli,SINTEF-23
324,N-acetylphenylalanine,Galactose,,,E. coli,SINTEF-23
325,N-acetylphenylalanine,L-malate,,,E. coli,SINTEF-23
326,N-acetylphenylalanine,L-alanine,,,E. coli,SINTEF-23
327,N-acetylputrescine,Galactose,,,E. coli,SINTEF-23
328,N-acetylputrescine,L-malate,,,E. coli,SINTEF-23
329,N-acetylputrescine,L-alanine,,,E. coli,SINTEF-23
330,N-acetylserine,Galactose,,,E. coli,SINTEF-23
331,N-acetylserine,L-malate,,,E. coli,SINTEF-23
332,N-acetylserine,L-alanine,,,E. coli,SINTEF-23
333,N-alpha-acetyllysine,Galactose,,,E. coli,SINTEF-23
334,N-alpha-acetyllysine,L-malate,,,E. coli,SINTEF-23
335,N-alpha-acetyllysine,L-alanine,,,E. coli,SINTEF-23
336,NAD,Galactose,1.0128878631752534e-05,5.5666095308638235e-06,E. coli,SINTEF-23
337,NAD,L-malate,6.6810901388295255e-06,5.1538623281905964e-06,E. coli,SINTEF-23
338,NAD,L-alanine,-8.906082192125148e-06,7.478924120218408e-06,E. coli,SINTEF-23
339,Nicotinamide,Galactose,,,E. coli,SINTEF-23
340,Nicotinamide,L-malate,,,E. coli,SINTEF-23
341,Nicotinamide,L-alanine,,,E. coli,SINTEF-23
342,Nicotinate,Galactose,,,E. coli,SINTEF-23
343,Nicotinate,L-malate,,,E. coli,SINTEF-23
344,Nicotinate,L-alanine,,,E. coli,SINTEF-23
345,O-acetylserine,Galactose,,,E. coli,SINTEF-23
346,O-acetylserine,L-malate,,,E. coli,SINTEF-23
347,O-acetylserine,L-alanine,,,E. coli,SINTEF-23
348,O-succinyl-homoserine,Galactose,,,E. coli,SINTEF-23
349,O-succinyl-homoserine,L-malate,,,E. coli,SINTEF-23
350,O-succinyl-homoserine,L-alanine,,,E. coli,SINTEF-23
