Ionization Mode,Ion Index,m/z,"Annotations (Compound Name, Modification, Sum-Formula, KEGG Code, HMDB Code)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,60,95.049,2-Hydroxycyclohexan-1-one -H2O-H(+) C6H10O2 C01147 n.a.,Benzene +OH(-) C6H6 C01407 HMDB01505,epsilon-Caprolactone -H2O-H(+) C6H10O2 C01880 n.a.,1-Butanol .H/Na-H(+) C4H10O C06142 HMDB04327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,61,95.102,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,62,95.979,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,63,96.966,Orthophosphate -H(+) H3PO4 C00009 HMDB01429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,64,96.974,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,65,97.026,"Propane-1,2-diol .H/Na-H(+) C3H8O2 C00583 HMDB01881",2-Hydroxymuconate semialdehyde -CO2-H(+) C6H6O4 C00682 n.a.,"Propane-1,3-diol .H/Na-H(+) C3H8O2 C02457 n.a.","cis,cis-Muconate -CO2-H(+) C6H6O4 C02480 HMDB06331","2-Oxo-2,3-dihydrofuran-5-acetate -CO2-H(+) C6H6O4 C03586 n.a.","cis,cis-4-Hydroxymuconic semialdehyde -CO2-H(+) C6H6O4 C06603 n.a.","(S)-5-Oxo-2,5-dihydrofuran-2-acetate -CO2-H(+) C6H6O4 C14610 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,66,97.063,Cyclohexanone -H(+) C6H10O C00414 HMDB03315,"trans-1,2-Cyclohexanediol -H2O-H(+) C6H12O2 C03739 n.a.","cis-1,2-Cyclohexanediol -H2O-H(+) C6H12O2 C12313 n.a.",3-Hexenal -H(+) C6H10O C16310 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,67,97.087,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,68,97.960,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,69,98.955,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,70,99.005,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,71,99.015,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,72,99.041,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,73,99.078,Cyclohexanol -H(+) C6H12O C00854 HMDB12971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,74,99.107,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,75,99.166,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,76,100.045,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,77,100.985,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,78,101.024,2-Oxoglutarate -CO2-H(+) C5H6O5 C00026 HMDB00208,2-Oxobutanoate -H(+) C4H6O3 C00109 HMDB00005,Acetoacetate -H(+) C4H6O3 C00164 HMDB00060,L-Threonine -NH3-H(+) C4H9NO3 C00188 HMDB00167,Succinate semialdehyde -H(+) C4H6O3 C00232 HMDB01259,L-Homoserine -NH3-H(+) C4H9NO3 C00263 HMDB00719,"5-Hydroxy-2,4-dioxopentanoate -CO2-H(+) C5H6O5 C05406 n.a.",L-Allothreonine -NH3-H(+) C4H9NO3 C05519 HMDB04041,(S)-Methylmalonate semialdehyde -H(+) C4H6O3 C06002 HMDB02217,Methyloxaloacetate -CO2-H(+) C5H6O5 C06030 n.a.,3-Butynoate +OH(-) C4H4O2 C06144 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,79,101.058,3-Methylbutanoic acid -H(+) C5H10O2 C08262 HMDB00718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,80,102.026,2-Oxobutanoate [+1]-H(+) C4H6O3 C00109 HMDB00005,Acetoacetate [+1]-H(+) C4H6O3 C00164 HMDB00060,Succinate semialdehyde [+1]-H(+) C4H6O3 C00232 HMDB01259,(S)-Methylmalonate semialdehyde [+1]-H(+) C4H6O3 C06002 HMDB02217,3-Butynoate [+1]+OH(-) C4H4O2 C06144 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,81,102.056,L-Glutamate -CO2-H(+) C5H9NO4 C00025 HMDB00148,D-Glutamate -CO2-H(+) C5H9NO4 C00217 HMDB03339,DL-Glutamate -CO2-H(+) C5H9NO4 C00302 n.a.,4-Aminobutanoate -H(+) C4H9NO2 C00334 HMDB00112,O-Acetyl-L-serine -CO2-H(+) C5H9NO4 C00979 HMDB03011,"N,N-Dimethylglycine -H(+) C4H9NO2 C01026 HMDB00092",Acetone cyanohydrin +OH(-) C4H7NO C02659 n.a.,L-3-Amino-isobutanoate -H(+) C4H9NO2 C03284 HMDB02166,L-threo-3-Methylaspartate -CO2-H(+) C5H9NO4 C03618 n.a.,3-Aminoisobutyric acid -H(+) C4H9NO2 C05145 HMDB03911,L-4-Hydroxyglutamate semialdehyde -CO2-H(+) C5H9NO4 C05938 HMDB06556,2-Oxo-4-hydroxy-5-aminovalerate -CO2-H(+) C5H9NO4 C05941 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,82,103.038,2-Dehydro-3-deoxy-L-arabinonate -CO2-H(+) C5H8O5 C00684 n.a.,Diacetyl +OH(-) C4H6O2 C00741 HMDB03407,4-Hydroxybutanoic acid -H(+) C4H8O3 C00989 HMDB00710,(R)-3-Hydroxybutanoate -H(+) C4H8O3 C01089 HMDB00011,"L-Arabinono-1,4-lactone -CO2-H(+) C5H8O5 C01114 n.a.",D-Xylonolactone -CO2-H(+) C5H8O5 C02266 HMDB11676,(R)-2-Methylmalate -CO2-H(+) C5H8O5 C02612 n.a.,(S)-2-Methylmalate -CO2-H(+) C5H8O5 C02614 n.a.,2-Hydroxyglutarate -CO2-H(+) C5H8O5 C02630 n.a.,2-Dehydro-3-deoxy-D-xylonate -CO2-H(+) C5H8O5 C03826 n.a.,2-Hydroxybutanoic acid -H(+) C4H8O3 C05984 HMDB00008,(S)-3-Hydroxyisobutyrate -H(+) C4H8O3 C06001 n.a.,L-threo-3-Methylmalate -CO2-H(+) C5H8O5 C06029 n.a.,D-threo-3-Methylmalate -CO2-H(+) C5H8O5 C06031 n.a.,D-erythro-3-Methylmalate -CO2-H(+) C5H8O5 C06032 n.a.,Cyclopropanecarboxylate +OH(-) C4H6O2 C16267 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
