,Metabolite,Carbon source,Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],Metabolite value [gDW/mmol],N carbons,Mol weight [g/mol],Turnover [mmol/gDW/h],Species,Dataset,Metabolite id,Charge,Phosphate,Compound class,Comment,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area,Charge (pubchem),xlogP,pubchem id,Formula,Molecular weight [g/mol],ECMDB name,ECMDB ID,Park et al. name,Thorfinnsdottir et al. abbrv,Intracellular concentration [uM],log10(Rate [mmol/gDW/h]),log10(Metabolite value [gDW/mmol]),Rate [mmol C/gDW/h],Rate [g/gDW/h],Metabolite value [gDW/mmol C],Metabolite value [gDW/g],log10(Rate [mmol C/gDW/h]),log10(Rate [g/gDW/h]),log10(Metabolite value [gDW/mmol C]),log10(Metabolite value [gDW/g]),log10(Turnover [mmol/gDW/h]),Species - Carbon source,Intracellular concentration [M]
21,3-hydroxyanthranilate,Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
22,3-hydroxyanthranilate,L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
23,3-hydroxyanthranilate,L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
24,3-hydroxybutyrate,Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
25,3-hydroxybutyrate,L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
26,3-hydroxybutyrate,L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
27,3-hydroxyglutaric acid,Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
28,3-hydroxyglutaric acid,L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
29,3-hydroxyglutaric acid,L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
30,3-hydroxyphenylacetate,Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
31,3-hydroxyphenylacetate,L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
32,3-hydroxyphenylacetate,L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
33,3-phosphoglycerate,Glucose,0.0003232301996616,1.5433750699483736e-05,0.023129673576816,3.0,183.033421,12.2191177424204,E. coli,Paczia-12,3pg,-3.0,1.0,Other,,4.0,7.0,4.0,124.0,0.0,-2.6,724.0,C3H7O7P,186.06,3-Phosphoglycerate,ECMDB04131,3-phosphoglycerate,,1540.0,-3.4904880695135683,-1.6358304962733887,0.0009696905989848,5.916192921457569e-05,0.007709891192272,0.1263685803961234,-3.0133668147939057,-4.2279576725117956,-2.112951750993051,-0.8983608932751618,1.087039849651973,E. coli - Glucose,0.00154
34,3-phosphoglycerate,Glucose,0.0001933156093422,7.873344323204262e-06,0.0416446882478938,3.0,183.033421,4.929669133333596,C. glutamicum,Paczia-12,3pg,-3.0,1.0,Other,,4.0,7.0,4.0,124.0,0.0,-2.6,724.0,C3H7O7P,186.06,3-Phosphoglycerate,ECMDB04131,3-phosphoglycerate,,,-3.7137330772829436,-1.3804403846951823,0.0005799468280266,3.5383217310602425e-05,0.013881562749297935,0.22752504990820122,-3.2366118225632814,-4.45120268028117,-1.8575616394148446,-0.6429707816969552,0.6928177715308755,C. glutamicum - Glucose,
35,3-phosphoglycerate,Glucose,0.0009226827811686,8.478450738945099e-05,0.0343581145013982,3.0,184.041361,6.276565925624458,B. licheniformis,Paczia-12,3pg,-3.0,1.0,Other,,4.0,7.0,4.0,124.0,0.0,-2.6,724.0,C3H7O7P,186.06,3-Phosphoglycerate,ECMDB04131,3-phosphoglycerate,,,-3.0349475839875204,-1.463970677323527,0.0027680483435058,0.00016981179481753432,0.0114527048337994,0.18668691817269384,-2.557826329267858,-3.7700321477418366,-1.9410919320431894,-0.7288861135692106,0.7977220947771125,B. licheniformis - Glucose,
36,4-acetamidobutanoate,Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
37,4-acetamidobutanoate,L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
38,4-acetamidobutanoate,L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
39,4-imidazoleacetate,Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
40,4-imidazoleacetate,L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
41,4-imidazoleacetate,L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
42,Acetate,Galactose,0.2037245636129564,0.1067708730988282,0.0215371503081318,2.0,59.04402,0.2362147513554466,E. coli,SINTEF-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,-0.6909566038009567,-1.6668117609882167,0.4074491272259128,0.012028717208454671,0.0107685751540659,0.36476429464206195,-0.38992660813697544,-1.9197806851285442,-1.967841756652198,-0.43798767966062924,-0.6266929846554866,E. coli - Galactose,0.000658
43,Acetate,L-malate,0.6140630198971179,0.2666269001649362,0.001563564531648,2.0,59.04402,0.3204353859084887,E. coli,SINTEF-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,-0.21178705591241348,-2.805884189790229,1.2281260397942357,0.03625674922806583,0.000781782265824,0.026481335987082178,0.08924293975156773,-1.440611137240001,-3.10691418545421,-1.5770601084626414,-0.4942595304897407,E. coli - L-malate,0.000658
44,Acetate,L-alanine,2.114485185426341,0.4731117577039285,0.0134661334702079,2.0,59.04402,0.1748956759182512,E. coli,SINTEF-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,0.32520464672570454,-1.8707570853167943,4.228970370852682,0.12484770557801661,0.00673306673510395,0.22806938738601978,0.6262346423896857,-0.9036194346018829,-2.1717870809807756,-0.6419330039892067,-0.7572209277886609,E. coli - L-alanine,0.000658
45,Acetate,Glucose,1.544754107109071,0.1880194933834042,0.0098733997159872,2.0,59.04402,0.364498185381089,E. coli,Paczia-12,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,0.18885935856694272,-2.0055332805962536,3.089508214218142,0.09120849239523013,0.0049366998579936,0.16722099403101617,0.4898893542309239,-1.0399647227606448,-2.306563276260235,-0.776709199268666,-0.4383046294336375,E. coli - Glucose,0.000658
46,Acetate,Glucose,2.0035338561122833,0.1457603252297597,0.0225333692674689,2.0,59.04402,2.981847173106002,B. licheniformis,Paczia-12,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,0.3017966856249757,-1.6471738662047568,4.007067712224567,0.1182966930709708,0.01126668463373445,0.3816367731646473,0.6028266812889569,-0.9270273957026117,-1.948203861868738,-0.41834978487716934,0.4744853810426698,B. licheniformis - Glucose,
47,Acetate,Glucose,0.2850471928293728,0.0376362012902426,0.0001189242746502,2.0,59.04402,3.513848461258508,S. cerevisiae,Paczia-12,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,-0.5450832316102657,-3.924729488773953,0.5700943856587456,0.016830332154361343,5.94621373251e-05,0.002014162901682507,-0.24405323594628456,-1.7739073129378533,-4.225759484437934,-2.6959054074463658,0.5457830281159288,S. cerevisiae - Glucose,
48,Acetate,D-Glucose,4.708404496734845,0.3410402283187733,0.0279591412927965,2.0,59.04402,0.1384010359282248,Ecoli,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,0.6728737658013425,-1.5534761711783915,9.41680899346969,0.2780031292733021,0.01397957064639825,0.47353044885487977,0.9739037614653236,-0.5559503155262451,-1.8545061668423728,-0.324652089850804,-0.8588606591839724,Ecoli - D-Glucose,0.000658
49,Acetate,L-Malate,1.0478927536588216,0.2758941303880273,0.0279943372300833,2.0,59.04402,0.0754350720492763,Ecoli,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,0.02031683715388434,-1.5529298100309321,2.0957855073176432,0.06187180070488654,0.01399716861504165,0.47412654541617083,0.3213468328178655,-1.208507244173703,-1.8539598056949134,-0.32410572870334464,-1.1224266905214009,Ecoli - L-Malate,0.000658
50,Acetate,D-Fructose,5.995642621294249,0.8555710812901117,0.0279967077115861,2.0,59.04402,0.1250363477753383,Ecoli,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,0.7778357382146927,-1.552893036756284,11.991285242588498,0.3540068428445501,0.01399835385579305,0.4741666931144949,1.0788657338786738,-0.4509883431128948,-1.8539230324202653,-0.3240689554286966,-0.9029637202430446,Ecoli - D-Fructose,0.000658
51,Acetate,D-Galactose,3.343725103742053,0.0259544719185781,0.0279967077115667,2.0,59.04402,0.0788385249575317,Ecoli,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,0.5242305657659919,-1.552893036756585,6.687450207484106,0.19742697189984784,0.01399835385578335,0.4741666931141663,0.8252605614299731,-0.7045935155615956,-1.8539230324205662,-0.3240689554289976,-1.103261509821276,Ecoli - D-Galactose,0.000658
52,Acetate,D-Ribose,2.344531737266886,0.233930404482843,0.0279967077116083,2.0,59.04402,0.0997640513075609,Ecoli,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,0.3700561160369447,-1.5528930367559397,4.689063474533772,0.1384305787858208,0.01399835385580415,0.47416669311487086,0.6710861117009259,-0.8587679652906427,-1.853923032419921,-0.3240689554283523,-1.0010259229538037,Ecoli - D-Ribose,0.000658
53,Acetate,L-Arabinose,4.255340225129951,0.7485979007719967,0.0279967077114834,2.0,59.04402,0.1283392394450901,Ecoli,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,0.6289342887424816,-1.5528930367578773,8.510680450259901,0.2512523933593773,0.0139983538557417,0.4741666931127555,0.9299642844064627,-0.5998897925851059,-1.8539230324218585,-0.32406895543028974,-0.8916405387223979,Ecoli - L-Arabinose,0.000658
54,Acetate,Glycerol,2.119574716085603,0.2624021498488982,0.027744727809395,2.0,59.04402,0.1006686257372769,Ecoli,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,0.3262487302752056,-1.5568195314898454,4.239149432171206,0.12514821192805267,0.0138723639046975,0.4698990314242661,0.6272787259391869,-0.9025753510523818,-1.8578495271538265,-0.3279954501622579,-0.9971058600544624,Ecoli - Glycerol,0.000658
55,Acetate,Pyruvate,5.023545559527466,1.1301340879085,0.0274282362665412,2.0,59.04402,0.1148590591610421,Ecoli,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,658.0,0.7010103453158931,-1.5618021181824115,10.047091119054931,0.2966103244876509,0.0137141181332706,0.46453876728822324,1.0020403409798744,-0.5278137360116942,-1.8628321138463928,-0.3329780368548241,-0.9398347454537836,Ecoli - Pyruvate,0.000658
56,Acetate,D-Glucose,5.141350550331754,0.1078901724948421,0.0278444124965138,2.0,59.04402,0.2880569475113111,Enterobacter,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,0.711077216176792,-1.5552619410787256,10.282701100663507,0.3035660047207991,0.0139222062482569,0.47158734274044684,1.0121072118407732,-0.5177468651507955,-1.8562919367427069,-0.32643785975113826,-0.5405216457648662,Enterobacter - D-Glucose,
57,Acetate,L-Malate,3.2343388152560766,0.4523047042315949,0.0279318441779863,2.0,59.04402,0.1840186289377311,Enterobacter,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,0.5097855127530241,-1.5539003894016594,6.468677630512153,0.19096836569475611,0.01396592208899315,0.47306813082825827,0.8108155084170053,-0.7190385685745633,-1.8549303850656407,-0.32507630807407195,-0.7351382094071344,Enterobacter - L-Malate,
58,Acetate,D-Fructose,6.958493320194359,0.2182897035080903,0.0210104846856629,2.0,59.04402,0.2831564390119122,Enterobacter,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,0.8425152146736544,-1.6775639288467417,13.916986640388718,0.41085741876742216,0.01050524234283145,0.3558444138062229,1.1435452103376356,-0.38630886665393305,-1.978593924510723,-0.44873984751915424,-0.5479735580157442,Enterobacter - D-Fructose,
59,Acetate,Glycerol,2.460360866734362,0.2895597626579937,0.0098213939320634,2.0,59.04402,0.3270253542344155,Enterobacter,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,0.3909988107364913,-2.0078268692353274,4.920721733468724,0.14526959622268104,0.0049106969660317,0.16634019723019197,0.6920288064004725,-0.8378252705910961,-2.3088568648993086,-0.7790027879077401,-0.485418575238063,Enterobacter - Glycerol,
60,Acetate,Pyruvate,3.4494729948857215,0.5666158608023729,0.0273439008901033,2.0,59.04402,0.2044433690676499,Enterobacter,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,0.5377527493063784,-1.5631395287514558,6.898945989771443,0.20367075249949243,0.01367195044505165,0.46311041982072526,0.8387827449703595,-0.6910713320212091,-1.864169524415437,-0.33431544742386843,-0.6894269708226826,Enterobacter - Pyruvate,
61,Acetate,D-Glucose,0.3127311732098419,0.0306161848418834,0.0242144477002381,2.0,59.04402,0.2011160794681825,Pputida,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,-0.504828825894131,-1.6159254321914407,0.6254623464196838,0.018464905645625373,0.01210722385011905,0.41010838523931975,-0.20379883023014983,-1.7336529072217184,-1.916955427855422,-0.3871013508638532,-0.6965532056581678,Pputida - D-Glucose,
62,Acetate,L-Malate,0.0586375813697159,0.0117420514807618,0.0088847943795544,2.0,59.04402,0.2147906062042452,Pputida,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,-1.231823951386178,-2.051352618602429,0.1172751627394318,0.003462198527145133,0.0044423971897772,0.15047746375592988,-0.9307939557221967,-2.4606480327137654,-2.35238261426641,-0.8225285372748417,-0.667984716281936,Pputida - L-Malate,
63,Acetate,D-Fructose,0.6529702190488763,0.1867020562298943,0.0303444626831211,2.0,59.04402,0.1263981453650442,Pputida,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,-0.1851066257657796,-1.5179205482648488,1.3059404380977526,0.038553986672926234,0.01517223134156055,0.5139294831740979,0.1159233698982016,-1.413930707093367,-1.81895054392883,-0.2890964669372614,-0.8982592983925297,Pputida - D-Fructose,
64,Acetate,Glycerol,-0.0125183018995721,0.0177898244208246,0.0308633222494469,2.0,59.04402,0.1560810355087782,Pputida,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,,-1.5105573265896783,-0.0250366037991442,-0.0007391308677243731,0.01543166112472345,0.5227171566137756,,,-1.8115873222536596,-0.28173324526209087,-0.8066498623074355,Pputida - Glycerol,
65,Acetate,Pyruvate,0.0234688595337965,0.0046763634071952,0.0278107066310179,2.0,59.04402,0.1377568074877664,Pputida,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,-1.6295080143729992,-1.555787976182478,0.046937719067593,0.0013856958116906714,0.01390535331550895,0.4710164828041501,-1.328478018709018,-2.8583320957005864,-1.8568179718464592,-0.3269638948548906,-0.8608869305428035,Pputida - Pyruvate,
66,Acetate,D-Glucose,0.0757076585841294,0.0201506848754201,0.0342586572398578,2.0,59.04402,0.1370629231080371,Pseudomonas,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,-1.1208601850628361,-1.4652296631086406,0.1514153171682588,0.004470084507594508,0.0171293286199289,0.5802223026118105,-0.8198301893988549,-2.3496842663904234,-1.7662596587726216,-0.2364055817810531,-0.8630800103257642,Pseudomonas - D-Glucose,
67,Acetate,L-Malate,0.0545325335908558,0.0082244253669768,0.0314282376691232,2.0,59.04402,0.1485248493067616,Pseudomonas,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,-1.2633443244483877,-1.5026799712583878,0.1090650671817116,0.0032198200039891623,0.0157141188345616,0.5322848557588592,-0.9623143287844066,-2.4921684057759754,-1.8037099669223688,-0.2738558899308003,-0.8282008795860176,Pseudomonas - L-Malate,
68,Acetate,D-Fructose,0.0850162229389163,0.0497711064841774,0.0310909317299282,2.0,59.04402,0.0718821155859391,Pseudomonas,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,-1.0704981935729,-1.5073662628682525,0.1700324458778326,0.005019699567529833,0.0155454658649641,0.5265720682624286,-0.7694681979089188,-2.2993222749004874,-1.8083962585322337,-0.27854218154066496,-1.143379149512721,Pseudomonas - D-Fructose,
69,Acetate,Glycerol,0.0736890808012957,0.0269402462709728,0.0313902292238432,2.0,59.04402,0.0801986806973641,Pseudomonas,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,-1.1325968608393322,-1.5032055128986597,0.1473781616025914,0.00435089956061332,0.0156951146119216,0.5316411251104379,-0.8315668651753509,-2.3614209421669194,-1.804235508562641,-0.27438143157107214,-1.0958327759872513,Pseudomonas - Glycerol,
70,Acetate,Pyruvate,0.0080464008027345,0.0095721464937164,0.0302518988965994,2.0,59.04402,0.0562407478859837,Pseudomonas,Vila-23,ac,-1.0,0.0,Carboxylic acid,"LB, stationary phase overnight",0.0,2.0,0.0,40.1,-1.0,0.4,175.0,C2H3O2-,59.04,Acetic acid,ECMDB00042,,,,-2.094398338396549,-1.5192473597079785,0.016092801605469,0.00047509184992467195,0.0151259494482997,0.5123617751060887,-1.793368342732568,-3.3232224197241367,-1.8202773553719598,-0.290423278380391,-1.2499489127286982,Pseudomonas - Pyruvate,
