,iML1515 metabolite ID,Metabolite name,Membrane,Direction,Transport type,iML1515 transport reaction ID,Genes
79,gtp,GTP C10H12N5O14P3,outer,Import and Export,Diffusion,GTPtex,"b1377, b0929, b2215, b0241"
80,gua,Guanine,inner,Import,Proton symport,GUAt2pp,b3654
81,gua,Guanine,inner,Import and Export,Diffusion,GUAtpp,"b4064, b4464"
82,gua,Guanine,outer,Import and Export,Diffusion,GUAtex,b0411
83,h2,Hydrogen,inner,Import and Export,Diffusion,H2tpp,
84,h2,Hydrogen,outer,Import and Export,Diffusion,H2tex,"b1377, b0929, b2215, b0241"
85,h2o,H2O H2O,inner,Import and Export,Diffusion,H2Otpp,b0875
86,h2o,H2O H2O,outer,Import and Export,Diffusion,H2Otex,"b0241, b0929, b3875, b0957, b1377, b1319, b2215"
87,hdca,Hexadecanoate (n-C16:0),inner,Import,ATP-binding cassette transporter,FACOAL160t2pp,"b1701, b1805"
88,hdca,Hexadecanoate (n-C16:0),outer,Import,Diffusion,HDCAtexi,b2344
89,ocdca,Octadecanoate (n-C18:0),outer,Import,Diffusion,OCDCAtexi,b2344
90,ocdca,Octadecanoate (n-C18:0),inner,Import,ATP-binding cassette transporter,FACOAL180t2pp,"b1701, b1805"
91,no3,Nitrate,inner,Import,no2 antiporter,NO3t7pp,"b1469, b1223"
92,no3,Nitrate,outer,Import and Export,Diffusion,NO3tex,"b1377, b0929, b2215, b0241"
93,no2,Nitrite,inner,Export,no3 antiporter,NO3t7pp,"b1469, b1223"
94,no2,Nitrite,outer,Import and Export,Diffusion,NO2tex,"b1377, b0929, b2215, b0241"
95,no2,Nitrite,inner,Import and Export,Proton symport,NO2t2rpp,"b1223, b3367"
96,o2,O2 O2,inner,Import and Export,Diffusion,O2tpp,
97,o2,O2 O2,outer,Import and Export,Diffusion,O2tex,"b1377, b0929, b2215, b0241"
98,pyr,Pyruvate,outer,Import and Export,Diffusion,PYRtex,"b1377, b0929, b2215, b0241"
99,pyr,Pyruvate,inner,Import and Export,Proton symport,PYRt2rpp,
100,thm,Thiamin,outer,Import and Export,Diffusion,THMtex,"b1377, b0929, b2215, b0241"
101,thm,Thiamin,inner,Import,ATP-binding cassette transporter,THMabcpp,"b0068, b0066, b0067"
102,thr__L,L-Threonine,inner,Import,ATP-binding cassette transporter,THRabcpp,"b3455, b3457, b3460, b3454, b3456"
103,thr__L,L-Threonine,inner,Import,Proton symport,THRt2rpp,b3116
104,thr__L,L-Threonine,inner,Import,Sodium symport,THRt4pp,b3089
105,thr__L,L-Threonine,outer,Import and Export,Diffusion,THRtex,"b1377, b0929, b2215, b0241"
106,thr__L,L-Threonine,inner,Export,Proton antiport,THRt2pp,"b0813, b3823"
107,tre,Trehalose,inner,Import,PEP group translocation,TREptspp,"b2417, b4240, b2416, b2415"
108,tre,Trehalose,outer,Import and Export,Diffusion,TREtex,"b1377, b0929, b2215, b0241"
109,tmao,Trimethylamine N-oxide,outer,Import and Export,Diffusion,TMAOtex,"b1377, b0929, b2215, b0241"
110,tma,Trimethylamine,outer,Import and Export,Diffusion,TMAtex,"b1377, b0929, b2215, b0241"
111,xan,Xanthine,inner,Import and Export,Diffusion,XANtpp,
112,xan,Xanthine,outer,Import and Export,Diffusion,XANtex,"b1377, b0929, b2215, b0241"
113,xan,Xanthine,inner,Import,Proton symport,XANt2pp,"b2882, b2888, b3654"
114,15dap,"1,5-Diaminopentane",outer,Import and Export,Diffusion,DAPtex,"b1377, b0929, b2215, b0241"
115,15dap,"1,5-Diaminopentane",inner,Export,Proton antiport,CADVtpp,b4132
116,trp__L,L-Tryptophan,inner,Export,Diffusion,TRPtipp,b1473
117,trp__L,L-Tryptophan,outer,Import and Export,Diffusion,TRPtex,"b1377, b0929, b2215, b0241"
118,trp__L,L-Tryptophan,inner,Import and Export,Proton symport,TRPt2rpp,"b0112, b3161, b3709"
119,tyr__L,L-Tyrosine,inner,Import and Export,Proton symport,TYRt2rpp,"b0112, b1907"
120,tyr__L,L-Tyrosine,inner,Export,Diffusion,TYRtipp,b1473
121,tyr__L,L-Tyrosine,outer,Import and Export,Diffusion,TYRtex,"b1377, b0929, b2215, b0241"
122,uri,Uridine,outer,Import and Export,Diffusion,URItex,b0411
123,uri,Uridine,inner,Import and Export,Proton symport,URIt2pp_copy2,b2406
124,uri,Uridine,inner,Import,Proton symport,URIt2pp_copy1,"b2964, b2393"
125,val__L,L-Valine,inner,Import,ATP-binding cassette transporter,VALabcpp,"b3455, b3457, b3460, b3454, b3456"
126,val__L,L-Valine,outer,Import and Export,Diffusion,VALtex,"b1377, b0929, b2215, b0241"
127,val__L,L-Valine,inner,Import,Proton symport,VALt2rpp,b0401
128,val__L,L-Valine,inner,Export,Proton antiport,VALt3pp,"b2682, b4141, b2683"
129,12ppd__S,"(S)-Propane-1,2-diol",outer,Import and Export,Diffusion,12PPDStex,"b1377, b0929, b2215, b0241"
130,12ppd__S,"(S)-Propane-1,2-diol",inner,Import and Export,Diffusion,12PPDStpp,
131,2ddglcn,2-Dehydro-3-deoxy-D-gluconate,outer,Import and Export,Diffusion,DDGLCNtex,"b1377, b0929, b2215, b0241"
132,2ddglcn,2-Dehydro-3-deoxy-D-gluconate,inner,Import and Export,Proton symport,DDGLCNt2rpp,b3909
133,xtsn,Xanthosine,outer,Import and Export,Diffusion,XTSNtex,"b1377, b0929, b2215, b0241"
134,xtsn,Xanthosine,inner,Import and Export,Proton symport,XTSNt2rpp,b2406
135,xylu__L,L-Xylulose,outer,Import and Export,Diffusion,XYLUtex,"b1377, b0929, b2215, b0241"
136,xylu__L,L-Xylulose,inner,Import,Proton symport,XYLUt2pp,"b3579, b3578, b3577"
137,na1,Sodium,inner,Import,Sodium symport,PROt4pp,b1015
138,na1,Sodium,inner,Export,Proton antiport,NAt3_1p5pp,b1186
139,na1,Sodium,inner,Import,Sodium symport,THRt4pp,b3089
140,na1,Sodium,inner,Import,Sodium symport,SERt4pp,b3089
141,na1,Sodium,inner,Import,Sodium symport,INOSTt4pp,b3679
142,na1,Sodium,inner,Import and Export,Sodium symport,CAt6pp,b3196
143,na1,Sodium,inner,Import,Sodium symport,PPAt4pp,b1015
144,na1,Sodium,inner,Import,Sodium symport,ACt4pp,b4067
145,na1,Sodium,inner,Export,Proton antiport,NAt3_2pp,b0019
146,na1,Sodium,inner,Import,Sodium symport,ALAt4pp,b0007
147,na1,Sodium,inner,Export,Proton antiport,NAt3pp,"b0842, b1216"
148,na1,Sodium,inner,Import,Sodium symport,GLYt4pp,b0007
149,na1,Sodium,inner,Import,Sodium symport,PNTOt4pp,b3258
150,na1,Sodium,outer,Import and Export,Diffusion,NAtex,"b1377, b0929, b2215, b0241"
151,na1,Sodium,inner,Import,Sodium symport,GLUt4pp,b3653
152,na1,Sodium,inner,Import,Sodium symport,23DOGULNt4pp,"b3579, b3578, b3577"
153,na1,Sodium,inner,Import,Sodium symport,GLYCLTt4pp,b4067
154,galur,D-Galacturonate,outer,Import and Export,Diffusion,GALURtex,"b1377, b0929, b2215, b0241"
155,galur,D-Galacturonate,inner,Import and Export,Proton symport,GALURt2rpp,b3093
156,feoxam,Generic ferrioxamine-Fe-III,inner,Import,ATP-binding cassette transporter,FEOXAMabcpp,"b0153, b0151, b0152"
157,feoxam,Generic ferrioxamine-Fe-III,outer,Import,Proton antiport,FEOXAMtonex,"b3005, b0150, b3006, b1252"
158,gal,D-Galactose,inner,Import,ATP-binding cassette transporter,GALabcpp,"b4230, b4231, b2148, b2150, b2149, b4227, b4485"
159,gal,D-Galactose,outer,Import and Export,Diffusion,GALtex,"b1377, b0929, b2215, b0241"
160,gal,D-Galactose,inner,Import,Proton symport,GALt2pp,b2943
161,cbl1,Cob(I)alamin,outer,Import,Proton antiport,CBL1tonex,"b3005, b3006, b3966, b1252"
162,cbl1,Cob(I)alamin,inner,Import,ATP-binding cassette transporter,CBL1abcpp,"b1711, b0158, b1709"
163,acac,Acetoacetate,outer,Import and Export,Diffusion,ACACtex,"b1377, b0929, b2215, b0241"
164,acac,Acetoacetate,inner,Import and Export,Proton symport,ACACt2pp,b2223
165,acgam,N-Acetyl-D-glucosamine,inner,Import,PEP group translocation,ACGAptspp,"b0679, b2415, b2417, b1101, b2416"
166,acgam,N-Acetyl-D-glucosamine,outer,Import and Export,Diffusion,ACGAtex,"b1377, b0929, b2215, b0241"
167,acnam,N-Acetylneuraminate,inner,Import,Proton symport,ACNAMt2pp,b3224
168,acnam,N-Acetylneuraminate,outer,Import and Export,Diffusion,ACNAMtex,"b4311, b0929, b2215"
169,galct__D,D-Galactarate,outer,Import and Export,Diffusion,GALCTtex,"b1377, b0929, b2215, b0241"
170,galct__D,D-Galactarate,inner,Import and Export,Proton symport,GALCTt2rpp,"b3127, b2789"
171,galctn__D,D-Galactonate,inner,Import,Proton symport,GALCTNt2pp,b3691
172,galctn__D,D-Galactonate,outer,Import and Export,Diffusion,GALCTNtex,"b1377, b0929, b2215, b0241"
173,galt,Galactitol,outer,Import and Export,Diffusion,GALTtex,"b1377, b0929, b2215, b0241"
174,galt,Galactitol,inner,Import,PEP group translocation,GALTptspp,"b2092, b2415, b2094, b2093, b2416"
175,feenter,Fe-enterobactin,outer,Import,Proton antiport,FEENTERtonex,"b3005, b3006, b0584, b1252"
176,feenter,Fe-enterobactin,inner,Import,ATP-binding cassette transporter,FEENTERabcpp,"b0592, b0590, b0589, b0588"
177,fecrm,Ferrichrome,inner,Import,ATP-binding cassette transporter,FECRMabcpp,"b0153, b0151, b0152"
178,fecrm,Ferrichrome,outer,Import,Proton antiport,FECRMtonex,"b3005, b0150, b3006, b1252"
179,gam,D-Glucosamine,inner,Import,PEP group translocation,GAMptspp,"b2415, b1819, b1818, b1817, b2416"
180,gam,D-Glucosamine,outer,Import and Export,Diffusion,GAMtex,"b1377, b0929, b2215, b0241"
181,gbbtn,Gamma-butyrobetaine,inner,Export,crn antiporter,CRNt7pp,b0040
182,gbbtn,Gamma-butyrobetaine,outer,Import and Export,Diffusion,GBBTNtex,"b1377, b0929, b2215, b0241"
183,indole,Indole,outer,Import and Export,Diffusion,INDOLEtex,"b1377, b0929, b2215, b0241"
184,indole,Indole,inner,Import,Proton symport,INDOLEt2rpp,b3161
185,indole,Indole,inner,Export,Proton symport,INDOLEt2pp,"b3035, b3265, b3266"
186,arab__L,L-Arabinose,inner,Import and Export,Proton symport,ARBt2rpp,b2841
187,arab__L,L-Arabinose,inner,Export,Proton antiport,ARBt3ipp,b1528
188,arab__L,L-Arabinose,outer,Import and Export,Diffusion,ARBtex,"b1377, b0929, b2215, b0241"
189,arab__L,L-Arabinose,inner,Import,ATP-binding cassette transporter,ARBabcpp,"b1900, b1901, b4460"
190,lac__L,L-Lactate,inner,Import and Export,Proton symport,L_LACt2rpp,"b3603, b2975"
191,lac__L,L-Lactate,outer,Import and Export,Diffusion,L_LACtex,"b1377, b0241, b0929, b2215"
192,ade,Adenine,outer,Import and Export,Diffusion,ADEtex,"b1377, b0929, b2215, b0241"
193,ade,Adenine,inner,Import and Export,Proton symport,ADEt2rpp,"b3714, b3654, b3664"
194,co2,CO2 CO2,outer,Import and Export,Diffusion,CO2tex,"b1377, b0929, b2215, b0241"
195,co2,CO2 CO2,inner,Import and Export,Diffusion,CO2tpp,
196,dha,Dihydroxyacetone,inner,Import and Export,Diffusion,DHAtpp,
197,dha,Dihydroxyacetone,outer,Import and Export,Diffusion,DHAtex,"b1377, b0929, b2215, b0241"
198,dmso,Dimethyl sulfoxide,outer,Import and Export,Diffusion,DMSOtex,"b1377, b0929, b2215, b0241"
199,dmso,Dimethyl sulfoxide,inner,Import and Export,Diffusion,DMSOtpp,
200,dms,Dimethyl sulfide,outer,Import and Export,Diffusion,DMStex,"b1377, b0929, b2215, b0241"
201,arg__L,L-Arginine,outer,Import and Export,Diffusion,ARGtex,"b1377, b0929, b2215, b0241"
202,arg__L,L-Arginine,inner,Import and Export,agm antiporter,ARGAGMt7pp,b4115
203,arg__L,L-Arginine,inner,Import,ATP-binding cassette transporter,ARGabcpp,"b0861, b2307, b2310, b0864, b2308, b0863, b0860, b0862, b2306"
204,arg__L,L-Arginine,inner,Export,Proton antiport,ARGt3pp,b2923
205,arg__L,L-Arginine,inner,Import and Export,orn antiporter,ARGORNt7pp,b1605
206,adn,Adenosine,inner,Import and Export,Proton symport,ADNt2pp_copy2,b2406
207,adn,Adenosine,outer,Import and Export,Diffusion,ADNtex,b0411
208,adn,Adenosine,inner,Import,Proton symport,ADNt2pp_copy1,"b2964, b2393"
209,ala__L,L-Alanine,inner,Export,Diffusion,ALAtpp,b2670
210,ala__L,L-Alanine,inner,Import,ATP-binding cassette transporter,ALAabcpp,"b3455, b3457, b3460, b3454, b3456"
211,ala__L,L-Alanine,inner,Import,Proton symport,ALAt2pp,"b4208, b4130"
212,ala__L,L-Alanine,inner,Import,Sodium symport,ALAt4pp,b0007
213,ala__L,L-Alanine,outer,Import and Export,Diffusion,ALAtex,"b1377, b0929, b2215, b0241"
214,all__D,D-Allose,inner,Import,ATP-binding cassette transporter,ALLabcpp,"b4086, b4087, b4088"
215,all__D,D-Allose,outer,Import and Export,Diffusion,ALLtex,"b1377, b0241, b0929, b2215"
216,alltn,Allantoin,outer,Import and Export,Diffusion,ALLTNtex,"b1377, b0929, b2215, b0241"
217,alltn,Allantoin,inner,Import and Export,Proton symport,ALLTNt2rpp,b0511
218,agm,Agmatine,outer,Import and Export,Diffusion,AGMtex,"b1377, b0929, b2215, b0241"
219,agm,Agmatine,inner,Import and Export,arg__L antiporter,ARGAGMt7pp,b4115
220,ascb__L,L-Ascorbate,inner,Import,PEP group translocation,ASCBptspp,"b2416, b2415, b4194, b4195, b4193"
221,ascb__L,L-Ascorbate,outer,Import and Export,Diffusion,ASCBtex,"b1377, b0929, b2215, b0241"
222,asn__L,L-Asparagine,inner,Import and Export,Proton symport,ASNt2rpp,b1453
223,asn__L,L-Asparagine,outer,Import and Export,Diffusion,ASNtex,"b1377, b0929, b2215, b0241"
224,asp__L,L-Aspartate,inner,Import,Proton symport,ASPt2pp,b4077
225,asp__L,L-Aspartate,outer,Import and Export,Diffusion,ASPtex,"b1377, b0929, b2215, b0241"
226,asp__L,L-Aspartate,inner,Import and Export,succ antiporter,SUCASPtpp,"b4138, b4123, b0621"
227,asp__L,L-Aspartate,inner,Import,Proton antiport,ASPt2_3pp,"b4138, b4123"
228,asp__L,L-Aspartate,inner,Import,ATP-binding cassette transporter,ASPabcpp,"b0654, b0655, b0653, b0652"
229,asp__L,L-Aspartate,inner,Import,Proton antiport,ASPt2_2pp,b3528
230,asp__L,L-Aspartate,inner,Import and Export,Diffusion,ASPtpp,b1206
231,glc__D,D-Glucose,outer,Import and Export,Diffusion,GLCtex_copy2,"b1377, b0929, b2215, b0241"
232,glc__D,D-Glucose,inner,Import,PEP group translocation,GLCptspp,"b2417, b1819, b1101, b2415, b1818, b1621, b1817, b2416"
233,glc__D,D-Glucose,inner,Import,ATP-binding cassette transporter,GLCabcpp,"b2148, b2150, b2149"
234,glc__D,D-Glucose,inner,Import,Proton symport,GLCt2pp,b2943
235,glc__D,D-Glucose,outer,Import,Diffusion,GLCtex_copy1,b4036
236,glcn,D-Gluconate,inner,Import and Export,Proton symport,GLCNt2rpp,"b3415, b4476, b4265, b4321"
237,glcn,D-Gluconate,outer,Import and Export,Diffusion,GLCNtex,"b1377, b0929, b2215, b0241"
238,hxan,Hypoxanthine,inner,Import and Export,Diffusion,HYXNtpp,"b4064, b4464"
239,hxan,Hypoxanthine,outer,Import and Export,Diffusion,HYXNtex,"b1377, b0929, b2215, b0241"
240,nac,Nicotinate,outer,Import and Export,Diffusion,NACtex,"b1377, b0929, b2215, b0241"
241,nac,Nicotinate,inner,Import,Diffusion,NACtpp,
242,his__L,L-Histidine,inner,Import and Export,Proton symport,HISt2rpp,b0112
243,his__L,L-Histidine,inner,Import,ATP-binding cassette transporter,HISabcpp,"b2308, b2306, b2307, b2309"
244,his__L,L-Histidine,outer,Import and Export,Diffusion,HIStex,"b1377, b0929, b2215, b0241"
245,fe3dcit,Fe(III)dicitrate,outer,Import,Proton antiport,FE3DCITtonex,"b1252, b3005, b3006, b4291"
246,fe3dcit,Fe(III)dicitrate,inner,Import,ATP-binding cassette transporter,FE3DCITabcpp,"b4290, b4289, b4287, b4288"
247,hxa,Hexanoate (n-C6:0),inner,Import and Export,Proton symport,HEXt2rpp,b2223
248,hxa,Hexanoate (n-C6:0),outer,Import and Export,Diffusion,HXAtex,"b1377, b0929, b2215, b0241"
249,hxa,Hexanoate (n-C6:0),inner,Import,ATP-binding cassette transporter,FACOAL60t2pp,"b1701, b1805"
250,idon__L,L-Idonate,outer,Import and Export,Diffusion,IDONtex,"b1377, b0929, b2215, b0241"
251,idon__L,L-Idonate,inner,Import and Export,Proton symport,IDONt2rpp,b4265
252,ile__L,L-Isoleucine,inner,Export,Proton antiport,ILEt3pp,b4141
253,ile__L,L-Isoleucine,inner,Import,Proton symport,ILEt2rpp,b0401
254,ile__L,L-Isoleucine,outer,Import and Export,Diffusion,ILEtex,"b1377, b0929, b2215, b0241"
255,ile__L,L-Isoleucine,inner,Import,ATP-binding cassette transporter,ILEabcpp,"b3455, b3457, b3460, b3454, b3456"
256,inost,Myo-Inositol,inner,Import,Sodium symport,INOSTt4pp,b3679
257,inost,Myo-Inositol,outer,Import and Export,Diffusion,INSTtex,"b1377, b0929, b2215, b0241"
258,ins,Inosine,inner,Export,Proton antiport,INSt3pp,b3662
259,ins,Inosine,outer,Import and Export,Diffusion,INStex,b0411
260,ins,Inosine,inner,Import,Proton symport,INSt2pp,"b2964, b2393, b2406"
261,cpgn,Coprogen,outer,Import,Proton antiport,CPGNtonex,"b3005, b3006, b1102, b1252"
262,cpgn,Coprogen,inner,Import,ATP-binding cassette transporter,CPGNabcpp,"b0153, b0151, b0152"
263,glcr,D-Glucarate,outer,Import and Export,Diffusion,GLCRtex,"b1377, b0929, b2215, b0241"
264,glcr,D-Glucarate,inner,Import and Export,Proton symport,GLCRt2rpp,"b3127, b2789"
265,glcur,D-Glucuronate,outer,Import and Export,Diffusion,GLCURtex,"b1377, b0929, b2215, b0241"
266,glcur,D-Glucuronate,inner,Import and Export,Proton symport,GLCURt2rpp,"b3093, b3909"
267,gln__L,L-Glutamine,outer,Import and Export,Diffusion,GLNtex,"b1377, b0241, b0929, b2215"
268,gln__L,L-Glutamine,inner,Import,ATP-binding cassette transporter,GLNabcpp,"b0809, b0811, b0810"
269,octa,Octanoate (n-C8:0),inner,Import,ATP-binding cassette transporter,FACOAL80t2pp,"b1701, b1805"
270,octa,Octanoate (n-C8:0),outer,Import and Export,Diffusion,OCTAtex,"b1377, b0929, b2215, b0241"
271,lac__D,D-Lactate,outer,Import and Export,Diffusion,D_LACtex,"b1377, b0929, b2215, b0241"
272,lac__D,D-Lactate,inner,Import and Export,Proton symport,D_LACt2pp,"b3603, b2975"
273,orn,Ornithine,inner,Import and Export,ptrc antiporter,PTRCORNt7pp,b0692
274,orn,Ornithine,inner,Import,ATP-binding cassette transporter,ORNabcpp,"b2310, b2308, b2306, b2307"
275,orn,Ornithine,outer,Import and Export,Diffusion,ORNtex,"b1377, b0929, b2215, b0241"
276,orn,Ornithine,inner,Import and Export,arg__L antiporter,ARGORNt7pp,b1605
277,frulys,Fructoselysine,outer,Import and Export,Diffusion,FRULYStex,"b1377, b0929, b2215, b0241"
278,frulys,Fructoselysine,inner,Import,Proton symport,FRULYSt2pp,b3370
279,malt,Maltose C12H22O11,inner,Import,PEP group translocation,MALTptspp,"b1621, b2417, b2415, b2416"
280,malt,Maltose C12H22O11,inner,Import,ATP-binding cassette transporter,MALTabcpp,"b4032, b4035, b4033, b4034"
