,M,Metabolite,Carbon source,Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],Metabolite value [gDW/mmol],N carbons,Mol weight [g/mol],Turnover [mmol/gDW/h],BiGG ID,MV min,MV max,Species,Dataset,Metabolite abbrv.,R2,Mass,Metabolite id,Charge,Phosphate,Intracellular concentration [M],Compound class,Ref,Comment,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area,Charge (pubchem),xlogP,pubchem id,log10(Rate [mmol/gDW/h]),log10(Metabolite value [gDW/mmol]),Rate [mmol C/gDW/h],Rate [g/gDW/h],Metabolite value [gDW/mmol C],Metabolite value [gDW/g],log10(Rate [mmol C/gDW/h]),log10(Rate [g/gDW/h]),log10(Metabolite value [gDW/mmol C]),log10(Metabolite value [gDW/g]),log10(Turnover [mmol/gDW/h]),Species - Carbon source
10,,Phenylalanine,Glucose,1.9959724864135424e-05,8.820682821494329e-06,0.0751312354419109,9.0,165.18913999999998,0.260653573906447,s_1032,0.0735038338417926,0.0751312354419109,S. cerevisiae,Paczia-13,PHE,0.6305605002673339,165.18914,phe__L,0.0,0.0,1.82e-05,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6140.0,-4.699845449562241,-1.1241794696562737,0.00017963752377721882,3.2971297849431473e-06,0.008347915049101212,0.45481945993490197,-3.745602940122916,-5.481863957383604,-2.0784219790955984,-0.34216096183491035,-0.5839363159423799,S. cerevisiae - Glucose
11,M1,Leucine,Galactose,0.0002996785150166,inf,0.1181451778353659,6.0,131.17291999999998,0.1626447696193557,leu__L,0.1181451778353659,0.1344932631292594,E. coli,SINTEF-23,,,131.17292,leu__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6106.0,-3.523344392003322,-0.9275839996535304,0.0017980710900996001,3.930970587599127e-05,0.019690862972560983,0.9006826853848029,-2.745193141619678,-4.405500205656173,-1.705735250037174,-0.045428186000679494,-0.7887598983334089,E. coli - Galactose
12,M2,Leucine,Galactose,0.0001199244781806,inf,0.1181451778353659,6.0,131.17291999999998,0.1626447696193557,leu__L,0.1181451778353659,0.1344932631292594,E. coli,SINTEF-23,,,131.17292,leu__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6106.0,-3.9210921625746273,-0.9275839996535304,0.0007195468690836,1.5730843982425587e-05,0.019690862972560983,0.9006826853848029,-3.142940912190984,-4.803247976227478,-1.705735250037174,-0.045428186000679494,-0.7887598983334089,E. coli - Galactose
13,M3,Leucine,Galactose,0.0001151068607708,inf,0.1181451778353659,6.0,131.17291999999998,0.1626447696193557,leu__L,0.1181451778353659,0.1344932631292594,E. coli,SINTEF-23,,,131.17292,leu__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6106.0,-3.9388987901312755,-0.9275839996535304,0.0006906411646248,1.5098903039339283e-05,0.019690862972560983,0.9006826853848029,-3.160747539747632,-4.821054603784127,-1.705735250037174,-0.045428186000679494,-0.7887598983334089,E. coli - Galactose
14,M6,Leucine,L-malate,7.221432413508223e-05,inf,0.2159094243319836,6.0,131.17291999999998,0.2478064232799464,leu__L,0.1720796824410064,0.2159094243321613,E. coli,SINTEF-23,,,131.17292,leu__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6106.0,-4.1413766490258155,-0.6657284005279852,0.00043328594481049335,9.47256376262521e-06,0.0359849040553306,1.6459908366146276,-3.3632253986421725,-5.023532462678667,-1.4438796509116287,0.21642741312486574,-0.6058874406601886,E. coli - L-malate
15,M7,Leucine,L-malate,5.368934579134557e-05,inf,0.2159094243319836,6.0,131.17291999999998,0.2478064232799464,leu__L,0.1720796824410064,0.2159094243321613,E. coli,SINTEF-23,,,131.17292,leu__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6106.0,-4.270111887914945,-0.6657284005279852,0.0003221360747480734,7.0425882603405076e-06,0.0359849040553306,1.6459908366146276,-3.4919606375313013,-5.152267701567796,-1.4438796509116287,0.21642741312486574,-0.6058874406601886,E. coli - L-malate
16,M9,Leucine,L-alanine,0.0001094746056276,3.457698580920679e-05,0.1639058764077383,6.0,131.17291999999998,0.1352548889802909,leu__L,0.1639058764076051,0.1639058764077383,E. coli,SINTEF-23,,,131.17292,leu__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6106.0,-3.9606866106397476,-0.785405475680847,0.0006568476337656,1.4360103686020723e-05,0.02731764606795638,1.2495405027786095,-3.182535360256104,-4.8428424242925985,-1.5635567260644905,0.09675033797200407,-0.8688470277460663,E. coli - L-alanine
17,M10,Leucine,L-alanine,-0.0001286877688392,6.771672802778762e-05,0.1639058764077383,6.0,131.17291999999998,0.1352548889802909,leu__L,0.1639058764076051,0.1639058764077383,E. coli,SINTEF-23,,,131.17292,leu__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6106.0,,-0.785405475680847,-0.0007721266130352,-1.6880350406922873e-05,0.02731764606795638,1.2495405027786095,,,-1.5635567260644905,0.09675033797200407,-0.8688470277460663,E. coli - L-alanine
18,M11,Leucine,L-alanine,0.0002822074471149,4.020543678613663e-05,0.1639058764077383,6.0,131.17291999999998,0.1352548889802909,leu__L,0.1639058764076051,0.1639058764077383,E. coli,SINTEF-23,,,131.17292,leu__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6106.0,-3.5494315299217387,-0.785405475680847,0.0016932446826893998,3.7017974883807004e-05,0.02731764606795638,1.2495405027786095,-2.771280279538095,-4.43158734357459,-1.5635567260644905,0.09675033797200407,-0.8688470277460663,E. coli - L-alanine
19,,Leucine,Glucose,6.869210804782705e-05,3.862222627470991e-06,0.170462970769325,6.0,131.17291999999998,0.2932133556124783,leu__L,0.13701371316438,0.2279200525733937,E. coli,Paczia-13,LEU,0.9753336929548624,131.17292,leu__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6106.0,-4.163093155635636,-0.7683699470943925,0.00041215264828696225,9.010544393588972e-06,0.028410495128220834,1.2995286738247882,-3.3849419052519925,-5.045248969288487,-1.5465211974780362,0.11378586655845845,-0.5328162518457079,E. coli - Glucose
20,,Leucine,Glucose,5.798116184413137e-05,1.948211440754264e-05,0.0921118835196688,6.0,131.17292,0.1603049010875825,leu__L,0.0920622380738644,0.0921118835196688,B. licheniformis,Paczia-13,LEU+ILEU,0.7469914328118573,131.17292,leu__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6106.0,-4.236713086369094,-1.0356843370768547,0.0003478869710647882,7.605558304087297e-06,0.015351980586611467,0.7022172222717066,-3.45856183598545,-5.118868900021945,-1.8138355874604981,-0.15352852342400378,-0.7950531995251193,B. licheniformis - Glucose
21,M1,Isoleucine,Galactose,-1.0952734720723656e-05,3.484217338740509e-06,0.1314591456361424,6.0,131.17291999999998,0.1048829542756032,ile__L,0.1221201094989465,0.1314591456364089,E. coli,SINTEF-23,,,131.17292,ile__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.7,6306.0,,-0.8812091945622281,-6.571640832434193e-05,-1.4367021953027062e-06,0.021909857606023733,1.0021820482165251,,,-1.6593604449458716,0.0009466190906227663,-0.9792950882180237,E. coli - Galactose
22,M2,Isoleucine,Galactose,,,0.1314591456361424,6.0,131.17291999999998,0.1048829542756032,ile__L,0.1221201094989465,0.1314591456364089,E. coli,SINTEF-23,,,131.17292,ile__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.7,6306.0,,-0.8812091945622281,,,0.021909857606023733,1.0021820482165251,,,-1.6593604449458716,0.0009466190906227663,-0.9792950882180237,E. coli - Galactose
23,M3,Isoleucine,Galactose,-1.9424173008247427e-05,inf,0.1314591456361424,6.0,131.17291999999998,0.1048829542756032,ile__L,0.1221201094989465,0.1314591456364089,E. coli,SINTEF-23,,,131.17292,ile__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.7,6306.0,,-0.8812091945622281,-0.00011654503804948456,-2.5479254920769986e-06,0.021909857606023733,1.0021820482165251,,,-1.6593604449458716,0.0009466190906227663,-0.9792950882180237,E. coli - Galactose
24,M5,Isoleucine,L-malate,,,0.0884509497025676,6.0,131.17291999999998,0.1598002187398859,ile__L,0.0884509497025676,0.0950153862798841,E. coli,SINTEF-23,,,131.17292,ile__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.7,6306.0,,-1.0532974996861937,,,0.014741824950427933,0.6743080027689222,,,-1.8314487500698373,-0.1711416860333427,-0.7964226305448033,E. coli - L-malate
25,M6,Isoleucine,L-malate,4.476141067214557e-05,inf,0.0884509497025676,6.0,131.17291999999998,0.1598002187398859,ile__L,0.0884509497025676,0.0950153862798841,E. coli,SINTEF-23,,,131.17292,ile__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.7,6306.0,-4.349096234979376,-1.0532974996861937,0.0002685684640328734,5.8714849411844956e-06,0.014741824950427933,0.6743080027689222,-3.5709449845957324,-5.231252048632227,-1.8314487500698373,-0.1711416860333427,-0.7964226305448033,E. coli - L-malate
26,M7,Isoleucine,L-malate,,,0.0884509497025676,6.0,131.17291999999998,0.1598002187398859,ile__L,0.0884509497025676,0.0950153862798841,E. coli,SINTEF-23,,,131.17292,ile__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.7,6306.0,,-1.0532974996861937,,,0.014741824950427933,0.6743080027689222,,,-1.8314487500698373,-0.1711416860333427,-0.7964226305448033,E. coli - L-malate
27,M9,Isoleucine,L-alanine,0.0007341903741088,inf,0.0907604440125775,6.0,131.17291999999998,0.0872203414205791,ile__L,0.0907604440125386,0.0907604440125775,E. coli,SINTEF-23,,,131.17292,ile__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.7,6306.0,-3.1341913137830484,-1.0421033881535557,0.0044051422446528005,9.630589520774369e-05,0.015126740668762918,0.6919144897634171,-2.356040063399405,-4.0163471274359,-1.8202546385371994,-0.15994757450070476,-1.059382217630681,E. coli - L-alanine
28,M10,Isoleucine,L-alanine,0.0003866547280753,0.000143779161424,0.0907604440125775,6.0,131.17291999999998,0.0872203414205791,ile__L,0.0907604440125386,0.0907604440125775,E. coli,SINTEF-23,,,131.17292,ile__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.7,6306.0,-3.4126766748317015,-1.0421033881535557,0.0023199283684518,5.071862971344307e-05,0.015126740668762918,0.6919144897634171,-2.634525424448058,-4.294832488484553,-1.8202546385371994,-0.15994757450070476,-1.059382217630681,E. coli - L-alanine
29,M11,Isoleucine,L-alanine,0.0007982162116325,7.11503125009095e-05,0.0907604440125775,6.0,131.17291999999998,0.0872203414205791,ile__L,0.0907604440125386,0.0907604440125775,E. coli,SINTEF-23,,,131.17292,ile__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.7,6306.0,-3.097879456016992,-1.0421033881535557,0.004789297269795,0.00010470435127117298,0.015126740668762918,0.6919144897634171,-2.319728205633348,-3.980035269669843,-1.8202546385371994,-0.15994757450070476,-1.059382217630681,E. coli - L-alanine
30,,Isoleucine,Glucose,7.10907099055252e-05,3.09396015686778e-06,0.107305160640192,6.0,131.17291999999998,0.1890812907274698,ile__L,0.0983130302218082,0.120867573726946,E. coli,Paczia-13,ILEU,0.9850733520822396,131.17292,ile__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.7,6306.0,-4.148187148923923,-0.9693793909542395,0.00042654425943315123,9.325176003180664e-06,0.017884193440032,0.8180435461846243,-3.3700358985402796,-5.030342962576774,-1.747530641337883,-0.08722357730138848,-0.7233514417303226,E. coli - Glucose
31,,Isoleucine,Glucose,5.798116184413137e-05,1.948211440754264e-05,0.0949003509089441,6.0,131.17292,0.1248936460495955,ile__L,0.0948506960851414,0.0949003509089441,B. licheniformis,Paczia-13,LEU+ILEU,0.7469914328118573,131.17292,ile__L,0.0,0.0,0.000152,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.7,6306.0,-4.236713086369094,-1.0227321816977197,0.0003478869710647882,7.605558304087297e-06,0.01581672515149068,0.7234751723827151,-3.45856183598545,-5.118868900021945,-1.8008834320813636,-0.14057636804486895,-0.9034596557474981,B. licheniformis - Glucose
32,M1,Methionine,Galactose,3.0726607433228778e-06,inf,0.15605169563076,5.0,149.21134,0.0558058803208625,met__L,0.15605169563076,0.1821817700351558,E. coli,SINTEF-23,,,149.21134,met__L,0.0,0.0,0.000145,Amino acid,"Bennet et al, glucose",,2.0,4.0,4.0,88.6,0.0,-1.9,6137.0,-5.512485388144657,-0.8067315080042136,1.5363303716614387e-05,4.584758268766027e-07,0.031210339126152,1.0458434032611728,-4.813515383808638,-6.3386835575530815,-1.5057015123402324,0.0194666614042109,-1.2533200366117054,E. coli - Galactose
33,M2,Methionine,Galactose,-1.2220031487298393e-06,inf,0.15605169563076,5.0,149.21134,0.0558058803208625,met__L,0.15605169563076,0.1821817700351558,E. coli,SINTEF-23,,,149.21134,met__L,0.0,0.0,0.000145,Amino acid,"Bennet et al, glucose",,2.0,4.0,4.0,88.6,0.0,-1.9,6137.0,,-0.8067315080042136,-6.1100157436491965e-06,-1.8233672730619861e-07,0.031210339126152,1.0458434032611728,,,-1.5057015123402324,0.0194666614042109,-1.2533200366117054,E. coli - Galactose
34,M3,Methionine,Galactose,1.0073867786488652e-05,inf,0.15605169563076,5.0,149.21134,0.0558058803208625,met__L,0.15605169563076,0.1821817700351558,E. coli,SINTEF-23,,,149.21134,met__L,0.0,0.0,0.000145,Amino acid,"Bennet et al, glucose",,2.0,4.0,4.0,88.6,0.0,-1.9,6137.0,-4.9968037532971685,-0.8067315080042136,5.036933893244326e-05,1.5031353114048057e-06,0.031210339126152,1.0458434032611728,-4.29783374896115,-5.823001922705593,-1.5057015123402324,0.0194666614042109,-1.2533200366117054,E. coli - Galactose
35,M5,Methionine,L-malate,5.0335316941599754e-05,inf,0.2696903812134943,5.0,149.21134,0.0850261316897332,met__L,0.2200370877553537,0.2696903812136719,E. coli,SINTEF-23,,,149.21134,met__L,0.0,0.0,0.000145,Amino acid,"Bennet et al, glucose",,2.0,4.0,4.0,88.6,0.0,-1.9,6137.0,-4.2981271924632525,-0.5691345428329692,0.00025167658470799876,7.5106000901808016e-06,0.05393807624269886,1.8074389065435263,-3.5991571881272333,-5.124325361871676,-1.268104547168988,0.2570636265754554,-1.0704475789384862,E. coli - L-malate
36,M6,Methionine,L-malate,2.966956581216315e-05,1.1663880620585834e-06,0.2696903812134943,5.0,149.21134,0.0850261316897332,met__L,0.2200370877553537,0.2696903812136719,E. coli,SINTEF-23,,,149.21134,met__L,0.0,0.0,0.000145,Amino acid,"Bennet et al, glucose",,2.0,4.0,4.0,88.6,0.0,-1.9,6137.0,-4.527688809152028,-0.5691345428329692,0.00014834782906081575,4.427035672051052e-06,0.05393807624269886,1.8074389065435263,-3.82871880481601,-5.353886978560453,-1.268104547168988,0.2570636265754554,-1.0704475789384862,E. coli - L-malate
37,M7,Methionine,L-malate,1.2785878349094657e-05,inf,0.2696903812134943,5.0,149.21134,0.0850261316897332,met__L,0.2200370877553537,0.2696903812136719,E. coli,SINTEF-23,,,149.21134,met__L,0.0,0.0,0.000145,Amino acid,"Bennet et al, glucose",,2.0,4.0,4.0,88.6,0.0,-1.9,6137.0,-4.893269431965994,-0.5691345428329692,6.392939174547328e-05,1.9077980415454017e-06,0.05393807624269886,1.8074389065435263,-4.194299427629974,-5.719467601374418,-1.268104547168988,0.2570636265754554,-1.0704475789384862,E. coli - L-malate
38,M9,Methionine,L-alanine,1.1725140019988844e-05,6.6620258185482795e-06,0.2250554670379212,5.0,149.21134,0.0464079980248402,met__L,0.2250554670378823,0.2250554670379212,E. coli,SINTEF-23,,,149.21134,met__L,0.0,0.0,0.000145,Amino acid,"Bennet et al, glucose",,2.0,4.0,4.0,88.6,0.0,-1.9,6137.0,-4.930881962297705,-0.647710432734109,5.862570009994422e-05,1.7495238540701623e-06,0.04501109340758424,1.5083000195422225,-4.231911957961686,-5.75708013170613,-1.346680437070128,0.17848773667431547,-1.3334071660243634,E. coli - L-alanine
39,M10,Methionine,L-alanine,1.0813125883979887e-05,1.1598675354796128e-05,0.2250554670379212,5.0,149.21134,0.0464079980248402,met__L,0.2250554670378823,0.2250554670379212,E. coli,SINTEF-23,,,149.21134,met__L,0.0,0.0,0.000145,Amino acid,"Bennet et al, glucose",,2.0,4.0,4.0,88.6,0.0,-1.9,6137.0,-4.966048741021515,-0.647710432734109,5.406562941989944e-05,1.6134410027373235e-06,0.04501109340758424,1.5083000195422225,-4.267078736685496,-5.792246910429939,-1.346680437070128,0.17848773667431547,-1.3334071660243634,E. coli - L-alanine
40,M11,Methionine,L-alanine,2.7979892678305916e-05,1.5908873499926064e-05,0.2250554670379212,5.0,149.21134,0.0464079980248402,met__L,0.2250554670378823,0.2250554670379212,E. coli,SINTEF-23,,,149.21134,met__L,0.0,0.0,0.000145,Amino acid,"Bennet et al, glucose",,2.0,4.0,4.0,88.6,0.0,-1.9,6137.0,-4.553153955652229,-0.647710432734109,0.00013989946339152957,4.174917279586215e-06,0.04501109340758424,1.5083000195422225,-3.854183951316211,-5.379352125060654,-1.346680437070128,0.17848773667431547,-1.3334071660243634,E. coli - L-alanine
41,,Methionine,Glucose,1.3374061108505567e-05,9.18886819582158e-07,0.2392752048772428,5.0,149.21134,0.1006059369144394,met__L,0.1889630853443069,0.3014491174124223,E. coli,Paczia-13,MET,0.9680127749060856,149.21134,met__L,0.0,0.0,0.000145,Amino acid,"Bennet et al, glucose",,2.0,4.0,4.0,88.6,0.0,-1.9,6137.0,-4.873736696761501,-0.6211023032374378,6.687030554252783e-05,1.995561579242001e-06,0.04785504097544856,1.6035993301664793,-4.174766692425482,-5.699934866169926,-1.3200723075734566,0.20509586617098677,-0.9973763901240054,E. coli - Glucose
42,,Methionine,Glucose,3.6513554866318894e-05,2.489170109067306e-06,0.1228095353285219,5.0,149.21134,0.0525164137739435,met__L,0.1227599208498853,0.1228095353285219,B. licheniformis,Paczia-13,MET,0.9684938154565172,149.21134,met__L,0.0,0.0,0.000145,Amino acid,"Bennet et al, glucose",,2.0,4.0,4.0,88.6,0.0,-1.9,6137.0,-4.437545883191858,-0.9107679118610541,0.00018256777433159447,5.448236449766964e-06,0.02456190706570438,0.8230576531818687,-3.73857587885584,-5.263744052600283,-1.6097379161970728,-0.08456974245262956,-1.279704938549129,B. licheniformis - Glucose
43,M1,Gamma-aminobutyrate,Galactose,0.001950981498371,inf,0.0745000697828957,4.0,103.11976,0.0,4abut,0.0643540818237808,0.0745000697832398,E. coli,SINTEF-23,,,103.11976,,0.0,0.0,4.4e-05,Other,Ishii et al.,https://ecmdb.ca/compounds/M2MDB000561,2.0,3.0,3.0,63.3,0.0,-3.2,119.0,-2.709746849105472,-1.1278433204555685,0.007803925993484,0.0002011847438764579,0.018625017445723924,0.7224616289147269,-2.1076868577775096,-3.696404955532012,-1.7299033117835307,-0.14118521402902837,-inf,E. coli - Galactose
44,M2,Gamma-aminobutyrate,Galactose,,,0.0745000697828957,4.0,103.11976,0.0,4abut,0.0643540818237808,0.0745000697832398,E. coli,SINTEF-23,,,103.11976,,0.0,0.0,4.4e-05,Other,Ishii et al.,https://ecmdb.ca/compounds/M2MDB000561,2.0,3.0,3.0,63.3,0.0,-3.2,119.0,,-1.1278433204555685,,,0.018625017445723924,0.7224616289147269,,,-1.7299033117835307,-0.14118521402902837,-inf,E. coli - Galactose
45,M3,Gamma-aminobutyrate,Galactose,0.000117848701615,inf,0.0745000697828957,4.0,103.11976,0.0,4abut,0.0643540818237808,0.0745000697832398,E. coli,SINTEF-23,,,103.11976,,0.0,0.0,4.4e-05,Other,Ishii et al.,https://ecmdb.ca/compounds/M2MDB000561,2.0,3.0,3.0,63.3,0.0,-3.2,119.0,-3.9286751979045884,-1.1278433204555685,0.00047139480646,1.2152529826850412e-05,0.018625017445723924,0.7224616289147269,-3.326615206576626,-4.915333304331129,-1.7299033117835307,-0.14118521402902837,-inf,E. coli - Galactose
