,Metabolite,Carbon source,Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],Species,Dataset
39,Methionine,L-alanine,1.0813125883979887e-05,1.1598675354796128e-05,E. coli,SINTEF-23
40,Methionine,L-alanine,2.7979892678305916e-05,1.5908873499926064e-05,E. coli,SINTEF-23
41,Methionine,Glucose,1.3374061108505567e-05,9.18886819582158e-07,E. coli,Paczia-13
42,Methionine,Glucose,3.6513554866318894e-05,2.489170109067306e-06,B. licheniformis,Paczia-13
43,Gamma-aminobutyrate,Galactose,0.001950981498371,inf,E. coli,SINTEF-23
44,Gamma-aminobutyrate,Galactose,,,E. coli,SINTEF-23
45,Gamma-aminobutyrate,Galactose,0.000117848701615,inf,E. coli,SINTEF-23
46,Gamma-aminobutyrate,L-malate,0.0011683843624538,inf,E. coli,SINTEF-23
47,Gamma-aminobutyrate,L-malate,-4.140227185514265e-07,inf,E. coli,SINTEF-23
48,Gamma-aminobutyrate,L-malate,0.0019870839962137,inf,E. coli,SINTEF-23
49,Gamma-aminobutyrate,L-alanine,0.0074576921296847,inf,E. coli,SINTEF-23
50,Gamma-aminobutyrate,L-alanine,0.0095310063906941,inf,E. coli,SINTEF-23
51,Gamma-aminobutyrate,L-alanine,0.0076468654496771,inf,E. coli,SINTEF-23
52,Proline,Galactose,-6.6703069307007045e-06,inf,E. coli,SINTEF-23
53,Proline,Galactose,-4.114485350032134e-06,inf,E. coli,SINTEF-23
54,Proline,Galactose,1.057547884133004e-05,inf,E. coli,SINTEF-23
55,Proline,L-malate,-1.807933362545196e-05,1.2488622036804714e-05,E. coli,SINTEF-23
56,Proline,L-malate,-2.195264990551814e-05,inf,E. coli,SINTEF-23
57,Proline,L-malate,-2.607927913418704e-05,inf,E. coli,SINTEF-23
58,Proline,L-alanine,0.0003194256370714,inf,E. coli,SINTEF-23
59,Proline,L-alanine,6.0014387940051514e-05,4.136748703878566e-05,E. coli,SINTEF-23
60,Proline,L-alanine,0.0004911292026651,inf,E. coli,SINTEF-23
61,Proline,Glucose,3.506108720570623e-05,5.401944724840931e-06,E. coli,Paczia-13
62,Proline,Glucose,0.002297133034157,0.0002440407270538,C. glutamicum,Paczia-13
63,Proline,Glucose,0.0009503392622783,0.0002791659012871,B. licheniformis,Paczia-13
64,Proline,Glucose,0.0009296011786834,6.575418183889116e-05,S. cerevisiae,Paczia-13
65,Valine,Galactose,1.003875668312619e-05,inf,E. coli,SINTEF-23
66,Valine,Galactose,8.062516947423461e-06,inf,E. coli,SINTEF-23
67,Valine,L-alanine,,,E. coli,SINTEF-23
68,Valine,L-alanine,,,E. coli,SINTEF-23
69,Valine,L-alanine,0.0032645347058819,0.0022273521203103,E. coli,SINTEF-23
70,Valine,Glucose,6.586785286797082e-05,3.871222507589387e-06,E. coli,Paczia-13
71,Valine,Glucose,0.0005814336935497,7.884953920277335e-05,B. licheniformis,Paczia-13
72,Valine,Glucose,4.673562886390437e-05,1.585594720735042e-05,S. cerevisiae,Paczia-13
73,Pipecolic acid,Galactose,1.1750295234239789e-05,inf,E. coli,SINTEF-23
74,Pipecolic acid,Galactose,4.779579625964581e-06,1.0472502249398711e-06,E. coli,SINTEF-23
75,Pipecolic acid,Galactose,4.955681948750655e-06,2.473959655073567e-07,E. coli,SINTEF-23
76,Pipecolic acid,L-malate,1.2302451673184252e-05,inf,E. coli,SINTEF-23
77,Pipecolic acid,L-malate,1.5083042870664027e-06,inf,E. coli,SINTEF-23
78,Pipecolic acid,L-malate,5.5424620833793605e-05,inf,E. coli,SINTEF-23
79,Pipecolic acid,L-alanine,1.8187093897110817e-05,1.6494325320695595e-06,E. coli,SINTEF-23
80,Pipecolic acid,L-alanine,1.8128289311095727e-05,5.420145231624592e-06,E. coli,SINTEF-23
81,Pipecolic acid,L-alanine,2.2854179522711623e-05,4.234775028743128e-06,E. coli,SINTEF-23
82,Beta-alanine,Galactose,3.075659697996716e-05,4.790429037147761e-06,E. coli,SINTEF-23
83,Beta-alanine,Galactose,2.646915988825136e-05,inf,E. coli,SINTEF-23
84,Beta-alanine,Galactose,3.316007491772437e-05,inf,E. coli,SINTEF-23
85,Beta-alanine,L-malate,0.0001314674705761,1.4202819729431788e-05,E. coli,SINTEF-23
86,Beta-alanine,L-malate,0.0001015710065916,1.106769927666098e-05,E. coli,SINTEF-23
87,Beta-alanine,L-malate,0.0005466337315706,inf,E. coli,SINTEF-23
88,Beta-alanine,L-alanine,0.0004918904793149,inf,E. coli,SINTEF-23
89,Beta-alanine,L-alanine,0.0004821741860244,inf,E. coli,SINTEF-23
90,Beta-alanine,L-alanine,0.0005174411227287,inf,E. coli,SINTEF-23
91,Alanine,Galactose,-0.0005046700957951,inf,E. coli,SINTEF-23
92,Alanine,Galactose,-0.0006857539612929,inf,E. coli,SINTEF-23
93,Alanine,L-malate,-0.0024966130317279,inf,E. coli,SINTEF-23
94,Alanine,L-alanine,-18.168015162189253,0.6326850466507209,E. coli,SINTEF-23
95,Alanine,L-alanine,-16.639309824036182,1.6568075536503029,E. coli,SINTEF-23
96,Alanine,L-alanine,-17.39651841177265,1.262092591410081,E. coli,SINTEF-23
97,Alanine,Glucose,0.000107857651575,1.250585430009144e-05,E. coli,Paczia-13
98,Alanine,Glucose,0.001180199126445,8.519728911304908e-05,C. glutamicum,Paczia-13
99,Alanine,Glucose,0.0374808366565334,0.010525896191021,B. licheniformis,Paczia-13
100,Creatine,Galactose,1.4396009625111046e-06,2.7684626925031466e-07,E. coli,SINTEF-23
101,Creatine,Galactose,1.4840033656405862e-06,3.9183080557778515e-07,E. coli,SINTEF-23
102,Creatine,Galactose,5.2971861469128786e-08,4.90296075691996e-07,E. coli,SINTEF-23
103,Creatine,L-malate,7.567969439142998e-07,inf,E. coli,SINTEF-23
104,Creatine,L-malate,-2.5485914326695546e-07,inf,E. coli,SINTEF-23
105,Creatine,L-malate,-4.546045813804989e-07,inf,E. coli,SINTEF-23
106,Creatine,L-alanine,1.592377469455866e-06,5.794719050523218e-07,E. coli,SINTEF-23
107,Creatine,L-alanine,-3.4936314215991926e-06,3.8163662229449195e-06,E. coli,SINTEF-23
108,Creatine,L-alanine,-4.065179107172861e-06,9.321284150707704e-07,E. coli,SINTEF-23
109,Alpha-aminoadipate,Galactose,4.012316727541647e-05,inf,E. coli,SINTEF-23
110,Alpha-aminoadipate,Galactose,9.285030879429485e-06,inf,E. coli,SINTEF-23
111,Alpha-aminoadipate,Galactose,1.325374470532785e-05,inf,E. coli,SINTEF-23
112,Alpha-aminoadipate,L-malate,3.828064239834968e-05,inf,E. coli,SINTEF-23
113,Alpha-aminoadipate,L-malate,6.0885824060188946e-05,inf,E. coli,SINTEF-23
114,Alpha-aminoadipate,L-malate,3.4286529411194066e-05,inf,E. coli,SINTEF-23
115,Alpha-aminoadipate,L-alanine,8.512594715389294e-05,inf,E. coli,SINTEF-23
116,Alpha-aminoadipate,L-alanine,5.6530881268418885e-05,2.6088472236955083e-06,E. coli,SINTEF-23
117,Alpha-aminoadipate,L-alanine,5.855177742368635e-05,1.7680702313832016e-05,E. coli,SINTEF-23
118,Glutamate,Galactose,0.0025389279658078,0.0005790664742265,E. coli,SINTEF-23
119,Glutamate,Galactose,0.0008526467211518,0.0002898121074085,E. coli,SINTEF-23
120,Glutamate,Galactose,0.0054962118872564,inf,E. coli,SINTEF-23
121,Glutamate,L-malate,0.0052636608799078,0.003553381108921,E. coli,SINTEF-23
122,Glutamate,L-malate,0.0041527127514935,0.0013274499857082,E. coli,SINTEF-23
123,Glutamate,L-malate,,,E. coli,SINTEF-23
124,Glutamate,L-alanine,0.0006832937572714,0.0006353684759743,E. coli,SINTEF-23
125,Glutamate,L-alanine,0.0004594099431468,0.0017655833749278,E. coli,SINTEF-23
126,Glutamate,L-alanine,0.0025636172523222,inf,E. coli,SINTEF-23
127,Glutamate,Glucose,0.0101865559511081,0.0010772669392274,C. glutamicum,Paczia-13
128,Glutamate,Glucose,0.0095544716050229,0.0009258588485352,B. licheniformis,Paczia-13
129,Asparagine,Galactose,-3.3636898984904674e-05,2.102880478681067e-05,E. coli,SINTEF-23
130,Asparagine,Galactose,3.138503782778961e-05,inf,E. coli,SINTEF-23
131,Asparagine,Galactose,-0.0003167663392323,inf,E. coli,SINTEF-23
132,Asparagine,L-malate,0.0003959993108333,1.207750726245673e-05,E. coli,SINTEF-23
133,Asparagine,L-malate,0.0002108087022707,0.000105757876822,E. coli,SINTEF-23
134,Asparagine,L-malate,0.0002404609007287,8.214372124767042e-05,E. coli,SINTEF-23
135,Asparagine,L-alanine,0.0068354074937564,0.0040020436219366,E. coli,SINTEF-23
136,Asparagine,L-alanine,0.0101568170744365,0.0032457644722462,E. coli,SINTEF-23
137,Asparagine,L-alanine,0.0057485353021846,0.004845792442969,E. coli,SINTEF-23
138,Asparagine,Glucose,0.0005975682807567,4.205687586413136e-05,C. glutamicum,Paczia-13
139,Asparagine,Glucose,0.0002359347333331,1.0703700906235392e-05,B. licheniformis,Paczia-13
140,Asparagine,Glucose,6.403278513890365e-05,1.3847262085808291e-05,S. cerevisiae,Paczia-13
141,Aspartate,Galactose,0.0001013223378692,1.4668033105995454e-05,E. coli,SINTEF-23
142,Aspartate,Galactose,9.564023592770225e-05,1.9657073697504925e-05,E. coli,SINTEF-23
143,Aspartate,Galactose,0.0001693510264282,1.2396762540395506e-05,E. coli,SINTEF-23
144,Aspartate,L-malate,0.0051993777942914,0.0045404955190961,E. coli,SINTEF-23
145,Aspartate,L-malate,0.0053849876115361,0.0062103663935259,E. coli,SINTEF-23
146,Aspartate,L-malate,,,E. coli,SINTEF-23
147,Aspartate,L-alanine,0.0001056854645382,8.831276273580776e-05,E. coli,SINTEF-23
148,Aspartate,L-alanine,0.0001132702764684,0.0001162157788832,E. coli,SINTEF-23
149,Aspartate,L-alanine,,,E. coli,SINTEF-23
150,Aspartate,Glucose,5.737064428177891e-05,2.7905212649466083e-06,E. coli,Paczia-13
151,Aspartate,Glucose,4.9265710641834085e-05,2.8850656054913348e-06,B. licheniformis,Paczia-13
152,Aspartate,Glucose,1.1412906472226067e-05,3.5963026203382897e-06,S. cerevisiae,Paczia-13
153,Pyruvate,Galactose,0.0019269852811897,inf,E. coli,SINTEF-23
154,Pyruvate,Galactose,0.0027316919000449,inf,E. coli,SINTEF-23
155,Pyruvate,L-malate,0.0475685611462078,inf,E. coli,SINTEF-23
156,Pyruvate,L-malate,0.28071339237594,inf,E. coli,SINTEF-23
157,Pyruvate,L-malate,0.0776551054227898,inf,E. coli,SINTEF-23
158,Pyruvate,L-alanine,0.0002899136007429,inf,E. coli,SINTEF-23
159,Pyruvate,Glucose,0.6234893158099053,0.0281944294322005,E. coli,Paczia-13
160,Pyruvate,Glucose,0.1714075525382382,0.011470024221524,B. licheniformis,Paczia-13
161,Pyruvate,Glucose,0.0593668583448132,0.0085041844730733,S. cerevisiae,Paczia-13
162,Lactate,Galactose,,,E. coli,SINTEF-23
163,Lactate,Galactose,,,E. coli,SINTEF-23
164,Lactate,Galactose,-0.0005920570587942,0.000555498697329,E. coli,SINTEF-23
165,Lactate,L-malate,-0.0086987377553186,inf,E. coli,SINTEF-23
166,Lactate,L-malate,,,E. coli,SINTEF-23
167,Lactate,L-malate,-0.0116383341150263,inf,E. coli,SINTEF-23
168,Lactate,L-alanine,0.0007595078727766,0.0004032841968043,E. coli,SINTEF-23
169,Lactate,L-alanine,,,E. coli,SINTEF-23
170,Lactate,L-alanine,,,E. coli,SINTEF-23
171,Hexoses,Galactose,-7.337311317516333,2.19194876554016,E. coli,SINTEF-23
172,Hexoses,Galactose,-7.998748566662081,1.0264502250155,E. coli,SINTEF-23
173,Hexoses,Galactose,-5.908608873647218,1.0903950081012452,E. coli,SINTEF-23
174,Hexoses,L-alanine,0.0076399013031107,inf,E. coli,SINTEF-23
175,NAD,Galactose,1.922279311056228e-05,inf,E. coli,SINTEF-23
176,NAD,Galactose,1.5130334578752855e-05,inf,E. coli,SINTEF-23
177,NAD,Galactose,-1.2960669960446936e-07,inf,E. coli,SINTEF-23
178,NAD,L-malate,3.438302949493883e-07,inf,E. coli,SINTEF-23
179,NAD,L-malate,-3.642493957034573e-05,inf,E. coli,SINTEF-23
180,NAD,L-malate,6.932914936658831e-05,inf,E. coli,SINTEF-23
181,NAD,L-alanine,4.699180318104327e-05,inf,E. coli,SINTEF-23
182,NAD,L-alanine,0.000144711660417,inf,E. coli,SINTEF-23
183,NAD,L-alanine,5.659653172568368e-05,inf,E. coli,SINTEF-23
184,Succinate,Galactose,0.0105653901628984,inf,E. coli,SINTEF-23
185,Succinate,Galactose,0.0096986798930935,inf,E. coli,SINTEF-23
186,Succinate,Galactose,0.0467056180606502,inf,E. coli,SINTEF-23
187,Succinate,L-malate,-0.4641823175031077,0.282997274563146,E. coli,SINTEF-23
188,Succinate,L-malate,,,E. coli,SINTEF-23
189,Succinate,L-malate,,,E. coli,SINTEF-23
190,Succinate,L-alanine,0.004833337816248,inf,E. coli,SINTEF-23
191,Succinate,L-alanine,0.0023005551300845,inf,E. coli,SINTEF-23
192,Succinate,L-alanine,0.0180932750793083,inf,E. coli,SINTEF-23
193,Succinate,Glucose,0.0025499031434721,0.0003810315592573,S. cerevisiae,Paczia-13
194,Malate,Galactose,0.0007392245896459,0.0019875301211464,E. coli,SINTEF-23
195,Malate,Galactose,0.0017091090589556,0.0003790156009073,E. coli,SINTEF-23
196,Malate,Galactose,-0.0009376163203328,0.0017662172249223,E. coli,SINTEF-23
197,Malate,L-malate,-18.66995512919513,1.33046267760167,E. coli,SINTEF-23
198,Malate,L-malate,-14.348103099367648,2.3044043912522234,E. coli,SINTEF-23
199,Malate,L-malate,-19.40659017392664,0.1287008596994762,E. coli,SINTEF-23
200,Malate,L-alanine,0.0045597562093734,0.0012286373752181,E. coli,SINTEF-23
201,Malate,L-alanine,0.0007063938330401,0.0010319147227983,E. coli,SINTEF-23
202,Malate,L-alanine,0.0032372049489299,0.0015576717595559,E. coli,SINTEF-23
203,Cis-aconitate,Galactose,9.486394767842246e-05,2.2247498370389566e-06,E. coli,SINTEF-23
204,Cis-aconitate,Galactose,0.0001205381529997,2.064427634139551e-06,E. coli,SINTEF-23
205,Cis-aconitate,Galactose,8.9566945919439e-05,1.1315734390241893e-05,E. coli,SINTEF-23
206,Cis-aconitate,L-malate,0.000505939832521,9.341685312941974e-05,E. coli,SINTEF-23
207,Cis-aconitate,L-malate,0.0003807275465901,3.311646071525446e-05,E. coli,SINTEF-23
208,Cis-aconitate,L-malate,0.0005312097236312,6.873700730644081e-05,E. coli,SINTEF-23
209,Cis-aconitate,L-alanine,0.0008775921549794,0.0003123707739526,E. coli,SINTEF-23
210,Cis-aconitate,L-alanine,0.0010429622174672,1.7985795031834655e-05,E. coli,SINTEF-23
211,Cis-aconitate,L-alanine,0.0009061021231321,7.191892762294502e-05,E. coli,SINTEF-23
212,Cis-aconitate,Glucose,0.0006831808194392,5.6393461267305514e-05,E. coli,Paczia-13
213,Cis-aconitate,Glucose,0.0007030926267456,1.7834816478247715e-05,B. licheniformis,Paczia-13
214,Citrate,Galactose,9.501819893633712e-05,inf,E. coli,SINTEF-23
215,Citrate,L-malate,0.0169680950289414,inf,E. coli,SINTEF-23
216,Citrate,L-malate,0.0035006826252152,inf,E. coli,SINTEF-23
217,Citrate,L-malate,0.0001042817886098,inf,E. coli,SINTEF-23
218,Citrate,L-alanine,0.0065378651318456,inf,E. coli,SINTEF-23
219,Citrate,L-alanine,0.002587173371707,inf,E. coli,SINTEF-23
220,Citrate,L-alanine,0.0041026161864159,inf,E. coli,SINTEF-23
221,Citrate,Glucose,0.0068355380468514,0.0005009375182234,E. coli,Paczia-13
222,Citrate,Glucose,0.0063576268582176,0.0001512281470179,B. licheniformis,Paczia-13
223,Citrate,Glucose,0.0006019877973077,7.932788687528845e-05,S. cerevisiae,Paczia-13
224,Isocitrate,Galactose,6.609846430765805e-05,inf,E. coli,SINTEF-23
225,Isocitrate,Galactose,6.453172676064346e-05,inf,E. coli,SINTEF-23
226,Isocitrate,Galactose,2.2234640204471654e-05,inf,E. coli,SINTEF-23
227,Isocitrate,L-malate,0.0012180902075337,inf,E. coli,SINTEF-23
228,Isocitrate,L-malate,0.0008585405902567,inf,E. coli,SINTEF-23
229,Isocitrate,L-malate,0.0001471558586207,inf,E. coli,SINTEF-23
230,Isocitrate,L-alanine,0.0007581866778437,inf,E. coli,SINTEF-23
231,Isocitrate,L-alanine,0.0007938732402429,inf,E. coli,SINTEF-23
232,Isocitrate,L-alanine,0.0006478947178522,inf,E. coli,SINTEF-23
233,Isocitrate,Glucose,0.0012298078074464,4.2499537098732474e-05,E. coli,Paczia-13
234,Isocitrate,Glucose,0.001091451498414,5.749687675489061e-05,B. licheniformis,Paczia-13
235,Trans-aconitate,Galactose,8.189257149682577e-06,inf,E. coli,SINTEF-23
236,Trans-aconitate,Galactose,5.333708396977559e-06,8.972950927801171e-07,E. coli,SINTEF-23
237,Trans-aconitate,Galactose,4.145615851519875e-06,4.559460833663719e-07,E. coli,SINTEF-23
238,Trans-aconitate,L-malate,6.600418284420572e-07,inf,E. coli,SINTEF-23
239,Trans-aconitate,L-malate,2.184120497899269e-05,inf,E. coli,SINTEF-23
240,Trans-aconitate,L-malate,1.444920008046883e-05,1.7810197823287726e-06,E. coli,SINTEF-23
241,Trans-aconitate,L-alanine,1.8933395972363713e-05,1.0193662616825763e-05,E. coli,SINTEF-23
242,Trans-aconitate,L-alanine,1.9974503654669845e-05,6.363864066980702e-06,E. coli,SINTEF-23
243,Trans-aconitate,L-alanine,1.8823455110741705e-05,4.462361121896711e-06,E. coli,SINTEF-23
244,Tyrosine,Galactose,8.901691877122514e-07,inf,E. coli,SINTEF-23
245,Tyrosine,L-malate,6.868467660390813e-06,inf,E. coli,SINTEF-23
246,Tyrosine,L-alanine,3.673954129679667e-05,2.955733975114967e-05,E. coli,SINTEF-23
247,Tyrosine,L-alanine,4.3300429043947094e-05,4.0038926326270686e-05,E. coli,SINTEF-23
248,Tyrosine,Glucose,1.260044794518234e-05,8.742338236575299e-07,E. coli,Paczia-13
249,Tyrosine,Glucose,1.311786663091834e-05,1.995969920175425e-06,B. licheniformis,Paczia-13
250,Tyrosine,Glucose,5.827427440263339e-06,2.691619965620906e-06,S. cerevisiae,Paczia-13
251,Glutamine,Galactose,1.6705104541203595e-05,inf,E. coli,SINTEF-23
252,Glutamine,L-malate,0.0001697850946823,inf,E. coli,SINTEF-23
253,Glutamine,L-alanine,1.970066659188409e-05,inf,E. coli,SINTEF-23
254,Glutamine,L-alanine,-4.894624479138556e-05,inf,E. coli,SINTEF-23
255,Glutamine,L-alanine,2.0714779543147337e-05,inf,E. coli,SINTEF-23
256,Glutamine,Glucose,0.0006738470756402,0.0001211325327039,C. glutamicum,Paczia-13
257,Glutamine,Glucose,0.0014989719837041,0.000111273075296,B. licheniformis,Paczia-13
258,Glutamine,Glucose,0.000198451913656,8.004332143754209e-05,S. cerevisiae,Paczia-13
259,Lysine,Galactose,0.0001638372137052,inf,E. coli,SINTEF-23
260,Lysine,L-malate,5.540233989324562e-05,inf,E. coli,SINTEF-23
261,Lysine,L-alanine,-0.002528044492074,inf,E. coli,SINTEF-23
262,Lysine,L-alanine,-0.0011952195787796,inf,E. coli,SINTEF-23
263,Lysine,L-alanine,0.0010635562561171,inf,E. coli,SINTEF-23
264,Lysine,Glucose,0.1952698280165506,0.0040706920526584,C. glutamicum,Paczia-13
265,Lysine,Glucose,0.0001451680361534,8.232410483206023e-05,S. cerevisiae,Paczia-13
266,Alpha-aminobutyrate,L-alanine,0.1719571267155198,0.0384561695545719,E. coli,SINTEF-23
267,Alpha-aminobutyrate,L-alanine,0.201635810213774,0.0522498200436036,E. coli,SINTEF-23
268,Alpha-aminobutyrate,L-alanine,0.2059267350354939,0.0380778119767708,E. coli,SINTEF-23
269,Glycine,L-alanine,0.0360407872262823,inf,E. coli,SINTEF-23
270,Glycine,L-alanine,0.0308147428251687,0.0135688135352958,E. coli,SINTEF-23
271,Glycine,L-alanine,0.0227495752698566,0.0061086737450188,E. coli,SINTEF-23
272,Glycine,Glucose,0.0163961470711699,0.0017478631512354,C. glutamicum,Paczia-13
273,Glycine,Glucose,0.0031320387861325,0.0001178256502398,B. licheniformis,Paczia-13
274,Serine,L-alanine,0.0004755307499626,0.0001887353298397,E. coli,SINTEF-23
275,Serine,L-alanine,0.00082638260844,inf,E. coli,SINTEF-23
276,Serine,L-alanine,0.0010536919118722,inf,E. coli,SINTEF-23
277,Serine,Glucose,1.3130006777160169e-05,2.7638342869541947e-06,E. coli,Paczia-13
278,Serine,Glucose,2.265906362545018e-05,0.0,B. licheniformis,Paczia-13
279,Serine,Glucose,6.119895008188119e-05,2.192569809650602e-05,S. cerevisiae,Paczia-13
280,Acetate,Galactose,0.1062160070397591,0.041288024669309,E. coli,SINTEF-23
281,Acetate,Galactose,0.0456503966569217,0.0345893791305234,E. coli,SINTEF-23
282,Acetate,Galactose,0.4144851530017146,0.1772499882355442,E. coli,SINTEF-23
283,Acetate,L-alanine,2.5593899049391906,1.0971737343062782,E. coli,SINTEF-23
284,Acetate,L-alanine,2.649972553796234,1.3101916055852771,E. coli,SINTEF-23
285,Acetate,L-alanine,2.507911048088005,1.0181357582798276,E. coli,SINTEF-23
286,Acetate,L-malate,1.25335849510552,0.2493728435725555,E. coli,SINTEF-23
287,Acetate,L-malate,0.1438062192842197,0.0393268553438031,E. coli,SINTEF-23
288,Acetate,L-malate,0.9918480058179264,0.0687070192978471,E. coli,SINTEF-23
289,Acetate,Glucose,1.6702653783116823,0.2032960772208058,E. coli,Paczia-13
290,Acetate,Glucose,3.005300784168424,0.2186404878446402,B. licheniformis,Paczia-13
291,Acetate,Glucose,0.3036202355689394,0.0337103761822767,S. cerevisiae,Paczia-13
292,Propionate,Galactose,0.0111631257470707,inf,E. coli,SINTEF-23
293,Propionate,L-alanine,0.1214754139491988,0.0432891395446838,E. coli,SINTEF-23
294,Propionate,L-alanine,0.0979334451651785,0.0161853606430704,E. coli,SINTEF-23
295,Propionate,L-alanine,0.1248973311735559,0.0320697910806017,E. coli,SINTEF-23
296,Propionate,L-malate,0.1001562902748829,0.0111242909949432,E. coli,SINTEF-23
297,Propionate,L-malate,0.0620036466626746,inf,E. coli,SINTEF-23
298,Propionate,L-malate,0.1063020490420187,0.0136295803080509,E. coli,SINTEF-23
299,Formate,Galactose,0.2302126582617999,0.0993787692474055,E. coli,SINTEF-23
300,Formate,Galactose,0.1595303200496448,0.066895098287182,E. coli,SINTEF-23
301,Formate,Galactose,0.6107342989381452,0.1287343537561443,E. coli,SINTEF-23
302,Formate,L-alanine,0.0447897237553902,0.017727414555207,E. coli,SINTEF-23
303,Formate,L-alanine,0.0861882229630843,0.0092611971354519,E. coli,SINTEF-23
304,Formate,L-malate,0.2958336968633546,inf,E. coli,SINTEF-23
305,Formate,L-malate,0.1505385166096574,0.0981724904242067,E. coli,SINTEF-23
306,Formate,L-malate,0.0138215471406988,inf,E. coli,SINTEF-23
307,Glucose-6-phosphate,Glucose,0.0009384776909827,7.040244627160425e-05,E. coli,Paczia-13
308,Glucose-6-phosphate,Glucose,0.0001649441168464,1.5025907373887814e-05,C. glutamicum,Paczia-13
309,Glucose-6-phosphate,Glucose,0.0021601629402257,8.243496181935469e-05,B. licheniformis,Paczia-13
310,Glucose-6-phosphate,Glucose,1.1423528975244457e-05,4.842674375854312e-06,S. cerevisiae,Paczia-13
311,Fructose-6-phosphate,Glucose,0.0017466147269174,0.0001090888815013,E. coli,Paczia-13
312,Fructose-6-phosphate,Glucose,7.33305528781731e-05,6.906234383720977e-06,C. glutamicum,Paczia-13
313,Fructose-6-phosphate,Glucose,0.0009261865436096,4.4730411631138646e-05,B. licheniformis,Paczia-13
314,Fructose-6-phosphate,Glucose,1.1928528680629004e-05,1.2137195564964747e-06,S. cerevisiae,Paczia-13
315,"Fructose-1,6-bisphosphate",Glucose,0.0024508769288152,0.0003365155309916,E. coli,Paczia-13
316,"Fructose-1,6-bisphosphate",Glucose,9.285406921497166e-05,1.926854476614199e-05,C. glutamicum,Paczia-13
317,"Fructose-1,6-bisphosphate",Glucose,0.0004672636542298,0.0001580386137378,S. cerevisiae,Paczia-13
