"Metabolite concentrations, fluxes, and free energies imply efficient enzyme usage
Junyoung O. Park1,2, Sara A. Rubin3, Yi-Fan Xu1,3,4, Daniel Amador-Noguez1,5, Jing Fan1,3, Tomer Shlomi6, Joshua D. Rabinowitz1,3
1 Lewis-Sigler Institute for Integrative Genomics,
carbon dioxide[m]**,co2[m],C00011,28651,6.53E-03,6.37E-03,9.55E-03,7.71E-05,6.01E-05,9.01E-05,-,-,-
citrate,cit,C00158,23703,5.84E-04,5.59E-04,6.09E-04,1.49E-03,1.31E-03,1.67E-03,1.96E-03,1.10E-03,3.48E-03
citrulline,citr-L,C00327,22426,-,-,-,2.70E-02,2.41E-02,3.00E-02,1.35E-03,1.23E-03,1.48E-03
CMP,cmp,C00055,36522,1.18E-05,9.13E-06,1.44E-05,5.18E-06,2.95E-06,7.40E-06,3.60E-04,1.87E-04,6.94E-04
coenzyme-A,coa,C00010,11741,-,-,-,-,-,-,1.37E-03,8.83E-05,2.12E-02
coenzyme-A[m]**,coa[m],C00010,11741,4.04E-03,4.00E-03,6.00E-03,4.90E-03,4.00E-03,6.00E-03,-,-,-
CTP,ctp,C00063,27764,8.97E-04,7.55E-04,1.04E-03,2.49E-04,2.02E-04,2.95E-04,2.73E-03,2.27E-03,3.27E-03
cyclic-AMP,camp,C00575,664,1.30E-07,6.29E-08,1.97E-07,4.00E-07,3.19E-07,4.82E-07,3.52E-05,2.82E-05,4.39E-05
cysteine,cys-L,C00097,17926,8.40E-05,6.19E-05,1.06E-04,-,-,-,-,-,-
cytidine,cytd,C00475,27472,-,-,-,-,-,-,2.59E-06,1.18E-06,5.67E-06
cytosine,csn,C00380,19308,-,-,-,-,-,-,1.41E-05,8.65E-06,2.29E-05
dAMP,damp,C00360,1037,1.68E-05,5.76E-06,2.79E-05,-,-,-,8.84E-06,2.99E-06,2.62E-05
dATP,datp,C00131,1369,9.74E-07,7.52E-07,1.20E-06,9.78E-06,6.55E-06,1.30E-05,1.55E-05,8.13E-06,2.96E-05
dCDP,dcdp,C00705,27662,1.82E-06,1.62E-06,2.02E-06,-,-,-,-,-,-
dCMP,dcmp,C00239,27589,3.71E-05,2.55E-05,4.88E-05,-,-,-,-,-,-
dCTP,dctp,C00458,27759,-,-,-,4.46E-06,1.96E-06,6.96E-06,3.45E-05,2.60E-05,4.57E-05
deoxyadenosine,dad-2,C00559,836,-,-,-,-,-,-,2.82E-06,1.80E-06,4.41E-06
deoxyguanosine,dgsn,C00330,842,-,-,-,-,-,-,5.22E-07,4.11E-07,6.62E-07
deoxyribose-5-phosphate,2dr5p,C00673,34541,-,-,-,-,-,-,3.03E-04,4.82E-05,1.90E-03
dGMP,dgmp,C00362,1047,-,-,-,-,-,-,5.07E-05,3.91E-05,6.58E-05
dihydroorotate,dhor-S,C00337,20954,7.35E-04,6.30E-04,8.40E-04,-,-,-,1.19E-05,1.16E-05,1.23E-05
dihydroxyacetonephosphate,dhap,C00111,89172,-,-,-,8.07E-04,7.01E-04,9.13E-04,3.06E-03,2.90E-03,3.22E-03
dihydroxyacetonephosphate[c]*,dhap[c],C00111,89172,1.63E-03,1.47E-03,1.75E-03,8.23E-04,7.46E-04,9.10E-04,-,-,-
dTDP,dtdp,C00363,1308,-,-,-,-,-,-,3.78E-04,3.37E-04,4.26E-04
dTMP,dtmp,C00364,1170,1.18E-05,7.20E-06,1.65E-05,-,-,-,-,-,-
dTTP,dttp,C00459,1479,-,-,-,-,-,-,4.62E-03,4.21E-03,5.08E-03
erythrose-4-phosphate[c]*,e4p[c],C00279,59851,1.03E-05,7.54E-06,1.58E-05,1.46E-05,6.92E-06,1.95E-05,4.90E-05,4.19E-05,5.64E-05
FAD,fad,C00016,33700,5.60E-06,3.17E-06,8.03E-06,3.53E-05,2.93E-05,4.13E-05,1.73E-04,9.33E-05,3.19E-04
flavin mononucleotide,fmn,C00061,36301,-,-,-,-,-,-,5.37E-05,3.84E-05,7.51E-05
"fructose-1,6-bisphosphate",fdp,C00354,22767,1.52E-03,1.40E-03,1.63E-03,4.00E-03,3.41E-03,4.59E-03,1.52E-02,1.40E-02,1.64E-02
fructose-6-phosphate[c]*,f6p[c],C00085,56501,9.69E-05,8.18E-05,1.27E-04,2.37E-03,1.53E-03,2.92E-03,2.52E-03,2.16E-03,2.89E-03
fumarate,fum,C00122,19266,3.87E-04,2.83E-04,4.90E-04,1.21E-04,8.05E-05,1.61E-04,1.15E-04,3.00E-06,4.42E-03
fumarate[c]*,fum[c],C00122,19266,-,-,-,-,-,-,2.88E-04,2.85E-04,2.93E-04
fumarate[m]*,fum[m],C00122,19266,4.85E-04,4.80E-04,4.90E-04,1.24E-04,8.88E-05,1.54E-04,-,-,-
GDP,gdp,C00035,36200,3.02E-05,1.96E-05,4.08E-05,4.21E-05,2.63E-05,5.79E-05,6.76E-04,4.99E-04,9.16E-04
gluconate,glcn,C00257,22387,2.11E-04,1.24E-04,2.98E-04,9.51E-05,7.75E-05,1.13E-04,4.16E-05,5.74E-06,3.02E-04
gluconolactone,,C00198,,-,-,-,-,-,-,1.04E-03,6.47E-04,1.68E-03
glucosamine-6-phosphate,gam6p,C00352,22727,-,-,-,-,-,-,1.15E-03,9.59E-04,1.39E-03
glucose-6-phosphate[c]*,g6p[c],C00092,22626,6.75E-04,6.74E-04,1.05E-03,5.31E-03,4.36E-03,6.18E-03,7.88E-03,7.59E-03,8.17E-03
glutamate,glu-L,C00025,21361,6.38E-02,4.36E-02,8.39E-02,3.91E-02,3.66E-02,4.17E-02,9.60E-02,9.24E-02,9.98E-02
glutamine,gln-L,C00064,20287,1.72E-02,1.62E-02,1.82E-02,3.55E-02,3.23E-02,3.86E-02,3.81E-03,3.50E-03,4.15E-03
glutathione,gthrd,C00051,1508,3.09E-03,2.95E-03,3.22E-03,4.30E-03,4.12E-03,4.48E-03,1.66E-02,1.53E-02,1.79E-02
glutathione disulfide,gthox,C00127,47962,1.80E-05,1.57E-05,2.03E-05,9.73E-05,8.71E-05,1.07E-04,2.37E-03,1.94E-03,2.90E-03
glyceraldehyde-3-phosphate[c]*,g3p[c],C00661,59,1.41E-04,1.28E-04,1.52E-04,1.18E-04,1.07E-04,1.30E-04,2.71E-04,2.56E-04,2.89E-04
glycerate,glyc-R,C00258,28971,-,-,-,-,-,-,1.41E-03,6.44E-04,3.08E-03
glycine,gly,C00037,15491,3.71E-03,3.61E-03,3.81E-03,-,-,-,-,-,-
GMP,gmp,C00144,1070,1.81E-05,1.12E-05,2.49E-05,1.02E-05,6.30E-06,1.41E-05,2.37E-05,1.66E-05,3.38E-05
GTP,gtp,C00044,32483,6.77E-04,6.52E-04,7.03E-04,2.47E-04,1.72E-04,3.22E-04,4.87E-03,1.57E-03,1.51E-02
guanine,gua,C00242,20891,-,-,-,-,-,-,1.88E-04,1.32E-04,2.69E-04
guanosine,gsn,C00387,85516,1.35E-06,1.19E-06,1.51E-06,-,-,-,1.62E-06,1.22E-06,2.17E-06
hexose-phosphate***,,,,1.07E-03,7.55E-04,1.39E-03,5.86E-03,4.87E-03,6.84E-03,8.75E-03,8.43E-03,9.08E-03
histidine,his-L,C00135,23731,4.10E-04,3.86E-04,4.34E-04,-,-,-,6.76E-05,4.58E-05,9.97E-05
histidinol,histd,C00860,,-,-,-,-,-,-,1.28E-05,1.26E-05,1.30E-05
homocysteine,hcys-L,C00155,84645,-,-,-,-,-,-,3.70E-04,3.65E-04,3.75E-04
hydroxyisocaproic acid,,C03467,,-,-,-,2.68E-05,2.23E-05,3.12E-05,-,-,-
IDP,idp,C00104,1009,-,-,-,-,-,-,2.38E-05,1.76E-05,3.22E-05
IMP,imp,C00130,1203,1.23E-05,9.06E-06,1.55E-05,3.80E-05,2.32E-05,5.28E-05,2.72E-04,1.73E-04,4.26E-04
inosine,ins,C00294,645,1.33E-06,5.38E-07,2.11E-06,6.12E-06,4.94E-06,7.31E-06,-,-,-
isocitrate[c]*,icit[c],C00311,23698,-,-,-,-,-,-,3.67E-05,4.68E-06,4.29E-05
isocitrate[m]*,icit[m],C00311,23698,3.21E-05,2.10E-05,3.38E-05,5.79E-06,1.90E-06,9.79E-06,-,-,-
isoleucine (assumed 1/2 ile+leu),ile-L,C00407,22459,1.76E-03,1.66E-03,1.86E-03,3.53E-04,3.00E-04,4.05E-04,1.52E-04,1.49E-04,1.54E-04
isoleucine+leucine,,,,3.52E-03,3.31E-03,3.72E-03,7.05E-04,6.00E-04,8.10E-04,3.03E-04,2.98E-04,3.08E-04
ITP,itp,C00081,1200,-,-,-,-,-,-,2.05E-04,1.38E-04,3.03E-04
leucine (assumed 1/2 ile+leu),leu-L,C00123,22465,1.76E-03,1.66E-03,1.86E-03,3.53E-04,3.00E-04,4.05E-04,1.52E-04,1.49E-04,1.54E-04
lysine,lys-L,C00047,22685,5.06E-04,4.58E-04,5.54E-04,5.16E-03,2.89E-03,7.44E-03,4.05E-04,3.27E-04,5.02E-04
malate,mal-L,C00149,19469,1.39E-03,1.06E-03,1.72E-03,9.25E-04,6.82E-04,1.17E-03,1.68E-03,1.66E-03,1.70E-03
malonyl-CoA,malcoa,C00083,13046,4.95E-06,4.76E-06,5.13E-06,-,-,-,3.54E-05,4.05E-07,3.09E-03
methionine,met-L,C00073,20519,6.39E-04,6.19E-04,6.59E-04,1.91E-04,1.49E-04,2.33E-04,1.45E-04,1.31E-04,1.61E-04
methylmalonic acid,,C02170,,7.26E-05,3.76E-05,1.08E-04,-,-,-,-,-,-
myo-inositol,inost,C00137,82786,-,-,-,-,-,-,5.72E-06,4.22E-06,7.75E-06
N-acetyl-glucosamine-1/6-phosphate,acgam1p,C04256,26142,7.47E-06,4.38E-06,1.06E-05,1.50E-04,1.36E-04,1.65E-04,8.19E-05,7.25E-05,9.26E-05
N-acetyl-glutamine,,,24082,6.24E-06,5.60E-06,6.87E-06,6.49E-05,5.14E-05,7.84E-05,-,-,-
N-Acetyl-L-alanine,,,21296,1.03E-05,8.77E-06,1.19E-05,8.08E-06,6.38E-06,9.77E-06,-,-,-
N-Acetyl-L-aspartic acid,Nacasp,C01042,23785,2.90E-03,2.77E-03,3.03E-03,-,-,-,-,-,-
N-acetyl-ornithine,acorn,C00437,24348,-,-,-,2.29E-04,1.93E-04,2.65E-04,4.33E-05,2.71E-05,6.94E-05
NAD+,nad,C00003,11259,5.02E-04,4.72E-04,5.32E-04,2.44E-03,2.29E-03,2.60E-03,2.55E-03,2.32E-03,2.80E-03
NADH,nadh,C00004,11384,7.50E-05,6.36E-05,8.82E-05,1.07E-04,9.32E-05,1.22E-04,8.36E-05,5.45E-05,1.27E-04
NADP+,nadp,C00006,48210,2.84E-05,2.55E-05,3.14E-05,1.83E-04,1.61E-04,2.04E-04,2.08E-06,1.40E-07,3.11E-05
NADPH,nadph,C00005,48213,6.54E-05,5.87E-05,7.21E-05,2.21E-04,1.93E-04,2.50E-04,1.21E-04,1.10E-04,1.34E-04
ornithine,orn,C00077,20623,-,-,-,4.49E-03,4.04E-03,4.94E-03,1.01E-05,6.81E-06,1.51E-05
orotate,orot,C00295,20827,8.41E-06,2.19E-06,1.46E-05,-,-,-,-,-,-
oxaloacetate[c]*,oaa[c],C00036,19271,-,-,-,-,-,-,4.87E-07,2.81E-07,8.55E-07
oxaloacetate[m]*,oaa[m],C00036,19271,2.01E-06,1.18E-06,3.31E-06,5.01E-07,1.32E-07,9.86E-07,-,-,-
pentose-phosphate***,,,,-,-,-,-,-,-,1.32E-03,9.83E-04,1.77E-03
phenylalanine,phe-L,C00079,27187,8.40E-04,7.97E-04,8.84E-04,2.73E-04,2.15E-04,3.31E-04,1.82E-05,1.77E-05,1.87E-05
phenylpyruvate,phpyr,C00166,28296,1.77E-03,1.71E-03,1.82E-03,-,-,-,8.98E-05,5.01E-05,1.61E-04
phosphate (orthophosphate)[c]**,pi[c],C00009,92038,5.83E-03,4.00E-03,6.00E-03,4.93E-02,4.00E-02,6.00E-02,2.39E-02,1.60E-02,2.40E-02
phosphoenolpyruvate,pep,C00074,17779,1.16E-05,6.86E-06,1.98E-05,2.91E-05,2.33E-05,3.48E-05,1.84E-04,1.46E-04,2.31E-04
proline,pro-L,C00148,21286,1.23E-03,1.13E-03,1.34E-03,1.36E-03,8.38E-04,1.87E-03,3.85E-04,3.72E-04,3.99E-04
propionyl-CoA,ppcoa,C00100,36287,-,-,-,-,-,-,5.32E-06,3.88E-06,7.29E-06
PRPP,prpp,C00119,20749,-,-,-,4.70E-05,3.67E-05,5.73E-05,2.58E-04,1.36E-04,4.92E-04
pyruvate,pyr,C00022,17694,5.88E-03,5.40E-03,6.35E-03,9.40E-03,8.51E-03,1.04E-02,3.66E-03,3.13E-03,4.20E-03
quinolinate,quln,C03722,24851,-,-,-,-,-,-,1.15E-05,2.41E-06,5.49E-05
riboflavin,ribflv,C00255,7793,-,-,-,-,-,-,1.90E-05,1.72E-05,2.11E-05
ribose-5-phosphate,r5p,C00117,34575,7.83E-05,2.84E-05,1.28E-04,1.52E-04,1.14E-04,1.90E-04,-,-,-
ribose-5-phosphate[c]*,r5p[c],C00117,34575,2.84E-05,2.84E-05,4.01E-05,-,-,-,7.87E-04,7.86E-04,8.36E-04
ribulose-5-phosphate[c]*,ru5p-D[c],C00199,20587,5.27E-06,4.10E-06,5.85E-06,1.22E-04,7.73E-05,1.95E-04,1.12E-04,1.12E-04,1.27E-04
S-adenosyl-L-homocysteine,ahcys,C00021,5433,5.71E-07,-1.61E-07,1.30E-06,-,-,-,-,-,-
S-adenosyl-L-methionine,amet,C00019,6347,-,-,-,-,-,-,1.84E-04,1.19E-04,2.84E-04
sedoheptulose-7-phosphate,s7p,C05382,24563,1.51E-05,1.21E-05,1.81E-05,3.61E-04,3.29E-04,3.92E-04,8.82E-04,8.40E-04,9.24E-04
sedoheptulose-7-phosphate[c]*,s7p[c],C05382,24563,1.81E-05,1.28E-05,1.81E-05,-,-,-,-,-,-
serine,ser-L,C00065,17936,4.86E-03,4.75E-03,4.97E-03,3.87E-03,2.35E-03,5.38E-03,1.13E-03,1.06E-03,1.20E-03
shikimate,skm,C00493,23975,-,-,-,-,-,-,1.41E-05,7.02E-06,2.81E-05
sn-glycerol 3-phosphate,glyc3p,C00093,18111,-,-,-,2.81E-04,2.54E-04,3.08E-04,4.90E-05,1.29E-05,1.87E-04
succinate,succ,C00042,19270,3.52E-04,2.87E-04,4.30E-04,6.35E-04,5.66E-04,7.05E-04,5.69E-04,3.41E-04,9.49E-04
succinyl-CoA,succoa,C00091,55439,-,-,-,-,-,-,2.33E-04,1.42E-04,3.83E-04
succinyl-CoA[m]*,succoa[m],C00091,55439,6.80E-06,3.49E-07,3.16E-03,-,-,-,-,-,-
taurine,taur,C00245,15566,-,-,-,5.64E-06,5.21E-06,6.06E-06,-,-,-
threonine,thr-L,C00188,19816,6.69E-03,6.44E-03,6.94E-03,6.69E-03,4.52E-03,8.86E-03,1.26E-03,1.22E-03,1.29E-03
thymidine,thymd,C00214,991,2.64E-06,1.88E-06,3.40E-06,3.45E-06,2.65E-06,4.24E-06,-,-,-
trehalose,tre,C01083,39582,-,-,-,8.40E-03,6.53E-03,1.03E-02,-,-,-
tryptophan,trp-L,C00078,2198,1.80E-04,1.72E-04,1.89E-04,5.55E-05,4.63E-05,6.46E-05,1.21E-05,1.14E-05,1.29E-05
tyrosine,tyr-L,C00082,27212,9.38E-04,8.88E-04,9.88E-04,2.48E-04,2.29E-04,2.68E-04,2.89E-05,1.87E-05,4.47E-05
UDP,udp,C00015,27564,1.33E-04,1.25E-04,1.42E-04,3.68E-05,2.90E-05,4.47E-05,1.79E-03,1.18E-03,2.72E-03
UDP-glucose,udpg,C00029,6433,1.53E-03,1.28E-03,1.77E-03,2.68E-04,2.50E-04,2.86E-04,2.50E-03,1.23E-03,5.11E-03
UDP-glucuronate,udpglcur,C00167,36564,9.75E-05,8.45E-05,1.11E-04,-,-,-,5.66E-04,1.20E-04,2.67E-03
UDP-N-acetyl-glucosamine,uacgam,C00043,8030,8.97E-03,8.80E-03,9.14E-03,1.02E-03,9.28E-04,1.11E-03,9.24E-03,6.79E-03,1.26E-02
UMP,ump,C00105,27452,1.45E-05,1.33E-05,1.57E-05,1.45E-05,8.69E-06,2.04E-05,-,-,-
uridine,uri,C00299,27316,-,-,-,-,-,-,2.09E-03,1.96E-03,2.24E-03
UTP,utp,C00075,27658,1.76E-03,1.55E-03,1.98E-03,4.94E-04,4.28E-04,5.59E-04,8.29E-03,7.76E-03,8.86E-03
valine,val-L,C00183,20495,1.51E-03,1.44E-03,1.58E-03,2.50E-03,2.37E-03,2.63E-03,4.02E-03,3.53E-03,4.58E-03
xylulose-5-phosphate,xu5p-D,C00231,29847,3.15E-05,2.33E-05,3.95E-05,-,-,-,-,-,-
xylulose-5-phosphate[c]*,xu5p-D[c],C00231,29847,2.99E-05,2.34E-05,3.31E-05,2.46E-04,1.59E-04,3.93E-04,1.81E-04,1.80E-04,2.03E-04
"* Concentrations satisfy both measured 95% confidence interval and thermodynamic constraints. [c] and [m] denote values consistent with reaction free energies in cytosol and mitochondria, respectively.
** CO2 concentration was calculated using Henry's law at the respective culture conditions. Coenzyme A and phosphate concentrations were taken from literature.
*** Hexose-phosphate includes glucose-6-phosphate and fructose-6-phosphate. Pentose-phosphate includes ribose-5-phosphate, ribulose-6-phosphate, and xylulose-5-phosphate.",,,,,,,,,,,,
7,,,,,,,,,,,,
