,Batch,Tube,Strain,Medium,Growth rate (1/h),Exp. phase time limit (h)
37,1,6B,ybjE,M9 20 mM glucose pH 7.4,0.5728848199164343,14.0
38,1,6C,ybjE,M9 20 mM glucose pH 7.4,0.533524118294873,14.0
39,1,10A,yeaS,M9 20 mM glucose pH 7.4,0.5709254372352542,14.0
40,1,10B,yeaS,M9 20 mM glucose pH 7.4,0.5724407922298411,14.0
41,1,10C,yeaS,M9 20 mM glucose pH 7.4,0.5662947698328671,14.0
42,1,9C,ygaZ,M9 20 mM glucose pH 7.4,0.6377377421136455,14.0
43,1,9A,ygaZ,M9 20 mM glucose pH 7.4,0.6354433542410661,14.0
44,1,9B,ygaZ,M9 20 mM glucose pH 7.4,0.6384674609235592,14.0
45,1,8C,yedA,M9 20 mM glucose pH 7.4,0.5450498590775169,14.0
46,1,8B,yedA,M9 20 mM glucose pH 7.4,0.5556336273056033,14.0
47,1,8A,yedA,M9 20 mM glucose pH 7.4,0.5934672745945602,14.0
48,2,4B,actP,M9 20 mM glucose pH 7.4,0.47777992522639984,13.0
49,2,4C,actP,M9 20 mM glucose pH 7.4,0.47718375365126514,13.0
50,2,4A,actP,M9 20 mM glucose pH 7.4,0.45227138077574136,13.0
51,2,5A,codB,M9 20 mM glucose pH 7.4,0.5402672589347357,13.0
52,2,5C,codB,M9 20 mM glucose pH 7.4,0.4947889307483059,13.0
53,2,5B,codB,M9 20 mM glucose pH 7.4,0.5235465688806848,13.0
54,2,8B,setA,M9 20 mM glucose pH 7.4,0.555821171001521,13.0
55,2,8A,setA,M9 20 mM glucose pH 7.4,0.6056469713471851,13.0
56,2,8C,setA,M9 20 mM glucose pH 7.4,0.5474111704533624,13.0
57,2,0A,WT,M9 20 mM glucose pH 7.4,0.5524365210335651,13.0
58,2,0B,WT,M9 20 mM glucose pH 7.4,0.5698504393845969,13.0
59,2,0F,WT,M9 20 mM glucose pH 7.4,0.52087733597479,13.0
60,2,0E,WT,M9 20 mM glucose pH 7.4,0.5269944622361922,13.0
61,2,0D,WT,M9 20 mM glucose pH 7.4,0.5051502604142255,13.0
62,2,0C,WT,M9 20 mM glucose pH 7.4,0.5473925209939218,13.0
63,2,2C,yhjE,M9 20 mM glucose pH 7.4,0.5525702856596616,13.0
64,2,2B,yhjE,M9 20 mM glucose pH 7.4,0.548146049444929,13.0
65,2,2A,yhjE,M9 20 mM glucose pH 7.4,0.543125359812356,13.0
66,2,10C,nagE,M9 20 mM glucose pH 7.4,0.5078771342615761,13.0
67,2,10A,nagE,M9 20 mM glucose pH 7.4,0.5036722253211178,13.0
68,2,10B,nagE,M9 20 mM glucose pH 7.4,0.510689811386774,13.0
69,2,14A,putP,M9 20 mM glucose pH 7.4,0.5212008712053053,12.0
70,2,14C,putP,M9 20 mM glucose pH 7.4,0.5198603854199587,12.0
71,2,14B,putP,M9 20 mM glucose pH 7.4,0.5198603854199588,12.0
72,2,12C,ptsG,M9 20 mM glucose pH 7.4,0.19865989233104245,20.0
73,2,12B,ptsG,M9 20 mM glucose pH 7.4,0.198911880259881,20.0
74,2,12A,ptsG,M9 20 mM glucose pH 7.4,0.20161683569393135,20.0
75,2,13B,lysP,M9 20 mM glucose pH 7.4,0.5228472787752384,13.0
76,2,13A,lysP,M9 20 mM glucose pH 7.4,0.5076628443776008,13.0
77,2,13C,lysP,M9 20 mM glucose pH 7.4,0.5054333060147971,13.0
78,2,11C,gltJ,M9 20 mM glucose pH 7.4,0.5018670105136864,12.0
79,2,11B,gltJ,M9 20 mM glucose pH 7.4,0.5174680226659211,12.0
80,2,11A,gltJ,M9 20 mM glucose pH 7.4,0.5109414847647676,12.0
81,2,7B,brnQ,M9 20 mM glucose pH 7.4,0.5127994721138313,13.0
82,2,7A,brnQ,M9 20 mM glucose pH 7.4,0.4793369515670576,13.0
83,2,7C,brnQ,M9 20 mM glucose pH 7.4,0.5006988607712977,13.0
84,2,3A,adeP,M9 20 mM glucose pH 7.4,0.4883476464204388,14.0
85,2,3B,adeP,M9 20 mM glucose pH 7.4,0.4645010713968595,14.0
86,2,3C,adeP,M9 20 mM glucose pH 7.4,0.4426132393618683,14.0
87,2,6C,aroP,M9 20 mM glucose pH 7.4,0.5539384294512296,13.0
88,2,6B,aroP,M9 20 mM glucose pH 7.4,0.5654407746184472,13.0
89,2,6A,aroP,M9 20 mM glucose pH 7.4,0.5696470286706736,13.0
90,2,1C,argO,M9 20 mM glucose pH 7.4,0.5171072506620976,13.0
91,2,1B,argO,M9 20 mM glucose pH 7.4,0.5149219753167381,13.0
92,2,1A,argO,M9 20 mM glucose pH 7.4,0.5272135934829897,13.0
93,2,9C,acrB,M9 20 mM glucose pH 7.4,0.519595414541948,12.0
94,2,9B,acrB,M9 20 mM glucose pH 7.4,0.5241887991859737,12.0
95,2,9A,acrB,M9 20 mM glucose pH 7.4,0.5129376853836624,12.0
96,3,4A,focA,M9 20 mM glucose pH 7.4,0.45466084973556553,14.0
97,3,4C,focA,M9 20 mM glucose pH 7.4,0.45971125273462826,14.0
98,3,4B,focA,M9 20 mM glucose pH 7.4,0.4441127517244379,14.0
99,3,1A,gadC,M9 20 mM glucose pH 7.4,0.4752971871110451,14.0
100,3,1C,gadC,M9 20 mM glucose pH 7.4,0.4639411020513568,14.0
101,3,1B,gadC,M9 20 mM glucose pH 7.4,0.5235334017792003,14.0
102,3,11C,fruA,M9 20 mM glucose pH 7.4,0.4834316463191424,13.0
103,3,11B,fruA,M9 20 mM glucose pH 7.4,0.49704727451519093,13.0
104,3,11A,fruA,M9 20 mM glucose pH 7.4,0.47914819950165016,13.0
105,3,3A,glnP,M9 20 mM glucose pH 7.4,0.4365791470729106,13.0
106,3,3B,glnP,M9 20 mM glucose pH 7.4,0.4359799454000777,13.0
107,3,3C,glnP,M9 20 mM glucose pH 7.4,0.4338650833660176,13.0
108,3,5B,artQ,M9 20 mM glucose pH 7.4,0.4704494524093445,14.0
109,3,5A,artQ,M9 20 mM glucose pH 7.4,0.46702101020760284,14.0
110,3,5C,artQ,M9 20 mM glucose pH 7.4,0.4618379716482019,14.0
111,3,7B,glpF,M9 20 mM glucose pH 7.4,0.5147489626298866,12.0
112,3,7C,glpF,M9 20 mM glucose pH 7.4,0.45163242810558507,12.0
113,3,7A,glpF,M9 20 mM glucose pH 7.4,0.5021777625735858,12.0
114,3,9C,cycA,M9 20 mM glucose pH 7.4,0.4729562210437468,14.0
115,3,9B,cycA,M9 20 mM glucose pH 7.4,0.479556723589465,14.0
116,3,9A,cycA,M9 20 mM glucose pH 7.4,0.482889625587152,14.0
117,3,13A,gltP,M9 20 mM glucose pH 7.4,0.5421176099818017,13.0
118,3,13B,gltP,M9 20 mM glucose pH 7.4,0.546111212672455,13.0
119,3,13C,gltP,M9 20 mM glucose pH 7.4,0.5566958448944407,13.0
120,3,0A,WT,M9 20 mM glucose pH 7.4,0.5059593373190077,13.0
121,3,0F,WT,M9 20 mM glucose pH 7.4,0.5237737705649596,13.0
122,3,0E,WT,M9 20 mM glucose pH 7.4,0.514547316505044,13.0
123,3,0D,WT,M9 20 mM glucose pH 7.4,0.5198603854199587,13.0
124,3,0C,WT,M9 20 mM glucose pH 7.4,0.520305713240876,13.0
125,3,0B,WT,M9 20 mM glucose pH 7.4,0.5142281071549518,13.0
126,3,14C,mscL,M9 20 mM glucose pH 7.4,0.4452150548071367,14.0
127,3,14A,mscL,M9 20 mM glucose pH 7.4,0.4483792993605695,14.0
128,3,14B,mscL,M9 20 mM glucose pH 7.4,0.45110762811035554,14.0
129,3,10A,nupC,M9 20 mM glucose pH 7.4,0.5626900062823648,13.0
130,3,10B,nupC,M9 20 mM glucose pH 7.4,0.5365126554528775,13.0
131,3,10C,nupC,M9 20 mM glucose pH 7.4,0.5532432335760893,13.0
132,3,8B,proP,M9 20 mM glucose pH 7.4,0.5493061443340544,13.0
133,3,8A,proP,M9 20 mM glucose pH 7.4,0.5281897026365056,13.0
134,3,8C,proP,M9 20 mM glucose pH 7.4,0.5558073586178867,13.0
135,3,6A,rbsC,M9 20 mM glucose pH 7.4,0.4589119535487777,13.0
136,3,6C,rbsC,M9 20 mM glucose pH 7.4,0.4495271300186189,13.0
137,3,6B,rbsC,M9 20 mM glucose pH 7.4,0.46890267481068354,13.0
138,3,12A,sdaC,M9 20 mM glucose pH 7.4,0.5001921274018397,13.0
139,3,12B,sdaC,M9 20 mM glucose pH 7.4,0.4939701902611474,13.0
140,3,12C,sdaC,M9 20 mM glucose pH 7.4,0.5186555638109716,13.0
141,3,2A,znuB,M9 20 mM glucose pH 7.4,0.45542811455083093,14.0
142,3,2B,znuB,M9 20 mM glucose pH 7.4,0.4624108560693068,14.0
143,3,2C,znuB,M9 20 mM glucose pH 7.4,0.4548154565378395,14.0
144,4,8B,cstA,M9 20 mM glucose pH 7.4,0.555368981345335,13.0
145,4,8A,cstA,M9 20 mM glucose pH 7.4,0.5581903279032516,13.0
146,4,8C,cstA,M9 20 mM glucose pH 7.4,0.5556116488230446,13.0
147,4,11C,galP,M9 20 mM glucose pH 7.4,0.5563565031118566,12.0
148,4,11B,galP,M9 20 mM glucose pH 7.4,0.5634866081247167,12.0
149,4,11A,galP,M9 20 mM glucose pH 7.4,0.5618716030292765,12.0
150,4,5B,mtr,M9 20 mM glucose pH 7.4,0.5592893219178973,13.0
151,4,5C,mtr,M9 20 mM glucose pH 7.4,0.5539444963079916,13.0
152,4,5A,mtr,M9 20 mM glucose pH 7.4,0.5669748837515388,13.0
153,4,9C,nupG,M9 20 mM glucose pH 7.4,0.5141680174507283,12.0
154,4,9B,nupG,M9 20 mM glucose pH 7.4,0.5516842835509791,12.0
155,4,9A,nupG,M9 20 mM glucose pH 7.4,0.5490040294936623,12.0
156,4,0B,WT,M9 20 mM glucose pH 7.4,0.5274103203858669,12.0
157,4,0C,WT,M9 20 mM glucose pH 7.4,0.5308753828684664,12.0
158,4,0A,WT,M9 20 mM glucose pH 7.4,0.5263105469061421,12.0
159,4,0D,WT,M9 20 mM glucose pH 7.4,0.6177890718706333,12.0
160,4,0E,WT,M9 20 mM glucose pH 7.4,0.5295846519476264,12.0
161,4,0F,WT,M9 20 mM glucose pH 7.4,0.556934300549403,12.0
162,4,7A,uhpT,M9 20 mM glucose pH 7.4,0.5375489204337813,13.0
163,4,7C,uhpT,M9 20 mM glucose pH 7.4,0.5504730075959283,13.0
164,4,7B,uhpT,M9 20 mM glucose pH 7.4,0.5453060589974443,13.0
165,4,2A,dppB,M9 20 mM glucose pH 7.4,0.1275717538781719,20.0
166,4,2B,dppB,M9 20 mM glucose pH 7.4,0.13617956450491495,20.0
167,4,2C,dppB,M9 20 mM glucose pH 7.4,0.13085733179894649,20.0
168,4,3A,dctA,M9 20 mM glucose pH 7.4,0.5542506812819656,13.0
169,4,3C,dctA,M9 20 mM glucose pH 7.4,0.5455324877784337,13.0
170,4,3B,dctA,M9 20 mM glucose pH 7.4,0.5477581517720743,13.0
171,4,14B,dcuA,M9 20 mM glucose pH 7.4,0.5483887121118142,12.0
172,4,14A,dcuA,M9 20 mM glucose pH 7.4,0.5436240815646657,12.0
173,4,14C,dcuA,M9 20 mM glucose pH 7.4,0.510693423268506,12.0
174,4,4A,gltS,M9 20 mM glucose pH 7.4,0.5559424255086436,13.0
175,4,4C,gltS,M9 20 mM glucose pH 7.4,0.5647375392742937,13.0
176,4,4B,gltS,M9 20 mM glucose pH 7.4,0.5602905700919095,13.0
177,4,10C,emrB,M9 20 mM glucose pH 7.4,0.5517631665681203,12.0
178,4,10B,emrB,M9 20 mM glucose pH 7.4,0.5493061443340548,12.0
179,4,10A,emrB,M9 20 mM glucose pH 7.4,0.5504980417049226,12.0
180,4,6A,ugpA,M9 20 mM glucose pH 7.4,0.549866682685477,13.0
181,4,6C,ugpA,M9 20 mM glucose pH 7.4,0.5416132296673661,13.0
182,4,6B,ugpA,M9 20 mM glucose pH 7.4,0.5504147936010209,13.0
183,4,12A,pheP,M9 20 mM glucose pH 7.4,0.5625303808645761,12.0
184,4,12B,pheP,M9 20 mM glucose pH 7.4,0.5639170433015731,12.0
185,4,12C,pheP,M9 20 mM glucose pH 7.4,0.5628229496516236,12.0
186,4,1B,rhtC,M9 20 mM glucose pH 7.4,0.4312558011246601,15.0
187,4,1A,rhtC,M9 20 mM glucose pH 7.4,0.4427749286828949,15.0
188,4,1C,rhtC,M9 20 mM glucose pH 7.4,0.4353059871135003,15.0
189,4,13B,tdcC,M9 20 mM glucose pH 7.4,0.581961189938321,13.0
190,4,13C,tdcC,M9 20 mM glucose pH 7.4,0.5691677010571438,13.0
191,4,13A,tdcC,M9 20 mM glucose pH 7.4,0.5884100659485824,13.0
192,5,4C,metI,M9 20 mM glucose pH 7.4,0.45587579183828303,13.0
193,5,4B,metI,M9 20 mM glucose pH 7.4,0.4504316350053256,13.0
194,5,4A,metI,M9 20 mM glucose pH 7.4,0.4490063979564283,13.0
195,5,1C,livH,M9 20 mM glucose pH 7.4,0.3635095677517546,15.0
196,5,1A,livH,M9 20 mM glucose pH 7.4,0.38907879175402743,15.0
197,5,1B,livH,M9 20 mM glucose pH 7.4,0.385598008665571,15.0
198,5,8C,manY,M9 20 mM glucose pH 7.4,0.46590787036268144,13.0
199,5,8B,manY,M9 20 mM glucose pH 7.4,0.47269409427572706,13.0
200,5,8A,manY,M9 20 mM glucose pH 7.4,0.4596189427057603,13.0
201,5,3A,eamA,M9 20 mM glucose pH 7.4,0.4059928733656618,13.0
202,5,3C,eamA,M9 20 mM glucose pH 7.4,0.43926102640841763,13.0
203,5,3B,eamA,M9 20 mM glucose pH 7.4,0.436844418905449,13.0
204,5,10A,ansP,M9 20 mM glucose pH 7.4,0.4308840748507678,13.0
205,5,10B,ansP,M9 20 mM glucose pH 7.4,0.4483712799018176,13.0
206,5,10C,ansP,M9 20 mM glucose pH 7.4,0.4490974499779064,13.0
207,5,2C,rhtB,M9 20 mM glucose pH 7.4,0.43955180911603975,12.0
208,5,2B,rhtB,M9 20 mM glucose pH 7.4,0.4514897460628889,12.0
209,5,2A,rhtB,M9 20 mM glucose pH 7.4,0.4524587760586638,12.0
210,5,5B,tolC,M9 20 mM glucose pH 7.4,0.2846282904685567,24.0
211,5,5C,tolC,M9 20 mM glucose pH 7.4,0.31378878044267217,24.0
212,5,5A,tolC,M9 20 mM glucose pH 7.4,0.2888714730637477,24.0
213,5,6A,yahN,M9 20 mM glucose pH 7.4,0.44052076216900776,13.0
214,5,6B,yahN,M9 20 mM glucose pH 7.4,0.45719508187526764,13.0
215,5,6C,yahN,M9 20 mM glucose pH 7.4,0.4444886826673332,13.0
216,5,11A,glpT,M9 20 mM glucose pH 7.4,0.41650831350390316,13.0
217,5,11C,glpT,M9 20 mM glucose pH 7.4,0.4076776351717119,13.0
218,5,11B,glpT,M9 20 mM glucose pH 7.4,0.4129466226344974,13.0
219,5,7C,kgtP,M9 20 mM glucose pH 7.4,0.4305655943342127,12.0
220,5,7A,kgtP,M9 20 mM glucose pH 7.4,0.43215529621439286,12.0
221,5,7B,kgtP,M9 20 mM glucose pH 7.4,0.4340621252233596,12.0
222,5,9C,hisQ,M9 20 mM glucose pH 7.4,0.4657430942229734,13.0
223,5,9A,hisQ,M9 20 mM glucose pH 7.4,0.45300609820312826,13.0
224,5,9B,hisQ,M9 20 mM glucose pH 7.4,0.4559923268124948,13.0
225,5,0A,WT,M9 20 mM glucose pH 7.4,0.48463929368751346,12.0
226,5,0B,WT,M9 20 mM glucose pH 7.4,0.4415588528785157,12.0
227,5,0C,WT,M9 20 mM glucose pH 7.4,0.4406069653150816,12.0
228,5,0D,WT,M9 20 mM glucose pH 7.4,0.4572093836783794,12.0
229,5,0E,WT,M9 20 mM glucose pH 7.4,0.45283202226827224,12.0
230,5,0F,WT,M9 20 mM glucose pH 7.4,0.4422129439565468,12.0
