Batch-Tube,Timepoint,Medium,OD,AUC OD,Hours,Strain,Parallel,Batch,#,Exp. phase time limit,Tube,Well
1-0C,10.0,M9 20 mM glucose pH 7.4,1.484,13.325854961177644,20.0,WT,C,1.0,1873,14.0,0C,
1-0D,1.0,M9 20 mM glucose pH 7.4,0.021,0.0667379977045908,4.0,WT,D,1.0,53,14.0,0D,
1-0D,2.0,M9 20 mM glucose pH 7.4,0.101,0.2440713310379241,8.0,WT,D,1.0,313,14.0,0D,
1-0D,3.0,M9 20 mM glucose pH 7.4,0.323,0.6419046643712575,10.0,WT,D,1.0,549,14.0,0D,
1-0D,4.0,M9 20 mM glucose pH 7.4,0.69,1.046571331037924,11.0,WT,D,1.0,745,14.0,0D,
1-0D,5.0,M9 20 mM glucose pH 7.4,0.943,1.872571331037924,12.0,WT,D,1.0,957,14.0,0D,
1-0D,6.0,M9 20 mM glucose pH 7.4,1.16,2.920571331037924,13.0,WT,D,1.0,793,14.0,0D,
1-0D,7.0,M9 20 mM glucose pH 7.4,1.374,4.187821331037924,14.0,WT,D,1.0,1345,14.0,0D,
1-0D,8.0,M9 20 mM glucose pH 7.4,1.505,5.6409046643712575,15.0,WT,D,1.0,1437,14.0,0D,
1-0D,9.0,M9 20 mM glucose pH 7.4,1.528,7.166404664371258,16.0,WT,D,1.0,1817,14.0,0D,
1-0D,10.0,M9 20 mM glucose pH 7.4,1.463,13.11011299770459,20.0,WT,D,1.0,1821,14.0,0D,
1-0E,1.0,M9 20 mM glucose pH 7.4,0.024,0.0664091627744511,4.0,WT,E,1.0,389,14.0,0E,
1-0E,2.0,M9 20 mM glucose pH 7.4,0.105,0.2537424961077844,8.0,WT,E,1.0,337,14.0,0E,
1-0E,3.0,M9 20 mM glucose pH 7.4,0.346,0.6757424961077845,10.0,WT,E,1.0,649,14.0,0E,
1-0E,4.0,M9 20 mM glucose pH 7.4,0.725,1.1109924961077844,11.0,WT,E,1.0,733,14.0,0E,
1-0E,5.0,M9 20 mM glucose pH 7.4,0.984,1.975492496107784,12.0,WT,E,1.0,833,14.0,0E,
1-0E,6.0,M9 20 mM glucose pH 7.4,1.187,3.0603258294411173,13.0,WT,E,1.0,1013,14.0,0E,
1-0E,7.0,M9 20 mM glucose pH 7.4,1.389,4.34840916277445,14.0,WT,E,1.0,1541,14.0,0E,
1-0E,8.0,M9 20 mM glucose pH 7.4,1.493,5.80565916277445,15.0,WT,E,1.0,1493,14.0,0E,
1-0E,9.0,M9 20 mM glucose pH 7.4,1.558,7.334409162774451,16.0,WT,E,1.0,1673,14.0,0E,
1-0E,10.0,M9 20 mM glucose pH 7.4,1.486,13.336325829441115,20.0,WT,E,1.0,1641,14.0,0E,
1-0F,1.0,M9 20 mM glucose pH 7.4,0.022,0.0649839794411177,4.0,WT,F,1.0,293,14.0,0F,
1-0F,2.0,M9 20 mM glucose pH 7.4,0.096,0.2369839794411177,8.0,WT,F,1.0,325,14.0,0F,
1-0F,3.0,M9 20 mM glucose pH 7.4,0.312,0.6191506461077845,10.0,WT,F,1.0,641,14.0,0F,
1-0F,4.0,M9 20 mM glucose pH 7.4,0.656,1.0109839794411175,11.0,WT,F,1.0,709,14.0,0F,
1-0F,5.0,M9 20 mM glucose pH 7.4,0.897,1.796067312774451,12.0,WT,F,1.0,921,14.0,0F,
1-0F,6.0,M9 20 mM glucose pH 7.4,1.108,2.7949839794411178,13.0,WT,F,1.0,897,14.0,0F,
1-0F,7.0,M9 20 mM glucose pH 7.4,1.317,4.007650646107784,14.0,WT,F,1.0,1325,14.0,0F,
1-0F,8.0,M9 20 mM glucose pH 7.4,1.46,5.406983979441117,15.0,WT,F,1.0,1397,14.0,0F,
1-0F,9.0,M9 20 mM glucose pH 7.4,1.537,6.9109839794411165,16.0,WT,F,1.0,1721,14.0,0F,
1-0F,10.0,M9 20 mM glucose pH 7.4,1.474,12.932108979441118,20.0,WT,F,1.0,1549,14.0,0F,
1-10A,1.0,M9 20 mM glucose pH 7.4,0.022,0.0600507595808383,4.0,yeaS,A,1.0,73,14.0,10A,
1-10A,2.0,M9 20 mM glucose pH 7.4,0.117,0.2673840929141716,8.0,yeaS,A,1.0,365,14.0,10A,
1-10A,3.0,M9 20 mM glucose pH 7.4,0.367,0.7220507595808383,10.0,yeaS,A,1.0,401,14.0,10A,
1-10A,4.0,M9 20 mM glucose pH 7.4,0.77,1.1808840929141715,11.0,yeaS,A,1.0,665,14.0,10A,
1-10A,5.0,M9 20 mM glucose pH 7.4,1.021,2.0890507595808385,12.0,yeaS,A,1.0,781,14.0,10A,
1-10A,6.0,M9 20 mM glucose pH 7.4,1.213,3.203217426247505,13.0,yeaS,A,1.0,913,14.0,10A,
1-10A,7.0,M9 20 mM glucose pH 7.4,1.42,4.518467426247504,14.0,yeaS,A,1.0,1241,14.0,10A,
1-10A,8.0,M9 20 mM glucose pH 7.4,1.522,6.008217426247505,15.0,yeaS,A,1.0,1277,14.0,10A,
1-10A,9.0,M9 20 mM glucose pH 7.4,1.549,7.549967426247504,16.0,yeaS,A,1.0,1857,14.0,10A,
1-10A,10.0,M9 20 mM glucose pH 7.4,1.474,13.529842426247503,20.0,yeaS,A,1.0,1653,14.0,10A,
1-10B,1.0,M9 20 mM glucose pH 7.4,0.023,0.0632299611776447,4.0,yeaS,B,1.0,269,14.0,10B,
1-10B,2.0,M9 20 mM glucose pH 7.4,0.123,0.2778966278443113,8.0,yeaS,B,1.0,229,14.0,10B,
1-10B,3.0,M9 20 mM glucose pH 7.4,0.373,0.7453966278443114,10.0,yeaS,B,1.0,705,14.0,10B,
1-10B,4.0,M9 20 mM glucose pH 7.4,0.806,1.2093966278443111,11.0,yeaS,B,1.0,621,14.0,10B,
1-10B,5.0,M9 20 mM glucose pH 7.4,1.055,2.1552299611776444,12.0,yeaS,B,1.0,797,14.0,10B,
1-10B,6.0,M9 20 mM glucose pH 7.4,1.24,3.2980632945109782,13.0,yeaS,B,1.0,1065,14.0,10B,
1-10B,7.0,M9 20 mM glucose pH 7.4,1.432,4.633479961177645,14.0,yeaS,B,1.0,1533,14.0,10B,
1-10B,8.0,M9 20 mM glucose pH 7.4,1.548,6.136729961177645,15.0,yeaS,B,1.0,1505,14.0,10B,
1-10B,9.0,M9 20 mM glucose pH 7.4,1.561,7.699813294510978,16.0,yeaS,B,1.0,1693,14.0,10B,
1-10B,10.0,M9 20 mM glucose pH 7.4,1.497,13.785396627844312,20.0,yeaS,B,1.0,1633,14.0,10B,
1-10C,1.0,M9 20 mM glucose pH 7.4,0.024,0.0639425528443113,4.0,yeaS,C,1.0,301,14.0,10C,
1-10C,2.0,M9 20 mM glucose pH 7.4,0.124,0.282609219510978,8.0,yeaS,C,1.0,21,14.0,10C,
1-10C,3.0,M9 20 mM glucose pH 7.4,0.378,0.7554425528443114,10.0,yeaS,C,1.0,585,14.0,10C,
1-10C,4.0,M9 20 mM glucose pH 7.4,0.792,1.226109219510978,11.0,yeaS,C,1.0,441,14.0,10C,
1-10C,5.0,M9 20 mM glucose pH 7.4,1.04,2.1559425528443112,12.0,yeaS,C,1.0,849,14.0,10C,
1-10C,6.0,M9 20 mM glucose pH 7.4,1.213,3.2811092195109777,13.0,yeaS,C,1.0,993,14.0,10C,
1-10C,7.0,M9 20 mM glucose pH 7.4,1.377,4.576859219510977,14.0,yeaS,C,1.0,1213,14.0,10C,
1-10C,8.0,M9 20 mM glucose pH 7.4,1.522,6.028775886177645,15.0,yeaS,C,1.0,1293,14.0,10C,
1-10C,9.0,M9 20 mM glucose pH 7.4,1.563,7.579942552844312,16.0,yeaS,C,1.0,1741,14.0,10C,
1-10C,10.0,M9 20 mM glucose pH 7.4,1.505,13.68819255284431,20.0,yeaS,C,1.0,1585,14.0,10C,
1-11A,1.0,M9 20 mM glucose pH 7.4,0.021,0.0593381679141716,4.0,punC,A,1.0,17,15.0,11A,
1-11A,2.0,M9 20 mM glucose pH 7.4,0.058,0.1866715012475049,8.0,punC,A,1.0,85,15.0,11A,
1-11A,3.0,M9 20 mM glucose pH 7.4,0.186,0.4143381679141716,10.0,punC,A,1.0,633,15.0,11A,
1-11A,4.0,M9 20 mM glucose pH 7.4,0.402,0.648671501247505,11.0,punC,A,1.0,533,15.0,11A,
1-11A,5.0,M9 20 mM glucose pH 7.4,0.57,1.138671501247505,12.0,punC,A,1.0,857,15.0,11A,
1-11A,6.0,M9 20 mM glucose pH 7.4,0.764,1.7973381679141711,13.0,punC,A,1.0,1125,15.0,11A,
1-11A,7.0,M9 20 mM glucose pH 7.4,1.037,2.691254834580838,14.0,punC,A,1.0,1197,15.0,11A,
1-11A,8.0,M9 20 mM glucose pH 7.4,1.3,3.8680048345808378,15.0,punC,A,1.0,1357,15.0,11A,
1-11A,9.0,M9 20 mM glucose pH 7.4,1.463,5.257838167914171,16.0,punC,A,1.0,1665,15.0,11A,
1-11A,10.0,M9 20 mM glucose pH 7.4,1.532,11.516296501247504,20.0,punC,A,1.0,1905,15.0,11A,
1-11B,1.0,M9 20 mM glucose pH 7.4,0.02,0.0610921861776447,4.0,punC,B,1.0,69,15.0,11B,
1-11B,2.0,M9 20 mM glucose pH 7.4,0.059,0.1910921861776447,8.0,punC,B,1.0,29,15.0,11B,
1-11B,3.0,M9 20 mM glucose pH 7.4,0.188,0.4215921861776447,10.0,punC,B,1.0,609,15.0,11B,
1-11B,4.0,M9 20 mM glucose pH 7.4,0.459,0.6583421861776447,11.0,punC,B,1.0,581,15.0,11B,
1-11B,5.0,M9 20 mM glucose pH 7.4,0.647,1.2182588528443112,12.0,punC,B,1.0,1061,15.0,11B,
1-11B,6.0,M9 20 mM glucose pH 7.4,0.856,1.9593421861776448,13.0,punC,B,1.0,1149,15.0,11B,
1-11B,7.0,M9 20 mM glucose pH 7.4,1.134,2.9485921861776445,14.0,punC,B,1.0,1425,15.0,11B,
1-11B,8.0,M9 20 mM glucose pH 7.4,1.397,4.222342186177645,15.0,punC,B,1.0,1193,15.0,11B,
1-11B,9.0,M9 20 mM glucose pH 7.4,1.53,5.696675519510979,16.0,punC,B,1.0,1749,15.0,11B,
1-11B,10.0,M9 20 mM glucose pH 7.4,1.558,12.029508852844312,20.0,punC,B,1.0,1637,15.0,11B,
1-11C,1.0,M9 20 mM glucose pH 7.4,0.02,0.0586255762475049,4.0,punC,C,1.0,33,15.0,11C,
1-11C,2.0,M9 20 mM glucose pH 7.4,0.055,0.180625576247505,8.0,punC,C,1.0,377,15.0,11C,
1-11C,3.0,M9 20 mM glucose pH 7.4,0.179,0.398625576247505,10.0,punC,C,1.0,693,15.0,11C,
1-11C,4.0,M9 20 mM glucose pH 7.4,0.391,0.624625576247505,11.0,punC,C,1.0,729,15.0,11C,
1-11C,5.0,M9 20 mM glucose pH 7.4,0.553,1.1007922429141717,12.0,punC,C,1.0,977,15.0,11C,
1-11C,6.0,M9 20 mM glucose pH 7.4,0.725,1.7339589095808383,13.0,punC,C,1.0,925,15.0,11C,
1-11C,7.0,M9 20 mM glucose pH 7.4,0.988,2.582875576247505,14.0,punC,C,1.0,1333,15.0,11C,
1-11C,8.0,M9 20 mM glucose pH 7.4,1.243,3.7072922429141713,15.0,punC,C,1.0,1181,15.0,11C,
1-11C,9.0,M9 20 mM glucose pH 7.4,1.403,5.038208909580838,16.0,punC,C,1.0,1581,15.0,11C,
1-11C,10.0,M9 20 mM glucose pH 7.4,1.548,11.288750576247503,20.0,punC,C,1.0,1913,15.0,11C,
1-12A,1.0,M9 20 mM glucose pH 7.4,0.024,0.0614759429141716,4.0,rhtA,A,1.0,329,14.0,12A,
1-12A,2.0,M9 20 mM glucose pH 7.4,0.085,0.224809276247505,8.0,rhtA,A,1.0,177,14.0,12A,
1-12A,3.0,M9 20 mM glucose pH 7.4,0.279,0.5649759429141717,10.0,rhtA,A,1.0,741,14.0,12A,
1-12A,4.0,M9 20 mM glucose pH 7.4,0.621,0.916309276247505,11.0,rhtA,A,1.0,457,14.0,12A,
1-12A,5.0,M9 20 mM glucose pH 7.4,0.879,1.673309276247505,12.0,rhtA,A,1.0,1117,14.0,12A,
1-12A,6.0,M9 20 mM glucose pH 7.4,1.115,2.666975942914172,13.0,rhtA,A,1.0,865,14.0,12A,
1-12A,7.0,M9 20 mM glucose pH 7.4,1.353,3.9008092762475055,14.0,rhtA,A,1.0,1245,14.0,12A,
1-12A,8.0,M9 20 mM glucose pH 7.4,1.482,5.336642609580839,15.0,rhtA,A,1.0,1261,14.0,12A,
1-12A,9.0,M9 20 mM glucose pH 7.4,1.534,6.851059276247505,16.0,rhtA,A,1.0,1557,14.0,12A,
1-12A,10.0,M9 20 mM glucose pH 7.4,1.483,12.991934276247504,20.0,rhtA,A,1.0,1677,14.0,12A,
1-12B,1.0,M9 20 mM glucose pH 7.4,0.021,0.0593381679141716,4.0,rhtA,B,1.0,45,14.0,12B,
1-12B,2.0,M9 20 mM glucose pH 7.4,0.092,0.2280048345808383,8.0,rhtA,B,1.0,317,14.0,12B,
1-12B,3.0,M9 20 mM glucose pH 7.4,0.318,0.6098381679141716,10.0,rhtA,B,1.0,637,14.0,12B,
1-12B,4.0,M9 20 mM glucose pH 7.4,0.695,1.0125048345808385,11.0,rhtA,B,1.0,557,14.0,12B,
1-12B,5.0,M9 20 mM glucose pH 7.4,0.966,1.8518381679141716,12.0,rhtA,B,1.0,965,14.0,12B,
1-12B,6.0,M9 20 mM glucose pH 7.4,1.118,2.9048381679141717,13.0,rhtA,B,1.0,997,14.0,12B,
1-12B,7.0,M9 20 mM glucose pH 7.4,1.399,4.152588167914172,14.0,rhtA,B,1.0,1413,14.0,12B,
1-12B,8.0,M9 20 mM glucose pH 7.4,1.491,5.639838167914172,15.0,rhtA,B,1.0,1289,14.0,12B,
1-12B,9.0,M9 20 mM glucose pH 7.4,1.556,7.165588167914172,16.0,rhtA,B,1.0,1797,14.0,12B,
1-12B,10.0,M9 20 mM glucose pH 7.4,1.492,13.259504834580838,20.0,rhtA,B,1.0,1917,14.0,12B,
1-12C,1.0,M9 20 mM glucose pH 7.4,0.021,0.0593381679141716,4.0,rhtA,C,1.0,249,14.0,12C,
1-12C,2.0,M9 20 mM glucose pH 7.4,0.091,0.2300048345808383,8.0,rhtA,C,1.0,169,14.0,12C,
1-12C,3.0,M9 20 mM glucose pH 7.4,0.302,0.5970048345808383,10.0,rhtA,C,1.0,425,14.0,12C,
1-12C,4.0,M9 20 mM glucose pH 7.4,0.665,0.9777548345808385,11.0,rhtA,C,1.0,721,14.0,12C,
1-12C,5.0,M9 20 mM glucose pH 7.4,0.924,1.780921501247505,12.0,rhtA,C,1.0,1105,14.0,12C,
1-12C,6.0,M9 20 mM glucose pH 7.4,1.134,2.8094215012475052,13.0,rhtA,C,1.0,949,14.0,12C,
1-12C,7.0,M9 20 mM glucose pH 7.4,1.341,4.047171501247505,14.0,rhtA,C,1.0,1441,14.0,12C,
1-12C,8.0,M9 20 mM glucose pH 7.4,1.466,5.464088167914172,15.0,rhtA,C,1.0,1205,14.0,12C,
1-12C,9.0,M9 20 mM glucose pH 7.4,1.532,6.968004834580839,16.0,rhtA,C,1.0,1789,14.0,12C,
1-12C,10.0,M9 20 mM glucose pH 7.4,1.493,13.028213167914172,20.0,rhtA,C,1.0,1681,14.0,12C,
1-14A,1.0,M9 20 mM glucose pH 7.4,0.02,0.0586255762475049,4.0,sstT,A,1.0,25,14.0,14A,
1-14A,2.0,M9 20 mM glucose pH 7.4,0.084,0.2106255762475049,8.0,sstT,A,1.0,357,14.0,14A,
1-14A,3.0,M9 20 mM glucose pH 7.4,0.303,0.5699589095808383,10.0,sstT,A,1.0,629,14.0,14A,
1-14A,4.0,M9 20 mM glucose pH 7.4,0.654,0.955375576247505,11.0,sstT,A,1.0,453,14.0,14A,
1-14A,5.0,M9 20 mM glucose pH 7.4,0.909,1.7448755762475052,12.0,sstT,A,1.0,1001,14.0,14A,
1-14A,6.0,M9 20 mM glucose pH 7.4,1.139,2.7650422429141717,13.0,sstT,A,1.0,1017,14.0,14A,
1-14A,7.0,M9 20 mM glucose pH 7.4,1.387,4.0265422429141715,14.0,sstT,A,1.0,1353,14.0,14A,
1-14A,8.0,M9 20 mM glucose pH 7.4,1.487,5.489708909580838,15.0,sstT,A,1.0,1217,14.0,14A,
1-14A,9.0,M9 20 mM glucose pH 7.4,1.535,7.005042242914171,16.0,sstT,A,1.0,1885,14.0,14A,
1-14A,10.0,M9 20 mM glucose pH 7.4,1.48,13.00016724291417,20.0,sstT,A,1.0,1901,14.0,14A,
1-14B,1.0,M9 20 mM glucose pH 7.4,0.018,0.0498005631237525,4.0,sstT,B,1.0,109,14.0,14B,
1-14B,2.0,M9 20 mM glucose pH 7.4,0.083,0.1998005631237524,8.0,sstT,B,1.0,233,14.0,14B,
1-14B,3.0,M9 20 mM glucose pH 7.4,0.299,0.5544672297904192,10.0,sstT,B,1.0,657,14.0,14B,
1-14B,4.0,M9 20 mM glucose pH 7.4,0.659,0.9348005631237524,11.0,sstT,B,1.0,561,14.0,14B,
1-14B,5.0,M9 20 mM glucose pH 7.4,0.924,1.7342172297904193,12.0,sstT,B,1.0,981,14.0,14B,
1-14B,6.0,M9 20 mM glucose pH 7.4,1.147,2.7688005631237527,13.0,sstT,B,1.0,1097,14.0,14B,
1-14B,7.0,M9 20 mM glucose pH 7.4,1.395,4.037717229790419,14.0,sstT,B,1.0,1401,14.0,14B,
1-14B,8.0,M9 20 mM glucose pH 7.4,1.508,5.513800563123752,15.0,sstT,B,1.0,1445,14.0,14B,
1-14B,9.0,M9 20 mM glucose pH 7.4,1.538,7.043717229790419,16.0,sstT,B,1.0,1801,14.0,14B,
1-14B,10.0,M9 20 mM glucose pH 7.4,1.483,13.051925563123753,20.0,sstT,B,1.0,1589,14.0,14B,
1-14C,1.0,M9 20 mM glucose pH 7.4,0.019,0.0529797647205588,4.0,sstT,C,1.0,285,14.0,14C,
1-14C,2.0,M9 20 mM glucose pH 7.4,0.084,0.2069797647205588,8.0,sstT,C,1.0,137,14.0,14C,
1-14C,3.0,M9 20 mM glucose pH 7.4,0.296,0.5603130980538922,10.0,sstT,C,1.0,413,14.0,14C,
1-14C,4.0,M9 20 mM glucose pH 7.4,0.653,0.9359797647205588,11.0,sstT,C,1.0,393,14.0,14C,
1-14C,5.0,M9 20 mM glucose pH 7.4,0.905,1.723729764720559,12.0,sstT,C,1.0,961,14.0,14C,
1-14C,6.0,M9 20 mM glucose pH 7.4,1.124,2.734979764720559,13.0,sstT,C,1.0,941,14.0,14C,
1-14C,7.0,M9 20 mM glucose pH 7.4,1.352,3.9722297647205593,14.0,sstT,C,1.0,1453,14.0,14C,
1-14C,8.0,M9 20 mM glucose pH 7.4,1.473,5.403313098053893,15.0,sstT,C,1.0,1305,14.0,14C,
1-14C,9.0,M9 20 mM glucose pH 7.4,1.511,6.902229764720559,16.0,sstT,C,1.0,1669,14.0,14C,
1-14C,10.0,M9 20 mM glucose pH 7.4,1.482,12.91635476472056,20.0,sstT,C,1.0,1853,14.0,14C,
1-1A,1.0,M9 20 mM glucose pH 7.4,0.026,0.0703009560379241,4.0,tsx,A,1.0,93,14.0,1A,
1-1A,2.0,M9 20 mM glucose pH 7.4,0.104,0.2636342893712574,8.0,tsx,A,1.0,13,14.0,1A,
1-1A,3.0,M9 20 mM glucose pH 7.4,0.295,0.6414676227045908,10.0,tsx,A,1.0,481,14.0,1A,
1-1A,4.0,M9 20 mM glucose pH 7.4,0.687,1.0053842893712577,11.0,tsx,A,1.0,417,14.0,1A,
1-1A,5.0,M9 20 mM glucose pH 7.4,0.951,1.835050956037924,12.0,tsx,A,1.0,1093,14.0,1A,
1-1A,6.0,M9 20 mM glucose pH 7.4,1.227,2.9113842893712576,13.0,tsx,A,1.0,901,14.0,1A,
1-1A,7.0,M9 20 mM glucose pH 7.4,1.389,4.2288842893712575,14.0,tsx,A,1.0,1429,14.0,1A,
1-1A,8.0,M9 20 mM glucose pH 7.4,1.493,5.670050956037924,15.0,tsx,A,1.0,1497,14.0,1A,
1-1A,9.0,M9 20 mM glucose pH 7.4,1.549,7.1950509560379245,16.0,tsx,A,1.0,1813,14.0,1A,
1-1A,10.0,M9 20 mM glucose pH 7.4,1.509,13.308050956037924,20.0,tsx,A,1.0,1701,14.0,1A,
1-1B,1.0,M9 20 mM glucose pH 7.4,0.024,0.0590093329840319,4.0,tsx,B,1.0,253,14.0,1B,
1-1B,2.0,M9 20 mM glucose pH 7.4,0.104,0.2536759996506986,8.0,tsx,B,1.0,265,14.0,1B,
1-1B,3.0,M9 20 mM glucose pH 7.4,0.291,0.6280093329840319,10.0,tsx,B,1.0,713,14.0,1B,
1-1B,4.0,M9 20 mM glucose pH 7.4,0.678,0.9864259996506984,11.0,tsx,B,1.0,465,14.0,1B,
1-1B,5.0,M9 20 mM glucose pH 7.4,0.932,1.802509332984032,12.0,tsx,B,1.0,953,14.0,1B,
1-1B,6.0,M9 20 mM glucose pH 7.4,1.208,2.857759332984032,13.0,tsx,B,1.0,1101,14.0,1B,
1-1B,7.0,M9 20 mM glucose pH 7.4,1.396,4.167092666317366,14.0,tsx,B,1.0,1489,14.0,1B,
1-1B,8.0,M9 20 mM glucose pH 7.4,1.505,5.623425999650699,15.0,tsx,B,1.0,1273,14.0,1B,
1-1B,9.0,M9 20 mM glucose pH 7.4,1.558,7.159592666317366,16.0,tsx,B,1.0,1709,14.0,1B,
1-1B,10.0,M9 20 mM glucose pH 7.4,1.514,13.299592666317366,20.0,tsx,B,1.0,1597,14.0,1B,
1-1C,1.0,M9 20 mM glucose pH 7.4,0.022,0.0575841496506986,4.0,tsx,C,1.0,289,14.0,1C,
1-1C,2.0,M9 20 mM glucose pH 7.4,0.098,0.2469174829840319,8.0,tsx,C,1.0,181,14.0,1C,
1-1C,3.0,M9 20 mM glucose pH 7.4,0.269,0.5949174829840319,10.0,tsx,C,1.0,605,14.0,1C,
1-1C,4.0,M9 20 mM glucose pH 7.4,0.623,0.925667482984032,11.0,tsx,C,1.0,485,14.0,1C,
1-1C,5.0,M9 20 mM glucose pH 7.4,0.866,1.679417482984032,12.0,tsx,C,1.0,837,14.0,1C,
1-1C,6.0,M9 20 mM glucose pH 7.4,1.126,2.6633341496506984,13.0,tsx,C,1.0,937,14.0,1C,
1-1C,7.0,M9 20 mM glucose pH 7.4,1.349,3.9039174829840313,14.0,tsx,C,1.0,1169,14.0,1C,
1-1C,8.0,M9 20 mM glucose pH 7.4,1.481,5.331000816317365,15.0,tsx,C,1.0,1265,14.0,1C,
1-1C,9.0,M9 20 mM glucose pH 7.4,1.548,6.850917482984032,16.0,tsx,C,1.0,1649,14.0,1C,
1-1C,10.0,M9 20 mM glucose pH 7.4,1.524,12.8683341496507,20.0,tsx,C,1.0,1573,14.0,1C,
1-2A,1.0,M9 20 mM glucose pH 7.4,0.024,0.0639425528443113,4.0,oppA,A,1.0,225,14.0,2A,
1-2A,2.0,M9 20 mM glucose pH 7.4,0.113,0.272609219510978,8.0,oppA,A,1.0,37,14.0,2A,
1-2A,3.0,M9 20 mM glucose pH 7.4,0.297,0.6634425528443113,10.0,oppA,A,1.0,473,14.0,2A,
1-2A,4.0,M9 20 mM glucose pH 7.4,0.692,1.025609219510978,11.0,oppA,A,1.0,749,14.0,2A,
1-2A,5.0,M9 20 mM glucose pH 7.4,0.946,1.856359219510978,12.0,oppA,A,1.0,945,14.0,2A,
1-2A,6.0,M9 20 mM glucose pH 7.4,1.215,2.922609219510978,13.0,oppA,A,1.0,1129,14.0,2A,
1-2A,7.0,M9 20 mM glucose pH 7.4,1.428,4.248775886177644,14.0,oppA,A,1.0,1329,14.0,2A,
1-2A,8.0,M9 20 mM glucose pH 7.4,1.539,5.744609219510977,15.0,oppA,A,1.0,1537,14.0,2A,
1-2A,9.0,M9 20 mM glucose pH 7.4,1.545,7.295359219510977,16.0,oppA,A,1.0,1609,14.0,2A,
1-2A,10.0,M9 20 mM glucose pH 7.4,1.499,13.305859219510976,20.0,oppA,A,1.0,1605,14.0,2A,
